Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P1,P5,P5
8.0,P1,P5,P5
16.0,M3,M7,P5
24.0,P5,P5,P1
32.0,P5,P5,P1
40.0,P4,M6,M3
48.0,P4,P8,P5
56.0,P4,P8,P5
64.0,P4,P4,P8
72.0,P4,P8,P5
80.0,m3,m7,P5
88.0,M3,P5,m3
96.0,m3,P5,M3
104.0,P4,P8,P5
112.0,M3,M6,P4
120.0,P4,P8,P5
128.0,P4,P8,P5
136.0,Rest,Rest,Rest
144.0,P1,P5,P5
152.0,P1,P5,P5
160.0,M3,M7,P5
168.0,P5,P5,P1
176.0,P5,P5,P1
184.0,P4,M6,M3
192.0,P4,P8,P5
200.0,P4,P8,P5
208.0,P4,P4,P8
216.0,P4,P8,P5
224.0,P4,P8,P5
232.0,Rest,Rest,Rest
240.0,P1,P5,P5
248.0,P1,P5,P5
256.0,M3,M6,P4
264.0,m6,P8,M3
272.0,m6,P8,M3
280.0,m7,Rest,Rest
288.0,P5,P5,P1
296.0,P1,M3,M3
304.0,-m3,M3,P5
312.0,-P5,P1,P5
320.0,-P5,P1,P5
328.0,Rest,Rest,Rest
336.0,P4,P8,P5
344.0,P4,P8,P5
352.0,P1,P8,P8
360.0,P4,P8,P5
368.0,P4,P8,P5
376.0,M6,P8,m3
384.0,P4,P8,P5
392.0,m3,m7,P5
400.0,M3,M6,P4
408.0,P4,P8,P5
416.0,P4,P8,P5
424.0,Rest,Rest,Rest
432.0,P1,P5,P5
440.0,P1,P5,P5
448.0,M3,M7,P5
456.0,P5,P5,P1
464.0,P5,P5,P1
472.0,P4,M6,M3
480.0,P4,P8,P5
488.0,P4,P8,P5
496.0,P4,P4,P8
504.0,P4,P8,P5
512.0,m3,m7,P5
520.0,M3,P5,m3
528.0,m3,P5,M3
536.0,P4,P8,P5
544.0,M3,M6,P4
552.0,P4,P8,P5
