Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,P8
8.0,Rest,Rest,M7
16.0,Rest,Rest,P5
24.0,Rest,Rest,P5
32.0,Rest,Rest,P5
40.0,Rest,Rest,P5
48.0,Rest,Rest,P5
56.0,Rest,Rest,P4
64.0,Rest,Rest,P1
72.0,Rest,Rest,P1
80.0,Rest,Rest,P1
88.0,Rest,Rest,P1
96.0,P4,P8,P5
104.0,P4,P8,P5
112.0,P5,Rest,Rest
120.0,P8,Rest,Rest
128.0,P5,Rest,Rest
136.0,P5,Rest,Rest
144.0,P4,P8,P5
152.0,P4,P8,P5
160.0,Rest,P8,Rest
168.0,Rest,M7,Rest
176.0,Rest,P5,Rest
184.0,Rest,P5,Rest
192.0,P4,P8,P5
200.0,P5,P8,P4
208.0,Rest,Rest,P5
216.0,Rest,Rest,P5
224.0,Rest,Rest,P1
232.0,Rest,Rest,M3
240.0,P4,P8,P5
248.0,P5,M2,P5
256.0,Rest,Rest,Rest
264.0,Rest,Rest,Rest
272.0,P4,Rest,Rest
280.0,m6,Rest,Rest
288.0,P5,P5,P1
296.0,P5,P5,P1
304.0,P5,P8,P4
312.0,P5,P8,P4
320.0,P4,P8,P5
328.0,P4,P8,P5
336.0,P4,P8,P5
344.0,P4,P8,P5
352.0,P4,P8,P5
360.0,P4,P8,P5
368.0,Rest,Rest,P5
376.0,Rest,Rest,M3
384.0,P4,P8,P5
392.0,P4,P8,P5
400.0,P5,Rest,Rest
408.0,m3,Rest,Rest
416.0,P5,Rest,Rest
424.0,P5,Rest,Rest
432.0,P4,P8,P5
440.0,P4,P8,P5
448.0,Rest,P5,Rest
456.0,Rest,P5,Rest
464.0,Rest,P8,Rest
472.0,Rest,P8,Rest
480.0,P5,M2,P5
488.0,m6,M2,A4
496.0,m3,P5,M3
504.0,m3,P5,M3
512.0,m6,P8,M3
520.0,P4,P8,P5
528.0,P4,P8,P5
536.0,P4,P8,P5
