Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P5,P5,P8
8.0,m7,P5,M6
16.0,P5,M3,M6
24.0,M7,M3,P4
32.0,P4,P8,P5
40.0,P4,P8,P5
48.0,P4,P8,P5
56.0,M3,M6,P4
64.0,P4,P8,P5
72.0,P4,P8,P5
80.0,m3,P5,M3
88.0,M3,M6,P4
96.0,P1,P8,P8
104.0,M3,P8,m6
112.0,M3,P5,m3
120.0,M3,P5,m3
128.0,Rest,P5,Rest
136.0,Rest,M6,Rest
144.0,P4,P8,P5
152.0,m6,P8,M3
160.0,M6,M6,P1
168.0,M3,A4,M2
176.0,P4,P8,P5
184.0,P4,P8,P5
192.0,Rest,Rest,P5
200.0,Rest,Rest,P5
208.0,P4,P8,P5
216.0,M3,M7,P5
224.0,Rest,P5,Rest
232.0,Rest,P5,Rest
240.0,P8,M3,M3
248.0,P8,M3,M3
256.0,P1,P8,P8
264.0,m3,P8,M6
272.0,P4,P8,P5
280.0,M3,M7,P5
288.0,P4,M6,M3
296.0,P4,M6,M3
304.0,P4,P8,P5
312.0,P5,M2,P5
320.0,P5,P5,P8
328.0,m7,P5,M6
336.0,Rest,Rest,P5
344.0,Rest,Rest,P5
352.0,M3,P8,m6
360.0,M3,P8,m6
368.0,-P4,P5,P8
376.0,P4,P8,P5
384.0,P5,Rest,Rest
392.0,M6,Rest,Rest
400.0,P8,P5,P5
408.0,m7,P4,P5
416.0,Rest,P8,Rest
424.0,Rest,P5,Rest
432.0,P1,P8,P8
440.0,M2,P8,m7
448.0,P4,P8,P5
456.0,Rest,Rest,P5
464.0,P1,P8,P8
472.0,m3,M2,M7
480.0,P5,P5,P1
488.0,M6,M6,P1
496.0,P4,P8,P5
504.0,P5,P8,P4
512.0,M3,P5,m3
520.0,M3,P5,m3
528.0,P5,P5,P1
536.0,M6,M6,P1
544.0,P4,P8,P5
552.0,P5,m7,m3
560.0,P8,P8,P1
568.0,M2,M2,P1
576.0,Rest,P5,Rest
584.0,Rest,P5,Rest
592.0,P4,P8,P5
600.0,P4,P8,P5
608.0,Rest,Rest,P5
616.0,Rest,Rest,P5
624.0,P1,P8,P8
632.0,M3,P8,m6
640.0,P5,P5,P8
648.0,P4,P4,P8
656.0,P4,P8,P5
664.0,m3,P8,M6
672.0,P4,P8,P5
680.0,P4,M7,A4
688.0,P4,P8,P5
696.0,P4,P8,P5
704.0,P4,P8,P5
712.0,M3,M6,P4
720.0,P4,P8,P5
728.0,P4,P8,P5
736.0,Rest,P8,Rest
744.0,Rest,P8,Rest
752.0,P4,P8,P5
760.0,P4,m7,P4
768.0,P4,P8,P5
776.0,P1,P8,P8
784.0,Rest,Rest,Rest
792.0,Rest,Rest,Rest
800.0,P1,P8,P8
808.0,-M2,P8,M2
816.0,-P4,P5,P8
824.0,P4,P8,P5
832.0,-P4,P5,P8
840.0,M2,P8,m7
848.0,P4,P8,P5
856.0,P5,M2,P5
864.0,Rest,P5,Rest
872.0,Rest,P5,Rest
880.0,P5,P5,P1
888.0,M6,M6,P1
896.0,P4,P8,P5
904.0,P4,P8,P5
912.0,Rest,Rest,m3
920.0,Rest,Rest,P4
928.0,P8,P8,P1
936.0,M6,M6,P1
944.0,P1,P5,P5
952.0,m3,P5,M3
960.0,P5,P5,P1
968.0,m7,P8,M2
976.0,P8,P5,P5
984.0,P8,P5,P5
992.0,P4,P8,P5
1000.0,P4,P8,P5
1008.0,P4,P8,P5
1016.0,d5,P8,A4
1024.0,P4,P8,P5
1032.0,P4,P8,P5
1040.0,Rest,P5,Rest
1048.0,Rest,P4,Rest
1056.0,P4,P8,P5
1064.0,P4,P8,P5
1072.0,Rest,Rest,P5
1080.0,Rest,Rest,P5
1088.0,P4,P8,P5
1096.0,P5,P8,P4
1104.0,P4,P8,P5
1112.0,P5,P8,P4
1120.0,P8,P5,P5
1128.0,P5,P5,P8
1136.0,P1,P8,P8
1144.0,M2,P8,m7
1152.0,P4,P8,P5
1160.0,P5,M3,M6
1168.0,P5,P5,P8
