Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
12.0,-P4,P5,P8
24.0,-m3,M6,P8
36.0,P1,P5,P5
48.0,P1,Rest,Rest
60.0,P5,Rest,Rest
72.0,P5,P5,P1
84.0,P5,M3,-m3
96.0,m6,P4,-m3
108.0,P5,P5,P1
120.0,P5,Rest,Rest
132.0,P1,Rest,Rest
144.0,-P5,P1,P5
156.0,-P4,P5,P8
168.0,-P5,P4,P8
180.0,-P5,P1,P5
192.0,P1,P5,P5
204.0,P1,P5,P5
216.0,P1,P5,P5
228.0,-P4,P5,P8
240.0,-m3,P5,m7
252.0,-P4,P5,P8
264.0,Rest,P8,Rest
276.0,Rest,P8,Rest
288.0,P1,P5,P5
300.0,-P4,P5,P8
312.0,-P4,P4,m7
324.0,-P4,P5,P8
336.0,Rest,Rest,P8
348.0,Rest,Rest,P8
360.0,P4,P8,P5
372.0,P1,M6,M6
384.0,-M2,P5,M6
396.0,-P4,P5,P8
408.0,P1,P8,P8
420.0,P4,P8,P5
432.0,P4,Rest,Rest
444.0,P5,Rest,Rest
456.0,M6,Rest,Rest
468.0,P4,P8,P5
480.0,Rest,P8,Rest
492.0,Rest,P8,Rest
504.0,P4,P8,P5
516.0,d5,Rest,Rest
528.0,m3,Rest,Rest
540.0,P1,P5,P5
552.0,-m3,M3,P5
564.0,-P4,M3,M6
576.0,-P4,P5,P8
588.0,-P4,Rest,Rest
600.0,-m3,Rest,Rest
612.0,-m3,M3,P5
624.0,-M2,m7,P8
636.0,M2,M2,P8
648.0,P4,P8,P5
660.0,Rest,Rest,M3
672.0,Rest,Rest,M2
684.0,m3,P5,M3
696.0,M2,P5,P4
708.0,m3,P5,M3
720.0,P4,P8,P5
732.0,Rest,P5,Rest
744.0,Rest,M6,Rest
756.0,-P4,P5,P8
768.0,-P4,M3,M6
780.0,-P4,M3,M6
792.0,-d5,A4,P8
804.0,-P4,P5,P8
816.0,-P4,P5,P8
828.0,P1,P8,P8
840.0,P4,P8,P5
852.0,-M3,P4,M6
864.0,-P4,P5,P8
876.0,Rest,Rest,P8
888.0,Rest,Rest,P8
900.0,-M3,Rest,Rest
912.0,-M3,Rest,Rest
924.0,-M3,Rest,Rest
936.0,P4,P8,P5
948.0,Rest,P8,Rest
960.0,Rest,m7,Rest
972.0,P4,P8,P5
984.0,P1,Rest,Rest
996.0,P1,Rest,Rest
1008.0,P4,P8,P5
1020.0,P1,P5,P5
1032.0,-M3,P4,M6
1044.0,-P4,P5,P8
1056.0,-M3,Rest,Rest
1068.0,P1,Rest,Rest
1080.0,P4,P8,P5
1092.0,Rest,P8,Rest
1104.0,Rest,P8,Rest
1116.0,P5,P5,P1
1128.0,Rest,Rest,M2
1140.0,Rest,Rest,M3
1152.0,m3,P5,M3
1164.0,P1,P5,P5
1176.0,-M2,P5,M6
1188.0,-P4,P5,P8
1200.0,P1,P8,P8
1212.0,P1,P8,P8
1224.0,P4,P8,P5
1236.0,P4,P8,P5
1248.0,P4,P8,P5
1260.0,P4,P8,P5
1272.0,P1,M6,M6
1284.0,P1,m7,m7
1296.0,P1,P5,P5
1308.0,Rest,Rest,P8
1320.0,Rest,Rest,m7
1332.0,-P4,P5,P8
1344.0,Rest,P8,Rest
1356.0,Rest,P8,Rest
1368.0,-M3,Rest,Rest
1380.0,-P4,Rest,Rest
1392.0,-M3,Rest,Rest
1404.0,P4,P8,P5
1416.0,-P4,P5,P8
1428.0,-P4,P5,P8
1440.0,-P4,P5,P8
1452.0,-P4,Rest,Rest
1464.0,P1,Rest,Rest
1476.0,P4,P8,P5
1488.0,P4,M6,M3
1500.0,P4,M6,M3
1512.0,P1,P5,P5
1524.0,P5,Rest,Rest
1536.0,P5,Rest,Rest
1548.0,P5,P5,P1
1560.0,Rest,Rest,P5
1572.0,Rest,Rest,m7
1584.0,P4,P8,P5
1596.0,Rest,P5,Rest
1608.0,Rest,P5,Rest
1620.0,-P4,P5,P8
1632.0,-P4,P5,P8
1644.0,-m6,P5,m3
1656.0,-P5,P8,P5
1668.0,Rest,Rest,P5
1680.0,Rest,Rest,P4
1692.0,-P4,P5,P8
1704.0,-m3,M3,P5
1716.0,-P4,M3,M6
1728.0,-P4,P5,P8
1740.0,-P4,P5,P8
1752.0,-P4,P5,P8
1764.0,-P4,P5,P8
1776.0,-P4,P5,P8
1788.0,-P4,P4,m7
1800.0,-P4,P5,P8
