Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
12.0,P4,P8,P5
24.0,m3,P8,M6
36.0,P4,M6,M3
48.0,d5,m7,M3
60.0,P4,m7,P4
72.0,P4,P8,P5
84.0,Rest,Rest,P5
96.0,Rest,Rest,P4
108.0,P8,Rest,Rest
120.0,P5,Rest,Rest
132.0,m3,Rest,Rest
144.0,P1,P8,P8
156.0,P5,P5,P8
168.0,P4,P5,M2
180.0,P4,P8,P5
192.0,P1,P5,P5
204.0,m2,P5,A4
216.0,-P4,P5,P8
228.0,Rest,Rest,P8
240.0,Rest,Rest,P8
252.0,Rest,Rest,Rest
264.0,Rest,Rest,Rest
276.0,Rest,Rest,Rest
288.0,P1,P8,P8
300.0,-P4,P5,P8
312.0,-m3,P8,m3
324.0,P4,P8,P5
336.0,P5,M2,P5
348.0,P4,P8,P5
360.0,P1,P5,P5
372.0,-M3,m3,P5
384.0,-P4,m3,m6
396.0,-P5,Rest,Rest
408.0,-M3,Rest,Rest
420.0,-P5,Rest,Rest
432.0,m3,P5,M3
444.0,m3,P5,M3
456.0,m3,P5,M3
468.0,P1,P5,P5
480.0,Rest,Rest,P5
492.0,Rest,Rest,P5
504.0,P4,P8,P5
516.0,P4,P8,P5
528.0,P4,P8,P5
540.0,Rest,Rest,Rest
552.0,Rest,Rest,Rest
564.0,Rest,Rest,Rest
576.0,P1,P5,P5
588.0,-M3,m3,P5
600.0,-m2,P5,m6
612.0,P4,P8,P5
624.0,P4,P8,P5
636.0,P5,M2,P5
648.0,P4,P8,P5
660.0,P4,P8,P5
672.0,M3,M7,P5
684.0,-P5,Rest,Rest
696.0,-P4,Rest,Rest
708.0,Rest,Rest,Rest
720.0,P1,P8,P8
732.0,Rest,Rest,P8
744.0,Rest,Rest,P8
756.0,-P4,P5,P8
768.0,P1,P8,P8
780.0,-M3,m7,M2
792.0,-P4,P5,P8
804.0,P1,P8,P8
816.0,-M3,m6,P8
828.0,Rest,Rest,Rest
840.0,Rest,Rest,Rest
852.0,Rest,Rest,Rest
864.0,P1,P8,P8
876.0,-P4,P5,P8
888.0,-M2,P8,M2
900.0,P5,P5,P8
912.0,P5,P5,P8
924.0,P5,P5,P8
936.0,P4,P8,P5
948.0,P4,P8,P5
960.0,m7,m3,P4
972.0,m3,Rest,Rest
984.0,P5,Rest,Rest
996.0,Rest,Rest,Rest
1008.0,P4,P8,P5
1020.0,P4,P8,P5
1032.0,m3,P8,M6
1044.0,M6,P8,m3
1056.0,P5,M6,M2
1068.0,P4,M6,M3
1080.0,P4,P8,P5
1092.0,Rest,Rest,P5
1104.0,Rest,Rest,M6
1116.0,P5,P5,P8
1128.0,P5,P5,P8
1140.0,Rest,P5,Rest
1152.0,P8,P8,P1
1164.0,P4,P5,M2
1176.0,P1,P5,P5
1188.0,P4,P8,P5
1200.0,P4,P8,P5
1212.0,P4,P8,P5
1224.0,-P4,P5,P8
1236.0,-m3,M6,P8
1248.0,-M3,m7,M2
1260.0,P4,P8,P5
1272.0,Rest,Rest,P5
1284.0,Rest,Rest,Rest
1296.0,P4,P8,P5
1308.0,P4,P8,P5
1320.0,P5,P8,P4
1332.0,P4,P8,P5
1344.0,P4,P8,P5
1356.0,P4,P8,P5
1368.0,P4,P8,P5
1380.0,Rest,Rest,P5
1392.0,Rest,Rest,m6
1404.0,-P4,P5,P8
1416.0,-m3,M6,P8
1428.0,Rest,P5,Rest
1440.0,P1,P5,P5
1452.0,P1,P5,P5
1464.0,P1,P5,P5
1476.0,P4,P8,P5
1488.0,P4,P8,P5
1500.0,P1,M6,M6
1512.0,-P4,P5,P8
1524.0,Rest,Rest,P8
1536.0,Rest,Rest,M2
1548.0,P1,P8,P8
1560.0,m3,m3,P8
1572.0,Rest,m3,Rest
1584.0,P1,P8,P8
1596.0,-P4,P5,P8
1608.0,-M2,P8,M2
1620.0,P4,P8,P5
1632.0,P4,P8,P5
1644.0,m3,P8,M6
1656.0,P1,P8,P8
1668.0,-m6,P5,m3
1680.0,m2,m7,M6
1692.0,P4,P8,P5
1704.0,m3,P8,M6
1716.0,m3,P8,M6
1728.0,P5,P5,P8
