Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
8.0,P4,P8,P5
16.0,P1,P5,P5
24.0,m3,P5,M3
32.0,M3,P5,m3
40.0,M6,P8,m3
48.0,P4,P8,P5
56.0,P5,M3,M6
64.0,P5,P5,P8
72.0,m3,P8,M6
80.0,M3,P5,m3
88.0,P4,M6,M3
96.0,P4,P8,P5
104.0,M6,M3,P5
112.0,Rest,P5,Rest
120.0,Rest,P5,Rest
128.0,M3,M3,P8
136.0,m3,P8,M6
144.0,-P4,P5,P8
152.0,Rest,Rest,M2
160.0,Rest,Rest,P5
168.0,Rest,Rest,m3
176.0,m3,P8,M6
184.0,P4,P8,P5
192.0,m3,Rest,Rest
200.0,M3,Rest,Rest
208.0,P1,P5,P5
216.0,m3,P5,M3
224.0,m6,P8,M3
232.0,m6,P8,M3
240.0,P8,m3,m3
248.0,P8,m3,m3
256.0,Rest,Rest,P5
264.0,Rest,Rest,P5
272.0,-P4,M3,M6
280.0,-P4,M3,M6
288.0,-P4,P5,P8
296.0,-P4,P5,P8
304.0,Rest,P5,Rest
312.0,Rest,M3,Rest
320.0,-P4,P5,P8
328.0,Rest,Rest,P8
336.0,P4,P8,P5
344.0,P4,P8,P5
352.0,P8,P8,P1
360.0,Rest,M6,Rest
368.0,m6,P8,M3
376.0,M6,M3,P5
384.0,m6,m3,P5
392.0,d5,m3,M6
400.0,P5,P5,P8
408.0,P5,P5,P8
416.0,m3,Rest,Rest
424.0,-m3,Rest,Rest
432.0,P1,P5,P5
440.0,P4,P8,P5
448.0,Rest,M3,Rest
456.0,Rest,P8,Rest
464.0,-M6,P5,M3
472.0,-M6,P5,M3
480.0,Rest,Rest,m3
488.0,Rest,Rest,P4
496.0,-P4,P5,P8
504.0,P4,P8,P5
512.0,P4,P8,P5
520.0,P4,P8,P5
528.0,P1,P8,P8
536.0,-P5,M6,M3
544.0,-P5,P8,P5
552.0,P1,P8,P8
560.0,P4,P8,P5
568.0,P4,P8,P5
576.0,Rest,P5,Rest
584.0,Rest,M3,Rest
592.0,-P4,M3,M6
600.0,-P4,M3,M6
608.0,-P4,P5,P8
616.0,-P4,P5,P8
624.0,P1,Rest,Rest
632.0,M3,Rest,Rest
640.0,-M3,P8,M3
648.0,-P5,P8,P5
656.0,Rest,Rest,P8
664.0,Rest,Rest,P4
672.0,-P4,P5,P8
680.0,-P4,m3,m6
688.0,-P4,P5,P8
696.0,Rest,P8,Rest
704.0,-P4,P5,P8
712.0,-P4,P5,P8
720.0,-m3,P8,m3
728.0,-m3,P8,m3
736.0,-m3,P8,m3
744.0,-d5,P8,d5
752.0,-P4,P5,P8
760.0,-P4,P5,P8
768.0,-P4,P5,P8
776.0,P4,P8,P5
784.0,P4,P8,P5
792.0,P8,P5,P5
800.0,Rest,P8,Rest
808.0,Rest,P8,Rest
816.0,Rest,Rest,P5
824.0,Rest,Rest,P5
832.0,P8,P5,P5
840.0,P4,P8,P5
848.0,P5,Rest,Rest
856.0,M3,Rest,Rest
864.0,P4,P8,P5
872.0,M6,M3,P5
880.0,Rest,P8,Rest
888.0,Rest,P8,Rest
896.0,P1,P8,P8
904.0,-P4,P5,P8
912.0,-M3,Rest,Rest
920.0,P1,Rest,Rest
928.0,-P4,P5,P8
936.0,P1,P8,P8
944.0,P1,P8,P8
952.0,M3,M3,P8
960.0,P5,P5,P8
