Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
8.0,-P4,P5,P8
16.0,-M6,P5,M3
24.0,-P4,P5,P8
32.0,P1,P5,P5
40.0,-P4,P4,m7
48.0,-P5,P1,P5
56.0,-m3,M3,P5
64.0,-P4,P5,P8
72.0,-P4,P5,P8
80.0,-P8,Rest,Rest
88.0,-P8,Rest,Rest
96.0,-P5,P1,P5
104.0,-P5,P1,P5
112.0,Rest,P5,Rest
120.0,Rest,Rest,P5
128.0,-P4,M3,M6
136.0,-P4,M3,M6
144.0,-P4,M3,M6
152.0,-P4,P5,P8
160.0,-P4,P5,P8
168.0,P4,P8,P5
176.0,M3,Rest,Rest
184.0,P5,Rest,Rest
192.0,P5,Rest,Rest
200.0,P5,P5,P8
208.0,P1,M3,M3
216.0,-M3,P8,M3
224.0,P1,P5,P5
232.0,P4,P8,P5
240.0,P4,P8,P5
248.0,Rest,P8,Rest
256.0,Rest,Rest,M6
264.0,-P4,P5,P8
272.0,-P4,P5,P8
280.0,-P5,Rest,Rest
288.0,-P8,Rest,Rest
296.0,-P8,P5,P5
304.0,-P5,P8,P5
312.0,Rest,P5,Rest
320.0,Rest,Rest,m3
328.0,-P4,P5,P8
336.0,-m3,M3,P5
344.0,-m3,M3,P5
352.0,-P5,-m3,M3
360.0,-P5,-m3,M3
368.0,-P5,P1,P5
376.0,-P8,Rest,Rest
384.0,-P5,Rest,Rest
392.0,P1,Rest,Rest
400.0,P4,P8,P5
408.0,-m2,M7,P8
416.0,-P4,P5,P8
424.0,-m3,M6,P8
432.0,-M6,m3,P8
440.0,-P4,P5,P8
448.0,Rest,P1,Rest
456.0,Rest,Rest,M6
464.0,-P4,M3,M6
472.0,-P4,M3,M6
480.0,-P8,Rest,Rest
488.0,-P5,Rest,Rest
496.0,-P4,P5,P8
504.0,-P4,P5,P8
512.0,Rest,P5,Rest
520.0,Rest,Rest,P5
528.0,P4,P8,P5
536.0,P5,M3,M6
544.0,m6,P4,M6
552.0,P5,P5,P8
560.0,P5,P5,P8
568.0,P4,P8,P5
576.0,-P5,Rest,Rest
584.0,-P8,Rest,Rest
592.0,-P8,Rest,Rest
600.0,-P8,P5,P5
608.0,-M6,P5,M3
616.0,-M6,P5,M3
624.0,-M7,m3,M2
632.0,-M6,P1,M6
640.0,m3,P8,M6
648.0,Rest,P5,Rest
656.0,Rest,Rest,P5
664.0,-P4,P5,P8
672.0,-P4,P5,P8
680.0,-d5,Rest,Rest
688.0,-P5,Rest,Rest
696.0,-P5,P1,P5
704.0,-P5,P1,P5
712.0,Rest,P8,Rest
720.0,Rest,Rest,P5
728.0,-M2,P5,M6
736.0,M3,P5,m3
744.0,P1,P5,P5
752.0,P4,P8,P5
760.0,P4,M2,M6
768.0,-P4,P5,P8
776.0,-d5,Rest,Rest
784.0,-P5,Rest,Rest
792.0,-P5,Rest,Rest
800.0,-P4,P5,P8
808.0,-M6,P5,M3
816.0,-M6,P5,M3
824.0,-m6,M3,P8
832.0,-P4,P5,P8
840.0,-P4,P5,P8
848.0,Rest,P8,Rest
856.0,Rest,Rest,M6
864.0,-P4,P5,P8
872.0,-P4,P5,P8
880.0,P5,Rest,Rest
888.0,m3,Rest,Rest
896.0,P4,P8,P5
904.0,M3,M7,P5
912.0,Rest,P5,Rest
920.0,Rest,Rest,P5
928.0,P4,P8,P5
936.0,P4,M6,M3
944.0,m3,P5,M3
952.0,P8,M6,-m3
960.0,m7,P5,-m3
968.0,P8,M6,-m3
976.0,P8,Rest,Rest
984.0,P5,Rest,Rest
992.0,P1,Rest,Rest
1000.0,P4,P8,P5
1008.0,-P4,P5,P8
1016.0,P1,P5,P5
1024.0,d5,P8,A4
1032.0,P4,P8,P5
1040.0,P4,P8,P5
1048.0,Rest,P5,Rest
1056.0,Rest,Rest,M3
1064.0,P1,P5,P5
1072.0,P1,P5,P5
1080.0,-P5,Rest,Rest
1088.0,-M3,Rest,Rest
1096.0,-P4,P5,P8
1104.0,-m6,P5,m3
1112.0,-M6,P5,M3
1120.0,-P5,P5,M2
1128.0,P4,P8,P5
1136.0,P4,P8,P5
1144.0,M3,M6,P4
1152.0,P4,P8,P5
1160.0,P4,P8,P5
1168.0,P4,P8,P5
1176.0,Rest,Rest,Rest
