Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
8.0,P5,M6,M2
16.0,M3,P5,m3
24.0,-m3,M3,P5
32.0,P4,P8,P5
40.0,P4,P8,P5
48.0,P4,P8,P5
56.0,-P4,P5,P8
64.0,P1,P5,P5
72.0,P4,m6,m3
80.0,P4,m6,m3
88.0,Rest,Rest,m3
96.0,-P4,P5,P8
104.0,-P4,P5,P8
112.0,-P4,P5,P8
120.0,P1,P5,P5
128.0,P1,P5,P5
136.0,P5,P8,P4
144.0,P4,P8,P5
152.0,P4,P8,P5
160.0,Rest,Rest,Rest
168.0,P4,P8,P5
176.0,m3,P8,M6
184.0,Rest,Rest,P8
192.0,-P4,P5,P8
200.0,-P4,M6,M2
208.0,-M3,P8,M3
216.0,-P5,P8,P5
224.0,-P5,P8,P5
232.0,-P5,M7,A4
240.0,-P4,P5,P8
248.0,-P4,P5,P8
256.0,Rest,P8,Rest
264.0,P4,P8,P5
272.0,m3,P8,M6
280.0,Rest,Rest,M3
288.0,P5,P5,P1
296.0,m3,P5,M3
304.0,-m3,M2,P4
312.0,-P4,P5,P8
320.0,-m3,P5,m7
328.0,m3,m7,P5
336.0,P4,P8,P5
344.0,m3,m7,P5
352.0,Rest,Rest,Rest
360.0,-M3,m6,P8
368.0,M3,P8,m6
376.0,m3,m3,P8
384.0,P4,P8,P5
392.0,P4,P8,P5
400.0,Rest,Rest,M6
408.0,P4,P8,P5
416.0,P4,P8,P5
424.0,Rest,M6,Rest
432.0,-M3,m3,P5
440.0,P1,m3,m3
448.0,P5,P5,P1
456.0,P4,P8,P5
464.0,P4,P8,P5
472.0,m3,P8,M6
480.0,P4,P8,P5
488.0,P4,m7,P4
496.0,m3,P5,M3
504.0,P5,P5,P1
512.0,P5,P5,P1
520.0,Rest,Rest,Rest
528.0,P4,P8,P5
536.0,P1,M6,M6
544.0,-P4,Rest,Rest
552.0,-m3,M3,P5
560.0,-m3,M3,P5
568.0,-M2,P4,P5
576.0,M3,P5,m3
584.0,P4,m6,m3
592.0,M3,P5,m3
600.0,P5,P5,P1
608.0,P5,P5,P1
616.0,Rest,Rest,Rest
624.0,P4,P8,P5
632.0,P1,P5,P5
640.0,P4,P8,P5
648.0,P4,P8,P5
656.0,P4,P8,P5
664.0,Rest,Rest,Rest
672.0,P4,P8,P5
680.0,P5,m7,m3
688.0,P5,P5,P1
696.0,m3,P5,M3
704.0,P4,P8,P5
712.0,M2,M7,M6
720.0,-m3,M6,P8
728.0,-M2,m7,P8
736.0,P1,Rest,Rest
744.0,P4,P8,P5
752.0,P4,P8,P5
760.0,P5,m7,m3
768.0,P4,P8,P5
776.0,m2,m6,P5
784.0,m6,P8,M3
792.0,P4,P8,P5
800.0,P4,P8,P5
808.0,Rest,Rest,Rest
816.0,P4,P8,P5
824.0,m3,m7,P5
832.0,P4,M6,M3
840.0,P5,P5,P1
848.0,M2,P4,m3
856.0,P1,P5,P5
864.0,P4,P8,P5
872.0,P4,P8,P5
880.0,M3,M6,P4
888.0,-M3,m6,P8
896.0,-M3,m6,P8
904.0,-M3,m6,P8
912.0,P4,P8,P5
920.0,P4,P8,P5
928.0,Rest,Rest,Rest
936.0,-M3,m3,P5
944.0,-M3,m3,P5
952.0,M2,P4,m3
960.0,P1,P8,P8
968.0,-M3,m7,M2
976.0,M2,M2,P8
984.0,P4,P8,P5
992.0,P4,P8,P5
1000.0,Rest,m6,Rest
1008.0,P4,P8,P5
1016.0,P4,P8,P5
1024.0,P4,M6,M3
1032.0,P5,P5,P1
1040.0,P5,P5,P1
1048.0,Rest,Rest,M3
1056.0,P4,P8,P5
1064.0,P4,P8,P5
1072.0,P4,M7,A4
1080.0,P4,M6,M3
1088.0,d5,m7,M3
1096.0,d5,m7,M3
1104.0,P4,P8,P5
