Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
8.0,P1,M6,M6
16.0,-P4,M3,M6
24.0,P1,P5,P5
32.0,P4,P8,P5
40.0,P4,P8,P5
48.0,P8,Rest,Rest
56.0,P5,Rest,Rest
64.0,m6,P8,M3
72.0,P8,M3,M3
80.0,P8,P8,P1
88.0,P8,P8,P1
96.0,Rest,P5,Rest
104.0,Rest,P8,Rest
112.0,P1,P5,P5
120.0,m3,P5,M3
128.0,Rest,Rest,P5
136.0,Rest,Rest,P5
144.0,P4,P8,P5
152.0,P4,P8,P5
160.0,P5,Rest,Rest
168.0,P8,Rest,Rest
176.0,P5,P5,P1
184.0,m3,P5,M3
192.0,m3,P5,M3
200.0,m3,P5,M3
208.0,P5,P5,P1
216.0,P5,M3,-m3
224.0,P5,Rest,Rest
232.0,M6,Rest,Rest
240.0,P8,P8,P1
248.0,P8,P8,P1
256.0,Rest,Rest,Rest
264.0,Rest,Rest,Rest
272.0,P5,M3,M6
280.0,P5,M3,M6
288.0,P5,P5,P8
296.0,P5,P5,P8
304.0,A4,P8,d5
312.0,P1,m7,m7
320.0,P4,P8,P5
328.0,P1,P8,P8
336.0,P1,Rest,Rest
344.0,-P5,Rest,Rest
352.0,P1,P5,P5
360.0,P1,P5,P5
368.0,m3,P5,M3
376.0,P4,M6,M3
384.0,P4,P8,P5
392.0,P4,P8,P5
400.0,Rest,Rest,Rest
408.0,Rest,Rest,Rest
416.0,-P4,P5,P8
424.0,-P4,P5,P8
432.0,Rest,P5,Rest
440.0,Rest,P8,Rest
448.0,P1,P5,P5
456.0,-P4,P5,P8
464.0,-P5,P1,P5
472.0,m3,P5,M3
480.0,P4,P8,P5
488.0,P4,P8,P5
496.0,P4,P8,P5
504.0,P4,P8,P5
512.0,P5,Rest,Rest
520.0,P8,Rest,Rest
528.0,P5,P5,P1
536.0,m3,P5,M3
544.0,Rest,Rest,P8
552.0,Rest,Rest,P8
560.0,P4,P8,P5
568.0,P4,P8,P5
576.0,P1,Rest,Rest
584.0,P1,Rest,Rest
592.0,m3,P5,M3
600.0,m3,P5,M3
608.0,P4,P8,P5
616.0,P1,P5,P5
624.0,P4,P8,P5
632.0,P4,P8,P5
640.0,Rest,P8,Rest
648.0,Rest,P5,Rest
656.0,-P8,m3,m3
664.0,-P8,m3,m3
672.0,-P8,P1,P8
680.0,-P8,P1,P8
688.0,P1,Rest,Rest
696.0,-P5,Rest,Rest
704.0,-P4,P5,P8
712.0,-P4,P5,P8
720.0,Rest,Rest,P5
728.0,Rest,Rest,M6
736.0,-P4,P5,P8
744.0,-P4,P5,P8
752.0,-P5,Rest,Rest
760.0,-m3,Rest,Rest
768.0,P1,P5,P5
776.0,M3,P5,m3
784.0,P5,P5,P1
792.0,P5,M6,M2
800.0,P5,P5,P1
808.0,P8,P8,P1
816.0,Rest,P5,Rest
824.0,Rest,P5,Rest
832.0,P5,m3,-M3
840.0,M6,P4,-M3
848.0,P5,P5,P1
856.0,P5,P5,P1
864.0,Rest,Rest,Rest
872.0,Rest,Rest,Rest
880.0,P1,P5,P5
888.0,m3,P5,M3
896.0,P4,P8,P5
904.0,P4,P8,P5
912.0,m3,P5,M3
920.0,m3,P5,M3
928.0,P1,Rest,Rest
936.0,-m3,Rest,Rest
944.0,m3,P8,M6
952.0,m3,P8,M6
960.0,-P4,P5,P8
968.0,-m3,M3,P5
976.0,-P4,P5,P8
984.0,-P4,P5,P8
992.0,-m3,P8,m3
1000.0,P1,P8,P8
1008.0,-P4,P5,P8
1016.0,-P8,m3,m3
1024.0,-P8,P1,P8
