Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,P5
8.0,Rest,Rest,P5
16.0,Rest,Rest,P5
24.0,Rest,Rest,P8
32.0,Rest,Rest,P5
40.0,Rest,Rest,P5
48.0,m3,P5,M3
56.0,P4,M6,M3
64.0,P4,M6,M3
72.0,P4,P8,P5
80.0,m3,P5,M3
88.0,P4,P8,P5
96.0,P5,M3,M6
104.0,m3,P8,M6
112.0,m3,P8,M6
120.0,-P4,P5,P8
128.0,-P4,P5,P8
136.0,Rest,Rest,P8
144.0,-m3,Rest,Rest
152.0,-P5,Rest,Rest
160.0,-P5,Rest,Rest
168.0,P4,P8,P5
176.0,P4,P8,P5
184.0,M2,M6,P5
192.0,m3,P8,M6
200.0,M2,M6,P5
208.0,-P4,M3,M6
216.0,-P4,P5,P8
224.0,-P4,P5,P8
232.0,-M3,m6,P8
240.0,Rest,P8,Rest
248.0,Rest,P8,Rest
256.0,Rest,P5,Rest
264.0,P4,P8,P5
272.0,P1,P8,P8
280.0,P1,P8,P8
288.0,P4,P8,P5
296.0,P4,P8,P5
304.0,Rest,Rest,P5
312.0,P5,Rest,Rest
320.0,P8,Rest,Rest
328.0,m3,Rest,Rest
336.0,P4,P8,P5
344.0,P4,P8,P5
352.0,P5,M2,P5
360.0,P5,P5,P8
368.0,m3,P5,M3
376.0,m2,P4,M3
384.0,P4,P8,P5
392.0,P4,P8,P5
400.0,Rest,Rest,P5
408.0,P4,P8,P5
416.0,M3,P5,m3
424.0,m3,P5,M3
432.0,-P4,M3,M6
440.0,-P4,M3,M6
448.0,-P4,M3,M6
456.0,-P4,P5,P8
464.0,-P4,P5,P8
472.0,-P4,P5,P8
480.0,-P5,Rest,Rest
488.0,P1,Rest,Rest
496.0,P5,Rest,Rest
504.0,P4,P8,P5
512.0,P4,P8,P5
520.0,M3,M7,P5
528.0,Rest,M6,Rest
536.0,Rest,M6,Rest
544.0,Rest,P5,Rest
552.0,P4,P8,P5
560.0,P4,P8,P5
568.0,Rest,Rest,m3
576.0,P4,P8,P5
584.0,P4,P8,P5
592.0,P4,P8,P5
600.0,P4,P8,P5
608.0,m3,m3,P8
616.0,P1,P8,P8
624.0,P4,P8,P5
632.0,P4,P8,P5
640.0,P4,P8,P5
648.0,P4,P8,P5
656.0,P5,M3,M6
664.0,m6,P4,M6
672.0,P5,P5,P8
680.0,P5,P5,P8
688.0,P5,P5,P8
696.0,Rest,Rest,Rest
704.0,Rest,Rest,Rest
712.0,Rest,Rest,Rest
720.0,P4,P8,P5
728.0,P4,P8,P5
736.0,M3,P5,m3
744.0,P4,P8,P5
752.0,-P4,M3,M6
760.0,-M3,P4,M6
768.0,m3,P5,M3
776.0,m3,P5,M3
784.0,m3,P5,M3
792.0,Rest,P8,Rest
800.0,Rest,P5,Rest
808.0,Rest,P5,Rest
816.0,P4,M6,M3
824.0,P4,M6,M3
832.0,P4,M6,M3
840.0,P4,P8,P5
848.0,P4,P8,P5
856.0,Rest,Rest,P5
864.0,P1,Rest,Rest
872.0,M3,Rest,Rest
880.0,P5,Rest,Rest
888.0,P4,P8,P5
896.0,P5,P8,P4
904.0,P4,M6,M3
912.0,P4,P8,P5
920.0,P1,M6,M6
928.0,-M2,P5,M6
936.0,-P4,P5,P8
944.0,-m3,P5,m7
952.0,-m2,P5,m6
960.0,Rest,Rest,P8
968.0,Rest,Rest,P8
976.0,Rest,Rest,P5
984.0,P4,P8,P5
992.0,P5,P5,P8
1000.0,P5,P5,P8
1008.0,P5,M2,P5
1016.0,P4,P8,P5
1024.0,m3,m7,P5
1032.0,P1,Rest,Rest
1040.0,m3,Rest,Rest
1048.0,P1,Rest,Rest
1056.0,-P4,P5,P8
1064.0,-P4,P5,P8
1072.0,Rest,Rest,M7
1080.0,P1,P8,P8
1088.0,-P5,P8,P5
1096.0,-m3,M3,P5
1104.0,-P4,P5,P8
1112.0,-P4,P5,P8
1120.0,-P4,P5,P8
1128.0,Rest,P8,Rest
1136.0,Rest,P5,Rest
1144.0,Rest,M3,Rest
1152.0,-P4,M3,M6
1160.0,-P4,M3,M6
1168.0,-P4,M3,M6
1176.0,-P4,P5,P8
1184.0,-P4,P5,P8
1192.0,-P4,P5,P8
1200.0,P1,Rest,Rest
1208.0,m2,Rest,Rest
1216.0,m2,Rest,Rest
1224.0,P4,P8,P5
1232.0,P4,P8,P5
1240.0,P4,P8,P5
1248.0,m3,P5,M3
1256.0,m3,P5,M3
1264.0,P5,M7,M3
1272.0,P4,P8,P5
1280.0,-M3,P4,M6
1288.0,-M3,P4,M6
1296.0,Rest,Rest,P8
1304.0,Rest,Rest,P8
1312.0,Rest,Rest,P8
1320.0,P4,P8,P5
1328.0,P4,P8,P5
1336.0,P1,m7,m7
1344.0,P4,P8,P5
1352.0,P4,P8,P5
1360.0,P5,M3,M6
1368.0,M3,M3,P8
1376.0,A4,M3,m7
1384.0,m6,P4,M6
1392.0,P5,P5,P8
