Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
8.0,-P5,P4,P8
16.0,-P4,P5,P8
24.0,P1,P8,P8
32.0,P4,P8,P5
40.0,P4,P8,P5
48.0,P1,P5,P5
56.0,P1,P5,P5
64.0,P4,P8,P5
72.0,P4,m7,P4
80.0,M3,P5,m3
88.0,M3,P5,m3
96.0,P4,P8,P5
104.0,P5,M2,P5
112.0,P4,P8,P5
120.0,P1,P5,P5
128.0,-P4,P5,P8
136.0,-P4,P5,P8
144.0,P1,P5,P5
152.0,Rest,Rest,P5
160.0,Rest,Rest,P5
168.0,Rest,Rest,Rest
176.0,Rest,Rest,Rest
184.0,Rest,Rest,Rest
192.0,P4,P8,P5
200.0,P4,P8,P5
208.0,P4,P8,P5
216.0,P5,P5,P1
224.0,m3,P5,M3
232.0,m3,P5,M3
240.0,P4,P8,P5
248.0,P4,P8,P5
256.0,P4,P8,P5
264.0,m3,m7,P5
272.0,-m3,P4,m6
280.0,-P4,m3,m6
288.0,-P4,P5,P8
296.0,Rest,Rest,P8
304.0,Rest,Rest,P8
312.0,-P4,P5,P8
320.0,m3,P5,M3
328.0,m3,P5,M3
336.0,P4,P8,P5
344.0,P4,P8,P5
352.0,P4,P8,P5
360.0,m3,Rest,Rest
368.0,M3,Rest,Rest
376.0,M3,Rest,Rest
384.0,P4,P8,P5
392.0,P4,P8,P5
400.0,P4,P8,P5
408.0,Rest,P5,Rest
416.0,Rest,P8,Rest
424.0,Rest,M7,Rest
432.0,-P4,P5,P8
440.0,-P4,P5,P8
448.0,-P4,P5,P8
456.0,P1,P8,P8
464.0,P4,P8,P5
472.0,m3,m7,P5
480.0,m3,P5,M3
488.0,Rest,Rest,M3
496.0,Rest,Rest,M3
504.0,P4,P8,P5
512.0,P1,P5,P5
520.0,P1,P5,P5
528.0,-P4,P5,P8
536.0,-P4,P5,P8
544.0,P1,P8,P8
552.0,P5,Rest,Rest
560.0,m3,Rest,Rest
