Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
8.0,P4,P8,P5
16.0,P1,P5,P5
24.0,m3,P5,M3
32.0,M3,P5,m3
40.0,M3,P5,m3
48.0,P4,P8,P5
56.0,P4,P8,P5
64.0,Rest,Rest,P5
72.0,P1,Rest,Rest
80.0,P5,Rest,Rest
88.0,P4,P8,P5
96.0,M2,P5,P4
104.0,P4,P8,P5
112.0,P4,P8,P5
120.0,m3,Rest,Rest
128.0,P8,Rest,Rest
136.0,d5,Rest,Rest
144.0,m3,P5,M3
152.0,m3,P5,M3
160.0,m3,P5,M3
168.0,Rest,Rest,P5
176.0,Rest,Rest,P5
184.0,Rest,Rest,P4
192.0,P4,P8,P5
200.0,P4,P8,P5
208.0,Rest,P8,Rest
216.0,P1,Rest,Rest
224.0,m3,Rest,Rest
232.0,P5,M3,M6
240.0,P5,M3,M6
248.0,A5,M3,m6
256.0,A5,M3,m6
264.0,P5,Rest,Rest
272.0,P8,Rest,Rest
280.0,m3,Rest,Rest
288.0,P4,P8,P5
296.0,P4,P8,P5
304.0,P4,P8,P5
312.0,Rest,P8,Rest
320.0,Rest,P5,Rest
328.0,Rest,M6,Rest
336.0,P4,P8,P5
344.0,P4,P8,P5
352.0,Rest,Rest,P5
360.0,P5,Rest,Rest
368.0,P5,Rest,Rest
376.0,-M3,m3,P5
384.0,-m3,M3,P5
392.0,P5,P5,P1
400.0,P5,P5,P1
408.0,P1,Rest,Rest
416.0,P5,Rest,Rest
424.0,P8,Rest,Rest
432.0,P5,P5,P1
440.0,P5,P5,P1
448.0,Rest,Rest,P1
456.0,P8,P4,-P5
464.0,P8,P4,-P5
472.0,P8,P4,-P5
480.0,Rest,P5,Rest
488.0,Rest,P1,Rest
496.0,Rest,P5,Rest
504.0,P8,Rest,Rest
512.0,P5,Rest,Rest
520.0,P5,M3,-m3
528.0,P8,P4,-P5
536.0,M3,P5,m3
544.0,M3,P5,m3
552.0,P1,Rest,Rest
560.0,P5,Rest,Rest
568.0,Rest,Rest,Rest
576.0,P4,m6,m3
584.0,P4,m6,m3
592.0,Rest,m3,Rest
600.0,m3,m3,P1
608.0,P4,M6,M3
616.0,M3,M3,P1
624.0,P4,m6,m3
632.0,P4,m6,m3
640.0,Rest,Rest,m3
648.0,P5,Rest,Rest
656.0,P5,Rest,Rest
664.0,P4,P8,P5
672.0,M6,P8,m3
680.0,P4,P8,P5
688.0,m3,m7,P5
696.0,-P5,Rest,Rest
704.0,-P4,Rest,Rest
712.0,P1,Rest,Rest
720.0,P4,P8,P5
728.0,P4,P8,P5
736.0,m2,m6,P5
744.0,Rest,P5,Rest
752.0,Rest,P4,Rest
760.0,Rest,M6,Rest
768.0,P4,P8,P5
776.0,Rest,Rest,M3
784.0,P5,P5,P1
792.0,P5,Rest,Rest
800.0,P5,Rest,Rest
808.0,P5,P5,P1
816.0,m3,d5,m3
824.0,P4,P8,P5
832.0,Rest,Rest,P5
840.0,P5,Rest,Rest
848.0,P1,Rest,Rest
856.0,P1,Rest,Rest
864.0,P4,P8,P5
872.0,P4,P8,P5
880.0,P4,P8,P5
888.0,Rest,P5,Rest
896.0,Rest,M3,Rest
904.0,Rest,P5,Rest
912.0,M3,P5,m3
920.0,M3,P5,m3
928.0,Rest,Rest,m3
936.0,P5,Rest,Rest
944.0,P5,Rest,Rest
952.0,P4,P8,P5
960.0,A4,P8,d5
968.0,Rest,Rest,d5
976.0,P5,P8,P4
984.0,M6,P8,m3
992.0,P5,P5,P1
1000.0,P4,M6,M3
1008.0,P4,P8,P5
