Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
8.0,Rest,Rest,Rest
16.0,Rest,Rest,Rest
24.0,Rest,Rest,Rest
32.0,Rest,Rest,Rest
40.0,Rest,Rest,Rest
48.0,M3,Rest,Rest
56.0,M3,Rest,Rest
64.0,M3,Rest,Rest
72.0,P8,Rest,Rest
80.0,P8,Rest,Rest
88.0,m7,Rest,Rest
96.0,P8,P4,-P5
104.0,P8,P4,-P5
112.0,Rest,Rest,-M3
120.0,Rest,Rest,P1
128.0,Rest,Rest,-P5
136.0,Rest,Rest,-P4
144.0,P8,P4,-P5
152.0,P8,P4,-P5
160.0,P8,Rest,Rest
168.0,P5,Rest,Rest
176.0,P5,Rest,Rest
184.0,P5,Rest,Rest
192.0,P8,P4,-P5
200.0,P8,P4,-P5
208.0,Rest,P5,Rest
216.0,Rest,P5,Rest
224.0,Rest,P1,Rest
232.0,Rest,M2,Rest
240.0,P8,P4,-P5
248.0,P8,P4,-P5
256.0,P8,Rest,Rest
264.0,P5,Rest,Rest
272.0,P5,Rest,Rest
280.0,P8,Rest,Rest
288.0,P8,P4,-P5
296.0,P4,m6,-M6
304.0,P5,P5,-P8
312.0,P5,P5,-P8
320.0,Rest,Rest,-m7
328.0,Rest,Rest,-P5
336.0,P8,P4,-P5
344.0,P8,P4,-P5
352.0,P5,Rest,Rest
360.0,P8,Rest,Rest
368.0,m6,Rest,Rest
376.0,P5,Rest,Rest
384.0,P8,P4,-P5
392.0,P8,P4,-P5
400.0,Rest,P5,Rest
408.0,Rest,m7,Rest
416.0,P5,m3,-M3
424.0,P5,m3,-M3
432.0,P8,P4,-P5
440.0,P8,P4,-P5
448.0,P8,Rest,Rest
456.0,P5,Rest,Rest
464.0,M3,Rest,Rest
472.0,P4,Rest,Rest
480.0,P8,P4,-P5
488.0,m7,P4,-P4
496.0,Rest,Rest,P1
504.0,Rest,Rest,-P5
512.0,Rest,Rest,-M3
520.0,Rest,Rest,-M2
528.0,P8,P4,-P5
536.0,P8,P4,-P5
544.0,P8,Rest,Rest
552.0,P5,Rest,Rest
560.0,P5,Rest,Rest
568.0,d5,Rest,Rest
576.0,P8,P4,-P5
584.0,P8,P4,-P5
592.0,Rest,P8,Rest
600.0,Rest,m7,Rest
608.0,Rest,P5,Rest
616.0,Rest,P5,Rest
624.0,P8,P4,-P5
632.0,P8,P4,-P5
640.0,P5,Rest,Rest
648.0,P8,Rest,Rest
656.0,P8,Rest,Rest
664.0,m7,Rest,Rest
672.0,P8,P4,-P5
680.0,M3,M6,-P5
688.0,P8,P4,-P5
696.0,P8,P4,-P5
704.0,Rest,Rest,-M3
712.0,Rest,Rest,-M2
720.0,P8,P4,-P5
728.0,P8,P4,-P5
736.0,P4,Rest,Rest
744.0,P8,Rest,Rest
752.0,m6,Rest,Rest
760.0,P5,Rest,Rest
768.0,P8,P4,-P5
776.0,P8,P4,-P5
784.0,Rest,P8,Rest
792.0,Rest,m7,Rest
800.0,P5,P5,P1
808.0,P5,m3,-M3
816.0,P8,P4,-P5
824.0,P8,P4,-P5
832.0,P8,Rest,Rest
840.0,P5,Rest,Rest
848.0,P5,Rest,Rest
856.0,P5,Rest,Rest
864.0,P8,P4,-P5
872.0,P8,P4,-P5
880.0,Rest,Rest,-P5
888.0,Rest,Rest,-m6
896.0,Rest,Rest,-P8
904.0,Rest,Rest,-P8
912.0,P8,P4,-P5
920.0,P8,P4,-P5
928.0,P8,Rest,Rest
936.0,P5,Rest,Rest
944.0,P5,Rest,Rest
952.0,P5,Rest,Rest
960.0,P8,P4,-P5
968.0,P8,P4,-P5
976.0,Rest,P8,Rest
984.0,Rest,m7,Rest
992.0,Rest,P5,Rest
1000.0,Rest,P4,Rest
1008.0,P8,P4,-P5
1016.0,P8,P4,-P5
1024.0,P8,Rest,Rest
1032.0,P8,Rest,Rest
1040.0,P5,Rest,Rest
1048.0,M6,Rest,Rest
1056.0,P5,P5,-P8
1064.0,P5,P5,-P8
1072.0,P8,P4,-P5
1080.0,P8,P4,-P5
1088.0,Rest,Rest,-m3
1096.0,Rest,Rest,-M2
1104.0,P8,P4,-P5
1112.0,P8,P4,-P5
1120.0,P4,Rest,Rest
1128.0,P8,Rest,Rest
1136.0,M6,Rest,Rest
1144.0,P5,Rest,Rest
1152.0,P8,P4,-P5
1160.0,P8,P4,-P5
1168.0,P5,P5,P1
1176.0,P5,m3,-M3
1184.0,P8,P4,-P5
1192.0,m7,m3,-P5
1200.0,P8,P4,-P5
1208.0,P8,P4,-P5
1216.0,Rest,Rest,Rest
1224.0,Rest,Rest,Rest
1232.0,Rest,Rest,Rest
