Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
8.0,-P4,P5,P8
16.0,P4,P8,P5
24.0,P1,P8,P8
32.0,-m3,P8,m3
40.0,m3,m3,P8
48.0,P1,P8,P8
56.0,-P4,P5,P8
64.0,m3,P8,M6
72.0,M3,P8,m6
80.0,M3,P8,m6
88.0,Rest,Rest,m6
96.0,-P4,P5,P8
104.0,-P4,P5,P8
112.0,-M6,P1,M6
120.0,-P4,P5,P8
128.0,-P4,P5,P8
136.0,P1,P5,P5
144.0,-P5,P1,P5
152.0,-m3,P1,m3
160.0,Rest,Rest,P5
168.0,-P4,P5,P8
176.0,-P4,P5,P8
184.0,Rest,Rest,Rest
192.0,P1,P5,P5
200.0,P1,P5,P5
208.0,-P4,M3,M6
216.0,-P4,P5,P8
224.0,-P4,P5,P8
232.0,Rest,Rest,P8
240.0,-P5,P8,P5
248.0,-P5,P8,P5
256.0,-P4,P8,P4
264.0,-P5,P8,P5
272.0,-P5,P8,P5
280.0,-P4,M2,P5
288.0,P1,P8,P8
296.0,-P4,P5,P8
304.0,-m2,P5,m6
312.0,-P4,P5,P8
320.0,-P4,P5,P8
328.0,Rest,Rest,Rest
336.0,P1,P5,P5
344.0,P1,P5,P5
352.0,-P4,M3,M6
360.0,-P4,P5,P8
368.0,-P4,P5,P8
376.0,-P5,Rest,Rest
384.0,P1,P8,P8
392.0,P4,m3,m7
400.0,M3,P8,m6
408.0,P1,P5,P5
416.0,-M2,P5,M6
424.0,Rest,Rest,P8
432.0,P4,P8,P5
440.0,M6,P8,m3
448.0,m3,P5,M3
456.0,P4,P8,P5
464.0,P1,P5,P5
472.0,Rest,M6,Rest
480.0,P4,P8,P5
488.0,P4,P8,P5
496.0,Rest,Rest,Rest
504.0,-P5,P8,P5
512.0,-P5,P8,P5
520.0,-P4,P8,P4
528.0,P1,P8,P8
536.0,P1,P8,P8
544.0,-P4,P5,P8
552.0,P4,P8,P5
560.0,P4,P8,P5
568.0,Rest,Rest,P5
576.0,P4,P8,P5
584.0,P4,P8,P5
592.0,P1,m6,m6
600.0,-P4,P5,P8
608.0,-P4,P5,P8
616.0,Rest,P5,Rest
624.0,P4,P8,P5
632.0,P4,P8,P5
640.0,m3,P5,M3
648.0,P5,P5,P1
656.0,P1,P1,P1
664.0,-P5,P1,P5
672.0,-P4,P5,P8
680.0,-P4,P5,P8
688.0,Rest,Rest,Rest
696.0,P1,P5,P5
704.0,P1,P5,P5
712.0,m3,P5,M3
720.0,P1,P5,P5
728.0,-M3,m3,P5
736.0,M2,P5,P4
744.0,-P4,P5,P8
752.0,P1,P8,P8
760.0,P4,m3,m7
768.0,-m3,P8,m3
776.0,-m3,P8,m3
784.0,-m3,P8,m3
792.0,P1,P8,P8
800.0,-P4,P5,P8
808.0,-m3,P4,m6
816.0,-P4,P5,P8
824.0,-P4,P5,P8
832.0,P1,P5,P5
840.0,P5,P5,P1
848.0,P5,P5,P1
856.0,Rest,Rest,m3
864.0,P4,P8,P5
872.0,P4,P8,P5
880.0,P4,Rest,Rest
888.0,P1,P8,P8
896.0,P1,P8,P8
904.0,Rest,m6,Rest
912.0,P1,P5,P5
920.0,P1,P5,P5
928.0,Rest,P8,Rest
936.0,-P4,P5,P8
944.0,-P4,P5,P8
952.0,-P4,m3,m6
960.0,-P4,M3,M6
968.0,-P4,M3,M6
976.0,Rest,Rest,M6
984.0,-P4,P5,P8
992.0,-P4,P5,P8
1000.0,-P4,Rest,Rest
1008.0,-P5,P8,P5
1016.0,-P5,P8,P5
1024.0,-P5,P8,P5
1032.0,-m6,P5,m3
1040.0,-P4,P5,P8
1048.0,Rest,Rest,P8
1056.0,-P4,P5,P8
1064.0,-P4,P5,P8
1072.0,Rest,P8,Rest
1080.0,P4,P8,P5
1088.0,P4,P8,P5
1096.0,M3,P8,m6
1104.0,P1,P8,P8
1112.0,P1,P8,P8
1120.0,Rest,Rest,M6
1128.0,-P4,P5,P8
1136.0,-P4,P5,P8
1144.0,P1,P5,P5
1152.0,-P5,P1,P5
1160.0,-P5,P1,P5
1168.0,-P5,P1,P5
1176.0,-P4,P5,P8
1184.0,-P4,P5,P8
1192.0,Rest,Rest,Rest
1200.0,P1,P5,P5
1208.0,P1,P5,P5
1216.0,-m3,M3,P5
1224.0,m3,P5,M3
1232.0,m3,P5,M3
1240.0,m3,P5,M3
1248.0,P1,P8,P8
1256.0,-P4,P5,P8
1264.0,-P4,M6,M2
1272.0,-P5,P8,P5
1280.0,-P5,P8,P5
1288.0,-P4,M2,P5
1296.0,-P4,P5,P8
1304.0,-P4,P5,P8
1312.0,Rest,Rest,m6
1320.0,-P4,P5,P8
1328.0,-P4,P5,P8
1336.0,P1,P5,P5
1344.0,P5,P5,P1
1352.0,P5,P5,P1
1360.0,Rest,P5,Rest
1368.0,P1,P5,P5
1376.0,P1,P5,P5
1384.0,M2,Rest,Rest
1392.0,-P4,P5,P8
1400.0,-M3,m6,P8
1408.0,M2,P8,m7
1416.0,P4,P8,P5
1424.0,m3,P8,M6
1432.0,Rest,Rest,P8
1440.0,P1,P5,P5
1448.0,M3,P5,m3
1456.0,m3,P5,M3
1464.0,P4,P8,P5
1472.0,P1,P5,P5
1480.0,P4,M6,M3
1488.0,P4,P8,P5
