Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P1,P4,P8,P4,P8,P5
8.0,P1,P4,P8,P4,P8,P5
16.0,-P4,P1,P5,P4,P8,P5
24.0,M3,P4,m7,m2,d5,P4
32.0,P1,P4,P8,P4,P8,P5
40.0,P1,P4,P8,P4,P8,P5
48.0,m3,P8,P8,M6,M6,P1
56.0,A4,M6,P8,m3,d5,m3
64.0,P1,P4,P8,P4,P8,P5
72.0,P1,P4,P8,P4,P8,P5
80.0,Rest,Rest,Rest,P4,m6,m3
88.0,Rest,Rest,Rest,P5,M2,P5
96.0,-P4,P1,P5,P4,P8,P5
104.0,-P4,P1,P5,P4,P8,P5
112.0,Rest,-P4,P5,Rest,Rest,P8
120.0,Rest,-M2,P8,Rest,Rest,M2
128.0,P1,P4,P8,P4,P8,P5
136.0,P4,P4,P8,P1,P5,P5
144.0,P5,Rest,P5,Rest,P1,Rest
152.0,P4,Rest,P8,Rest,P5,Rest
160.0,M6,P4,P8,-M3,m3,P5
168.0,M6,P4,P8,-M3,m3,P5
176.0,P5,P5,P5,P1,P8,P8
184.0,P1,P4,m3,P4,m3,m7
192.0,P1,P5,P5,P5,P5,P8
200.0,-P5,P1,P8,P5,P5,P8
208.0,Rest,P4,P8,Rest,Rest,P5
216.0,Rest,m6,m3,Rest,Rest,P5
224.0,P4,P4,P8,P1,P5,P5
232.0,P4,P4,P8,P1,P5,P5
240.0,Rest,Rest,Rest,M3,P5,m3
248.0,Rest,Rest,Rest,P5,P5,P1
256.0,P4,M6,P8,M3,P5,m3
264.0,P1,M3,P5,M3,P5,m3
272.0,P4,P4,P8,P1,P5,P5
280.0,P4,P4,P8,P1,P5,P5
288.0,P4,P1,P8,-P4,P5,P8
296.0,P4,P1,P8,-P4,P5,P8
304.0,P4,Rest,P8,Rest,P5,Rest
312.0,M3,Rest,P5,Rest,m3,Rest
320.0,P4,P1,M6,-P4,M3,M6
328.0,P4,P1,M6,-P4,M3,M6
336.0,Rest,Rest,Rest,-P4,P5,P8
344.0,Rest,Rest,Rest,P1,P8,P8
352.0,P1,m3,P8,m3,P8,M6
360.0,P1,m3,P8,m3,P8,M6
368.0,P5,P5,P5,P1,P8,P8
376.0,M3,M3,P8,P1,m6,m6
384.0,P1,P4,P8,P4,P8,P5
392.0,P1,P4,P8,P4,P8,P5
400.0,P1,P4,P8,P4,P8,P5
408.0,P1,P4,P8,P4,P8,P5
416.0,P4,P8,P8,P5,P5,P1
424.0,P4,P8,P8,P5,P5,P1
432.0,Rest,P4,P8,Rest,Rest,P5
440.0,Rest,P4,P8,Rest,Rest,P5
448.0,P1,P4,P8,P4,P8,P5
