Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
8.0,-P4,P5,P8
16.0,-P4,P5,P8
24.0,-P4,M3,M6
32.0,-P4,M3,M6
40.0,-P5,M2,M6
48.0,-P4,P5,P8
56.0,-M3,P8,M3
64.0,-P4,P8,P4
72.0,P1,P8,P8
80.0,M3,P8,m6
88.0,M3,P8,m6
96.0,-P4,P5,P8
104.0,P4,P8,P5
112.0,m3,P8,M6
120.0,Rest,Rest,M6
128.0,Rest,Rest,M6
136.0,Rest,Rest,M6
144.0,-P4,P5,P8
152.0,-P4,P5,P8
160.0,-m3,M6,P8
168.0,Rest,P8,Rest
176.0,Rest,P8,Rest
184.0,Rest,M2,Rest
192.0,-m3,P8,m3
200.0,-P5,M6,M3
208.0,-P5,M6,M3
216.0,-P5,P8,P5
224.0,-P5,P8,P5
232.0,-P5,P8,P5
240.0,-m6,P5,m3
248.0,-P4,P5,P8
256.0,-M3,P5,M7
264.0,-P4,P5,P8
272.0,-P4,P5,P8
280.0,-m2,P5,m6
288.0,Rest,Rest,P5
296.0,Rest,Rest,P8
304.0,Rest,Rest,M2
312.0,-P4,P5,P8
320.0,-P4,M3,M6
328.0,-P4,M3,M6
336.0,-P4,P5,P8
344.0,P1,P8,P8
352.0,-P4,P5,P8
360.0,Rest,P5,Rest
368.0,Rest,P5,Rest
376.0,Rest,P5,Rest
384.0,-P4,P5,P8
392.0,-P4,P5,P8
400.0,-P4,P5,P8
408.0,Rest,Rest,M3
416.0,Rest,Rest,P5
424.0,Rest,Rest,P5
432.0,-P8,P5,P5
440.0,P1,P8,P8
448.0,m3,P8,M6
456.0,P1,P8,P8
464.0,-P4,P5,P8
472.0,-P4,P5,P8
480.0,-m6,P5,m3
488.0,-M6,P5,M3
496.0,-P4,M6,M2
504.0,-M3,P8,M3
512.0,-M6,P5,M3
520.0,-P5,M6,M3
528.0,Rest,P8,Rest
536.0,Rest,P8,Rest
544.0,Rest,M6,Rest
552.0,-P4,P5,P8
560.0,-P4,M3,M6
568.0,-m6,M3,P8
576.0,-P4,P5,P8
584.0,-P4,P5,P8
592.0,-P5,P5,M2
600.0,Rest,Rest,P5
608.0,Rest,Rest,P5
616.0,Rest,Rest,P5
624.0,P4,P8,P5
632.0,P4,P8,P5
640.0,M3,P8,m6
648.0,-P4,P5,P8
656.0,-M6,P5,M3
664.0,-M6,P5,M3
672.0,-m6,P5,m3
680.0,-M6,P5,M3
688.0,-P5,M6,M3
696.0,-P5,P8,P5
704.0,-P5,P8,P5
712.0,-P5,P8,P5
720.0,Rest,Rest,P8
728.0,Rest,Rest,P8
736.0,Rest,Rest,M7
744.0,-P4,P5,P8
752.0,-P4,P5,P8
760.0,-P5,P4,P8
768.0,-m6,P5,m3
776.0,-P8,P5,P5
784.0,-M3,P8,M3
792.0,P1,P8,P8
800.0,m3,P8,M6
808.0,m3,P8,M6
816.0,-P4,P5,P8
824.0,-P4,P5,P8
832.0,-m3,M6,P8
840.0,Rest,P5,Rest
848.0,Rest,P5,Rest
856.0,Rest,P5,Rest
864.0,-P4,P5,P8
872.0,-P4,P5,P8
880.0,-m2,P5,m6
888.0,Rest,Rest,M6
896.0,Rest,Rest,P8
904.0,Rest,Rest,P8
912.0,P4,P8,P5
920.0,-P4,P5,P8
928.0,-m3,P5,m7
936.0,-P4,P5,P8
944.0,P1,P8,P8
952.0,-m3,P5,m7
960.0,-m6,M3,P8
968.0,-m3,M3,P5
976.0,-d4,A2,P5
984.0,-P4,P5,P8
992.0,-P4,P5,P8
1000.0,-P4,P5,P8
1008.0,Rest,Rest,m3
1016.0,Rest,Rest,P5
1024.0,Rest,Rest,M3
1032.0,-P8,P5,P5
1040.0,-P5,P4,P8
1048.0,-P4,M3,M6
1056.0,-P4,P5,P8
