Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,P8
16.0,Rest,Rest,P5
32.0,Rest,Rest,P5
48.0,Rest,Rest,P5
64.0,Rest,Rest,P1
80.0,Rest,Rest,P1
96.0,P4,P8,P5
112.0,P5,Rest,Rest
128.0,P5,Rest,Rest
144.0,P4,P8,P5
160.0,Rest,P8,Rest
176.0,Rest,P5,Rest
192.0,P4,P8,P5
208.0,Rest,Rest,P5
224.0,Rest,Rest,P1
240.0,P4,P8,P5
256.0,Rest,Rest,Rest
272.0,P4,Rest,Rest
288.0,P5,P5,P1
304.0,P5,P8,P4
320.0,P4,P8,P5
336.0,P4,P8,P5
352.0,P4,P8,P5
368.0,Rest,Rest,P5
384.0,P4,P8,P5
400.0,P5,Rest,Rest
416.0,P5,Rest,Rest
432.0,P4,P8,P5
448.0,Rest,P5,Rest
464.0,Rest,P8,Rest
480.0,P5,M2,P5
496.0,m3,P5,M3
512.0,m6,P8,M3
528.0,P4,P8,P5
544.0,Rest,Rest,Rest
560.0,Rest,Rest,Rest
576.0,P4,P8,P5
592.0,P4,P8,P5
608.0,P4,P8,P5
624.0,P4,P8,P5
640.0,P8,P5,P5
656.0,Rest,P8,Rest
672.0,P4,P8,P5
688.0,Rest,Rest,Rest
704.0,Rest,Rest,Rest
720.0,P5,P5,P1
736.0,P4,P8,P5
752.0,P1,P5,P5
768.0,P4,P8,P5
784.0,P4,P8,P5
800.0,P8,P8,P1
816.0,P4,P8,P5
832.0,Rest,Rest,Rest
848.0,-m3,Rest,Rest
864.0,P4,M6,M3
880.0,P4,P8,P5
896.0,M6,M3,P5
912.0,P8,P8,P1
928.0,Rest,P5,Rest
944.0,Rest,P5,Rest
960.0,P4,P8,P5
976.0,P5,Rest,Rest
992.0,m3,Rest,Rest
1008.0,P4,P8,P5
1024.0,P4,P8,P5
1040.0,Rest,Rest,P8
1056.0,Rest,Rest,P5
1072.0,P4,P8,P5
1088.0,P5,P5,P1
1104.0,P4,P8,P5
1120.0,M3,Rest,Rest
1136.0,P5,Rest,Rest
1152.0,P4,P8,P5
1168.0,Rest,Rest,M3
1184.0,P4,P8,P5
1200.0,P4,P8,P5
1216.0,P4,P8,P5
1232.0,P4,P8,P5
1248.0,Rest,P8,Rest
1264.0,P4,P8,P5
1280.0,Rest,Rest,P5
1296.0,P8,P5,P5
1312.0,P8,P5,P5
1328.0,P5,P5,P8
1344.0,P4,P8,P5
1360.0,Rest,P5,Rest
1376.0,P4,P8,P5
1392.0,Rest,Rest,P1
1408.0,P4,P8,P5
1424.0,P4,P8,P5
1440.0,Rest,P5,Rest
1456.0,P4,P8,P5
1472.0,Rest,Rest,P5
1488.0,P4,P8,P5
1504.0,P5,P5,P1
1520.0,P4,P8,P5
