Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P5,P5,P8
16.0,P5,M3,M6
32.0,P4,P8,P5
48.0,P4,P8,P5
64.0,P4,P8,P5
80.0,m3,P5,M3
96.0,P1,P8,P8
112.0,M3,P5,m3
128.0,Rest,P5,Rest
144.0,P4,P8,P5
160.0,M6,M6,P1
176.0,P4,P8,P5
192.0,Rest,Rest,P5
208.0,P4,P8,P5
224.0,Rest,P5,Rest
240.0,P8,M3,M3
256.0,P1,P8,P8
272.0,P4,P8,P5
288.0,P4,M6,M3
304.0,P4,P8,P5
320.0,P5,P5,P8
336.0,Rest,Rest,P5
352.0,M3,P8,m6
368.0,-P4,P5,P8
384.0,P5,Rest,Rest
400.0,P8,P5,P5
416.0,Rest,P8,Rest
432.0,P1,P8,P8
448.0,P4,P8,P5
464.0,P1,P8,P8
480.0,P5,P5,P1
496.0,P4,P8,P5
512.0,M3,P5,m3
528.0,P5,P5,P1
544.0,P4,P8,P5
560.0,P8,P8,P1
576.0,Rest,P5,Rest
592.0,P4,P8,P5
608.0,Rest,Rest,P5
624.0,P1,P8,P8
640.0,P5,P5,P8
656.0,P4,P8,P5
672.0,P4,P8,P5
688.0,P4,P8,P5
704.0,P4,P8,P5
720.0,P4,P8,P5
736.0,Rest,P8,Rest
752.0,P4,P8,P5
768.0,P4,P8,P5
784.0,Rest,Rest,Rest
800.0,P1,P8,P8
816.0,-P4,P5,P8
832.0,-P4,P5,P8
848.0,P4,P8,P5
864.0,Rest,P5,Rest
880.0,P5,P5,P1
896.0,P4,P8,P5
912.0,Rest,Rest,m3
928.0,P8,P8,P1
944.0,P1,P5,P5
960.0,P5,P5,P1
976.0,P8,P5,P5
992.0,P4,P8,P5
1008.0,P4,P8,P5
1024.0,P4,P8,P5
1040.0,Rest,P5,Rest
1056.0,P4,P8,P5
1072.0,Rest,Rest,P5
1088.0,P4,P8,P5
1104.0,P4,P8,P5
1120.0,P8,P5,P5
1136.0,P1,P8,P8
1152.0,P4,P8,P5
1168.0,P5,P5,P8
