Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
36.0,P1,P5,P5
72.0,P5,P5,P1
108.0,P5,P5,P1
144.0,-P5,P1,P5
180.0,-P5,P1,P5
216.0,P1,P5,P5
252.0,-P4,P5,P8
288.0,P1,P5,P5
324.0,-P4,P5,P8
360.0,P4,P8,P5
396.0,-P4,P5,P8
432.0,P4,Rest,Rest
468.0,P4,P8,P5
504.0,P4,P8,P5
540.0,P1,P5,P5
576.0,-P4,P5,P8
612.0,-m3,M3,P5
648.0,P4,P8,P5
684.0,m3,P5,M3
720.0,P4,P8,P5
756.0,-P4,P5,P8
792.0,-d5,A4,P8
828.0,P1,P8,P8
864.0,-P4,P5,P8
900.0,-M3,Rest,Rest
936.0,P4,P8,P5
972.0,P4,P8,P5
1008.0,P4,P8,P5
1044.0,-P4,P5,P8
1080.0,P4,P8,P5
1116.0,P5,P5,P1
1152.0,m3,P5,M3
1188.0,-P4,P5,P8
1224.0,P4,P8,P5
1260.0,P4,P8,P5
1296.0,P1,P5,P5
1332.0,-P4,P5,P8
1368.0,-M3,Rest,Rest
1404.0,P4,P8,P5
1440.0,-P4,P5,P8
1476.0,P4,P8,P5
1512.0,P1,P5,P5
1548.0,P5,P5,P1
1584.0,P4,P8,P5
1620.0,-P4,P5,P8
1656.0,-P5,P8,P5
1692.0,-P4,P5,P8
1728.0,-P4,P5,P8
1764.0,-P4,P5,P8
1800.0,-P4,P5,P8
