Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
36.0,P4,M6,M3
72.0,P4,P8,P5
108.0,P8,Rest,Rest
144.0,P1,P8,P8
180.0,P4,P8,P5
216.0,-P4,P5,P8
252.0,Rest,Rest,Rest
288.0,P1,P8,P8
324.0,P4,P8,P5
360.0,P1,P5,P5
396.0,-P5,Rest,Rest
432.0,m3,P5,M3
468.0,P1,P5,P5
504.0,P4,P8,P5
540.0,Rest,Rest,Rest
576.0,P1,P5,P5
612.0,P4,P8,P5
648.0,P4,P8,P5
684.0,-P5,Rest,Rest
720.0,P1,P8,P8
756.0,-P4,P5,P8
792.0,-P4,P5,P8
828.0,Rest,Rest,Rest
864.0,P1,P8,P8
900.0,P5,P5,P8
936.0,P4,P8,P5
972.0,m3,Rest,Rest
1008.0,P4,P8,P5
1044.0,M6,P8,m3
1080.0,P4,P8,P5
1116.0,P5,P5,P8
1152.0,P8,P8,P1
1188.0,P4,P8,P5
1224.0,-P4,P5,P8
1260.0,P4,P8,P5
1296.0,P4,P8,P5
1332.0,P4,P8,P5
1368.0,P4,P8,P5
1404.0,-P4,P5,P8
1440.0,P1,P5,P5
1476.0,P4,P8,P5
1512.0,-P4,P5,P8
1548.0,P1,P8,P8
1584.0,P1,P8,P8
1620.0,P4,P8,P5
1656.0,P1,P8,P8
1692.0,P4,P8,P5
1728.0,P5,P5,P8
