Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
16.0,P1,P5,P5
32.0,M3,P5,m3
48.0,P4,P8,P5
64.0,P5,P5,P8
80.0,M3,P5,m3
96.0,P4,P8,P5
112.0,Rest,P5,Rest
128.0,M3,M3,P8
144.0,-P4,P5,P8
160.0,Rest,Rest,P5
176.0,m3,P8,M6
192.0,m3,Rest,Rest
208.0,P1,P5,P5
224.0,m6,P8,M3
240.0,P8,m3,m3
256.0,Rest,Rest,P5
272.0,-P4,M3,M6
288.0,-P4,P5,P8
304.0,Rest,P5,Rest
320.0,-P4,P5,P8
336.0,P4,P8,P5
352.0,P8,P8,P1
368.0,m6,P8,M3
384.0,m6,m3,P5
400.0,P5,P5,P8
416.0,m3,Rest,Rest
432.0,P1,P5,P5
448.0,Rest,M3,Rest
464.0,-M6,P5,M3
480.0,Rest,Rest,m3
496.0,-P4,P5,P8
512.0,P4,P8,P5
528.0,P1,P8,P8
544.0,-P5,P8,P5
560.0,P4,P8,P5
576.0,Rest,P5,Rest
592.0,-P4,M3,M6
608.0,-P4,P5,P8
624.0,P1,Rest,Rest
640.0,-M3,P8,M3
656.0,Rest,Rest,P8
672.0,-P4,P5,P8
688.0,-P4,P5,P8
704.0,-P4,P5,P8
720.0,-m3,P8,m3
736.0,-m3,P8,m3
752.0,-P4,P5,P8
768.0,-P4,P5,P8
784.0,P4,P8,P5
800.0,Rest,P8,Rest
816.0,Rest,Rest,P5
832.0,P8,P5,P5
848.0,P5,Rest,Rest
864.0,P4,P8,P5
880.0,Rest,P8,Rest
896.0,P1,P8,P8
912.0,-M3,Rest,Rest
928.0,-P4,P5,P8
944.0,P1,P8,P8
960.0,P5,P5,P8
