Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
24.0,-P4,P5,P8
48.0,-P5,P1,P5
72.0,-P4,P5,P8
96.0,-P5,P1,P5
120.0,Rest,Rest,P5
144.0,-P4,M3,M6
168.0,P4,P8,P5
192.0,P5,Rest,Rest
216.0,-M3,P8,M3
240.0,P4,P8,P5
264.0,-P4,P5,P8
288.0,-P8,Rest,Rest
312.0,Rest,P5,Rest
336.0,-m3,M3,P5
360.0,-P5,-m3,M3
384.0,-P5,Rest,Rest
408.0,-m2,M7,P8
432.0,-M6,m3,P8
456.0,Rest,Rest,M6
480.0,-P8,Rest,Rest
504.0,-P4,P5,P8
528.0,P4,P8,P5
552.0,P5,P5,P8
576.0,-P5,Rest,Rest
600.0,-P8,P5,P5
624.0,-M7,m3,M2
648.0,Rest,P5,Rest
672.0,-P4,P5,P8
696.0,-P5,P1,P5
720.0,Rest,Rest,P5
744.0,P1,P5,P5
768.0,-P4,P5,P8
792.0,-P5,Rest,Rest
816.0,-M6,P5,M3
840.0,-P4,P5,P8
864.0,-P4,P5,P8
888.0,m3,Rest,Rest
912.0,Rest,P5,Rest
936.0,P4,M6,M3
960.0,m7,P5,-m3
984.0,P5,Rest,Rest
1008.0,-P4,P5,P8
1032.0,P4,P8,P5
1056.0,Rest,Rest,M3
1080.0,-P5,Rest,Rest
1104.0,-m6,P5,m3
1128.0,P4,P8,P5
1152.0,P4,P8,P5
1176.0,Rest,Rest,Rest
