Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
16.0,-M6,P5,M3
32.0,P1,P5,P5
48.0,-P5,P1,P5
64.0,-P4,P5,P8
80.0,-P8,Rest,Rest
96.0,-P5,P1,P5
112.0,Rest,P5,Rest
128.0,-P4,M3,M6
144.0,-P4,M3,M6
160.0,-P4,P5,P8
176.0,M3,Rest,Rest
192.0,P5,Rest,Rest
208.0,P1,M3,M3
224.0,P1,P5,P5
240.0,P4,P8,P5
256.0,Rest,Rest,M6
272.0,-P4,P5,P8
288.0,-P8,Rest,Rest
304.0,-P5,P8,P5
320.0,Rest,Rest,m3
336.0,-m3,M3,P5
352.0,-P5,-m3,M3
368.0,-P5,P1,P5
384.0,-P5,Rest,Rest
400.0,P4,P8,P5
416.0,-P4,P5,P8
432.0,-M6,m3,P8
448.0,Rest,P1,Rest
464.0,-P4,M3,M6
480.0,-P8,Rest,Rest
496.0,-P4,P5,P8
512.0,Rest,P5,Rest
528.0,P4,P8,P5
544.0,m6,P4,M6
560.0,P5,P5,P8
576.0,-P5,Rest,Rest
592.0,-P8,Rest,Rest
608.0,-M6,P5,M3
624.0,-M7,m3,M2
640.0,m3,P8,M6
656.0,Rest,Rest,P5
672.0,-P4,P5,P8
688.0,-P5,Rest,Rest
704.0,-P5,P1,P5
720.0,Rest,Rest,P5
736.0,M3,P5,m3
752.0,P4,P8,P5
768.0,-P4,P5,P8
784.0,-P5,Rest,Rest
800.0,-P4,P5,P8
816.0,-M6,P5,M3
832.0,-P4,P5,P8
848.0,Rest,P8,Rest
864.0,-P4,P5,P8
880.0,P5,Rest,Rest
896.0,P4,P8,P5
912.0,Rest,P5,Rest
928.0,P4,P8,P5
944.0,m3,P5,M3
960.0,m7,P5,-m3
976.0,P8,Rest,Rest
992.0,P1,Rest,Rest
1008.0,-P4,P5,P8
1024.0,d5,P8,A4
1040.0,P4,P8,P5
1056.0,Rest,Rest,M3
1072.0,P1,P5,P5
1088.0,-M3,Rest,Rest
1104.0,-m6,P5,m3
1120.0,-P5,P5,M2
1136.0,P4,P8,P5
1152.0,P4,P8,P5
1168.0,P4,P8,P5
1184.0,Rest,Rest,Rest
