Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
16.0,-P4,M3,M6
32.0,P4,P8,P5
48.0,P8,Rest,Rest
64.0,m6,P8,M3
80.0,P8,P8,P1
96.0,Rest,P5,Rest
112.0,P1,P5,P5
128.0,Rest,Rest,P5
144.0,P4,P8,P5
160.0,P5,Rest,Rest
176.0,P5,P5,P1
192.0,m3,P5,M3
208.0,P5,P5,P1
224.0,P5,Rest,Rest
240.0,P8,P8,P1
256.0,Rest,Rest,Rest
272.0,P5,M3,M6
288.0,P5,P5,P8
304.0,A4,P8,d5
320.0,P4,P8,P5
336.0,P1,Rest,Rest
352.0,P1,P5,P5
368.0,m3,P5,M3
384.0,P4,P8,P5
400.0,Rest,Rest,Rest
416.0,-P4,P5,P8
432.0,Rest,P5,Rest
448.0,P1,P5,P5
464.0,-P5,P1,P5
480.0,P4,P8,P5
496.0,P4,P8,P5
512.0,P5,Rest,Rest
528.0,P5,P5,P1
544.0,Rest,Rest,P8
560.0,P4,P8,P5
576.0,P1,Rest,Rest
592.0,m3,P5,M3
608.0,P4,P8,P5
624.0,P4,P8,P5
640.0,Rest,P8,Rest
656.0,-P8,m3,m3
672.0,-P8,P1,P8
688.0,P1,Rest,Rest
704.0,-P4,P5,P8
720.0,Rest,Rest,P5
736.0,-P4,P5,P8
752.0,-P5,Rest,Rest
768.0,P1,P5,P5
784.0,P5,P5,P1
800.0,P5,P5,P1
816.0,Rest,P5,Rest
832.0,P5,m3,-M3
848.0,P5,P5,P1
864.0,Rest,Rest,Rest
880.0,P1,P5,P5
896.0,P4,P8,P5
912.0,m3,P5,M3
928.0,P1,Rest,Rest
944.0,m3,P8,M6
960.0,-P4,P5,P8
976.0,-P4,P5,P8
992.0,-m3,P8,m3
1008.0,-P4,P5,P8
1024.0,-P8,P1,P8
