Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
24.0,-m3,M3,P5
48.0,P4,P8,P5
72.0,P4,m6,m3
96.0,-P4,P5,P8
120.0,P1,P5,P5
144.0,P4,P8,P5
168.0,P4,P8,P5
192.0,-P4,P5,P8
216.0,-P5,P8,P5
240.0,-P4,P5,P8
264.0,P4,P8,P5
288.0,P5,P5,P1
312.0,-P4,P5,P8
336.0,P4,P8,P5
360.0,-M3,m6,P8
384.0,P4,P8,P5
408.0,P4,P8,P5
432.0,-M3,m3,P5
456.0,P4,P8,P5
480.0,P4,P8,P5
504.0,P5,P5,P1
528.0,P4,P8,P5
552.0,-m3,M3,P5
576.0,M3,P5,m3
600.0,P5,P5,P1
624.0,P4,P8,P5
648.0,P4,P8,P5
672.0,P4,P8,P5
696.0,m3,P5,M3
720.0,-m3,M6,P8
744.0,P4,P8,P5
768.0,P4,P8,P5
792.0,P4,P8,P5
816.0,P4,P8,P5
840.0,P5,P5,P1
864.0,P4,P8,P5
888.0,-M3,m6,P8
912.0,P4,P8,P5
936.0,-M3,m3,P5
960.0,P1,P8,P8
984.0,P4,P8,P5
1008.0,P4,P8,P5
1032.0,P5,P5,P1
1056.0,P4,P8,P5
1080.0,P4,M6,M3
1104.0,P4,P8,P5
