Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,P5
24.0,Rest,Rest,P8
48.0,m3,P5,M3
72.0,P4,P8,P5
96.0,P5,M3,M6
120.0,-P4,P5,P8
144.0,-m3,Rest,Rest
168.0,P4,P8,P5
192.0,m3,P8,M6
216.0,-P4,P5,P8
240.0,Rest,P8,Rest
264.0,P4,P8,P5
288.0,P4,P8,P5
312.0,P5,Rest,Rest
336.0,P4,P8,P5
360.0,P5,P5,P8
384.0,P4,P8,P5
408.0,P4,P8,P5
432.0,-P4,M3,M6
456.0,-P4,P5,P8
480.0,-P5,Rest,Rest
504.0,P4,P8,P5
528.0,Rest,M6,Rest
552.0,P4,P8,P5
576.0,P4,P8,P5
600.0,P4,P8,P5
624.0,P4,P8,P5
648.0,P4,P8,P5
672.0,P5,P5,P8
696.0,Rest,Rest,Rest
720.0,P4,P8,P5
744.0,P4,P8,P5
768.0,m3,P5,M3
792.0,Rest,P8,Rest
816.0,P4,M6,M3
840.0,P4,P8,P5
864.0,P1,Rest,Rest
888.0,P4,P8,P5
912.0,P4,P8,P5
936.0,-P4,P5,P8
960.0,Rest,Rest,P8
984.0,P4,P8,P5
1008.0,P5,M2,P5
1032.0,P1,Rest,Rest
1056.0,-P4,P5,P8
1080.0,P1,P8,P8
1104.0,-P4,P5,P8
1128.0,Rest,P8,Rest
1152.0,-P4,M3,M6
1176.0,-P4,P5,P8
1200.0,P1,Rest,Rest
1224.0,P4,P8,P5
1248.0,m3,P5,M3
1272.0,P4,P8,P5
1296.0,Rest,Rest,P8
1320.0,P4,P8,P5
1344.0,P4,P8,P5
1368.0,M3,M3,P8
1392.0,P5,P5,P8
