Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
16.0,m6,m3,P5
32.0,P5,P5,P1
48.0,P4,M6,M3
64.0,Rest,Rest,-m3
80.0,P5,P5,P1
96.0,P5,Rest,Rest
112.0,P5,Rest,Rest
128.0,-M3,m3,P5
144.0,P5,P5,P1
160.0,Rest,P5,Rest
176.0,P8,P4,-P5
192.0,P5,m3,-M3
208.0,P8,M6,-m3
224.0,P1,P5,P5
240.0,P4,P8,P5
256.0,m3,P5,M3
272.0,m3,Rest,Rest
288.0,P5,Rest,Rest
304.0,P4,P8,P5
320.0,Rest,M3,Rest
336.0,P4,P8,P5
352.0,Rest,Rest,P5
368.0,P8,M3,M3
384.0,P8,M6,-m3
400.0,P8,Rest,Rest
416.0,P8,Rest,Rest
432.0,P8,M6,-m3
448.0,P5,P5,P1
464.0,Rest,P8,Rest
480.0,-P4,P5,P8
496.0,Rest,Rest,m3
512.0,-A4,m3,M6
528.0,-M3,m6,P8
544.0,P5,P5,P1
560.0,P8,P4,-P5
576.0,P5,Rest,Rest
592.0,P5,Rest,Rest
608.0,P8,M6,-m3
624.0,P8,M6,-m3
640.0,P4,P8,P5
656.0,Rest,P5,Rest
672.0,P4,P8,P5
688.0,M6,Rest,Rest
704.0,M3,Rest,Rest
720.0,P5,P5,P1
736.0,Rest,Rest,P5
752.0,P4,P8,P5
768.0,M3,M3,P1
784.0,Rest,P5,Rest
800.0,P1,P5,P5
816.0,P5,Rest,Rest
832.0,P5,Rest,Rest
848.0,M6,P8,m3
864.0,Rest,P5,Rest
880.0,-P5,P1,P5
896.0,P5,P5,P1
912.0,P5,m3,-M3
928.0,P8,P4,-P5
944.0,Rest,P5,Rest
960.0,m3,P5,M3
976.0,M3,P5,m3
992.0,m3,Rest,Rest
1008.0,P1,Rest,Rest
1024.0,P4,P8,P5
1040.0,Rest,P5,Rest
1056.0,-P4,P5,P8
1072.0,Rest,Rest,P5
1088.0,P8,P5,P5
1104.0,P8,P8,P1
1120.0,m3,Rest,Rest
1136.0,P8,Rest,Rest
1152.0,P5,P5,P1
1168.0,Rest,P8,Rest
1184.0,-P4,P5,P8
1200.0,P4,P8,P5
1216.0,-P4,P5,P8
1232.0,M6,P8,m3
1248.0,Rest,Rest,P5
1264.0,P1,P5,P5
1280.0,m3,P5,M3
1296.0,P1,Rest,Rest
1312.0,P1,Rest,Rest
1328.0,P1,P5,P5
1344.0,Rest,P5,Rest
1360.0,P1,P5,P5
1376.0,M3,M3,P8
1392.0,P4,P8,P5
1408.0,M6,Rest,Rest
1424.0,P5,Rest,Rest
1440.0,P4,M6,M3
1456.0,-P4,P5,P8
