Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
24.0,P1,P8,P8
48.0,P1,P5,P5
72.0,P4,m7,P4
96.0,P4,P8,P5
120.0,P1,P5,P5
144.0,P1,P5,P5
168.0,Rest,Rest,Rest
192.0,P4,P8,P5
216.0,P5,P5,P1
240.0,P4,P8,P5
264.0,m3,m7,P5
288.0,-P4,P5,P8
312.0,-P4,P5,P8
336.0,P4,P8,P5
360.0,m3,Rest,Rest
384.0,P4,P8,P5
408.0,Rest,P5,Rest
432.0,-P4,P5,P8
456.0,P1,P8,P8
480.0,m3,P5,M3
504.0,P4,P8,P5
528.0,-P4,P5,P8
552.0,P5,Rest,Rest
576.0,P1,P5,P5
600.0,Rest,P5,Rest
624.0,-P4,P5,P8
648.0,P4,P8,P5
672.0,-P4,P5,P8
696.0,P1,P5,P5
720.0,-P4,P5,P8
744.0,P1,Rest,Rest
768.0,P1,P5,P5
792.0,Rest,P5,Rest
816.0,-P4,P5,P8
840.0,-P4,P5,P8
864.0,P4,P8,P5
888.0,P4,P8,P5
912.0,-P4,P5,P8
936.0,P1,Rest,Rest
960.0,P4,P8,P5
984.0,Rest,P8,Rest
1008.0,m3,P5,M3
1032.0,P1,P4,P4
1056.0,P4,P8,P5
1080.0,P1,P5,P5
1104.0,P4,P8,P5
1128.0,m3,Rest,Rest
1152.0,P4,P8,P5
1176.0,P5,P5,P1
1200.0,P4,P8,P5
1224.0,Rest,P5,Rest
1248.0,-P4,P5,P8
1272.0,-P4,P5,P8
1296.0,-P4,P5,P8
1320.0,-m3,Rest,Rest
1344.0,P1,P8,P8
1368.0,P1,P5,P5
1392.0,P4,P8,P5
1416.0,Rest,P8,Rest
1440.0,-P4,P5,P8
1464.0,P4,P8,P5
1488.0,-P4,P5,P8
1512.0,P1,Rest,Rest
1536.0,P4,P8,P5
1560.0,P1,P5,P5
1584.0,P4,P8,P5
1608.0,Rest,P5,Rest
1632.0,P4,P8,P5
1656.0,m3,P5,M3
1680.0,P4,P8,P5
1704.0,P1,Rest,Rest
1728.0,P1,P5,P5
1752.0,-P5,P1,P5
1776.0,-P4,P5,P8
1800.0,-P4,P5,P8
1824.0,P4,P8,P5
1848.0,P4,P8,P5
1872.0,P4,P8,P5
