Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
24.0,m3,P5,M3
48.0,P4,P8,P5
72.0,P1,Rest,Rest
96.0,M2,P5,P4
120.0,m3,Rest,Rest
144.0,m3,P5,M3
168.0,Rest,Rest,P5
192.0,P4,P8,P5
216.0,P1,Rest,Rest
240.0,P5,M3,M6
264.0,P5,Rest,Rest
288.0,P4,P8,P5
312.0,Rest,P8,Rest
336.0,P4,P8,P5
360.0,P5,Rest,Rest
384.0,-m3,M3,P5
408.0,P1,Rest,Rest
432.0,P5,P5,P1
456.0,P8,P4,-P5
480.0,Rest,P5,Rest
504.0,P8,Rest,Rest
528.0,P8,P4,-P5
552.0,P1,Rest,Rest
576.0,P4,m6,m3
600.0,m3,m3,P1
624.0,P4,m6,m3
648.0,P5,Rest,Rest
672.0,M6,P8,m3
696.0,-P5,Rest,Rest
720.0,P4,P8,P5
744.0,Rest,P5,Rest
768.0,P4,P8,P5
792.0,P5,Rest,Rest
816.0,m3,d5,m3
840.0,P5,Rest,Rest
864.0,P4,P8,P5
888.0,Rest,P5,Rest
912.0,M3,P5,m3
936.0,P5,Rest,Rest
960.0,A4,P8,d5
984.0,M6,P8,m3
1008.0,P4,P8,P5
