Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
16.0,Rest,Rest,Rest
32.0,Rest,Rest,Rest
48.0,M3,Rest,Rest
64.0,M3,Rest,Rest
80.0,P8,Rest,Rest
96.0,P8,P4,-P5
112.0,Rest,Rest,-M3
128.0,Rest,Rest,-P5
144.0,P8,P4,-P5
160.0,P8,Rest,Rest
176.0,P5,Rest,Rest
192.0,P8,P4,-P5
208.0,Rest,P5,Rest
224.0,Rest,P1,Rest
240.0,P8,P4,-P5
256.0,P8,Rest,Rest
272.0,P5,Rest,Rest
288.0,P8,P4,-P5
304.0,P5,P5,-P8
320.0,Rest,Rest,-m7
336.0,P8,P4,-P5
352.0,P5,Rest,Rest
368.0,m6,Rest,Rest
384.0,P8,P4,-P5
400.0,Rest,P5,Rest
416.0,P5,m3,-M3
432.0,P8,P4,-P5
448.0,P8,Rest,Rest
464.0,M3,Rest,Rest
480.0,P8,P4,-P5
496.0,Rest,Rest,P1
512.0,Rest,Rest,-M3
528.0,P8,P4,-P5
544.0,P8,Rest,Rest
560.0,P5,Rest,Rest
576.0,P8,P4,-P5
592.0,Rest,P8,Rest
608.0,Rest,P5,Rest
624.0,P8,P4,-P5
640.0,P5,Rest,Rest
656.0,P8,Rest,Rest
672.0,P8,P4,-P5
688.0,P8,P4,-P5
704.0,Rest,Rest,-M3
720.0,P8,P4,-P5
736.0,P4,Rest,Rest
752.0,m6,Rest,Rest
768.0,P8,P4,-P5
784.0,Rest,P8,Rest
800.0,P5,P5,P1
816.0,P8,P4,-P5
832.0,P8,Rest,Rest
848.0,P5,Rest,Rest
864.0,P8,P4,-P5
880.0,Rest,Rest,-P5
896.0,Rest,Rest,-P8
912.0,P8,P4,-P5
928.0,P8,Rest,Rest
944.0,P5,Rest,Rest
960.0,P8,P4,-P5
976.0,Rest,P8,Rest
992.0,Rest,P5,Rest
1008.0,P8,P4,-P5
1024.0,P8,Rest,Rest
1040.0,P5,Rest,Rest
1056.0,P5,P5,-P8
1072.0,P8,P4,-P5
1088.0,Rest,Rest,-m3
1104.0,P8,P4,-P5
1120.0,P4,Rest,Rest
1136.0,M6,Rest,Rest
1152.0,P8,P4,-P5
1168.0,P5,P5,P1
1184.0,P8,P4,-P5
1200.0,P8,P4,-P5
1216.0,Rest,Rest,Rest
1232.0,Rest,Rest,Rest
