Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
24.0,P1,P8,P8
48.0,P1,P8,P8
72.0,M3,P8,m6
96.0,-P4,P5,P8
120.0,-P4,P5,P8
144.0,-P5,P1,P5
168.0,-P4,P5,P8
192.0,P1,P5,P5
216.0,-P4,P5,P8
240.0,-P5,P8,P5
264.0,-P5,P8,P5
288.0,P1,P8,P8
312.0,-P4,P5,P8
336.0,P1,P5,P5
360.0,-P4,P5,P8
384.0,P1,P8,P8
408.0,P1,P5,P5
432.0,P4,P8,P5
456.0,P4,P8,P5
480.0,P4,P8,P5
504.0,-P5,P8,P5
528.0,P1,P8,P8
552.0,P4,P8,P5
576.0,P4,P8,P5
600.0,-P4,P5,P8
624.0,P4,P8,P5
648.0,P5,P5,P1
672.0,-P4,P5,P8
696.0,P1,P5,P5
720.0,P1,P5,P5
744.0,-P4,P5,P8
768.0,-m3,P8,m3
792.0,P1,P8,P8
816.0,-P4,P5,P8
840.0,P5,P5,P1
864.0,P4,P8,P5
888.0,P1,P8,P8
912.0,P1,P5,P5
936.0,-P4,P5,P8
960.0,-P4,M3,M6
984.0,-P4,P5,P8
1008.0,-P5,P8,P5
1032.0,-m6,P5,m3
1056.0,-P4,P5,P8
1080.0,P4,P8,P5
1104.0,P1,P8,P8
1128.0,-P4,P5,P8
1152.0,-P5,P1,P5
1176.0,-P4,P5,P8
1200.0,P1,P5,P5
1224.0,m3,P5,M3
1248.0,P1,P8,P8
1272.0,-P5,P8,P5
1296.0,-P4,P5,P8
1320.0,-P4,P5,P8
1344.0,P5,P5,P1
1368.0,P1,P5,P5
1392.0,-P4,P5,P8
1416.0,P4,P8,P5
1440.0,P1,P5,P5
1464.0,P4,P8,P5
1488.0,P4,P8,P5
