Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P1,P4,P8,P4,P8,P5
16.0,-P4,P1,P5,P4,P8,P5
32.0,P1,P4,P8,P4,P8,P5
48.0,m3,P8,P8,M6,M6,P1
64.0,P1,P4,P8,P4,P8,P5
80.0,Rest,Rest,Rest,P4,m6,m3
96.0,-P4,P1,P5,P4,P8,P5
112.0,Rest,-P4,P5,Rest,Rest,P8
128.0,P1,P4,P8,P4,P8,P5
144.0,P5,Rest,P5,Rest,P1,Rest
160.0,M6,P4,P8,-M3,m3,P5
176.0,P5,P5,P5,P1,P8,P8
192.0,P1,P5,P5,P5,P5,P8
208.0,Rest,P4,P8,Rest,Rest,P5
224.0,P4,P4,P8,P1,P5,P5
240.0,Rest,Rest,Rest,M3,P5,m3
256.0,P4,M6,P8,M3,P5,m3
272.0,P4,P4,P8,P1,P5,P5
288.0,P4,P1,P8,-P4,P5,P8
304.0,P4,Rest,P8,Rest,P5,Rest
320.0,P4,P1,M6,-P4,M3,M6
336.0,Rest,Rest,Rest,-P4,P5,P8
352.0,P1,m3,P8,m3,P8,M6
368.0,P5,P5,P5,P1,P8,P8
384.0,P1,P4,P8,P4,P8,P5
400.0,P1,P4,P8,P4,P8,P5
416.0,P4,P8,P8,P5,P5,P1
432.0,Rest,P4,P8,Rest,Rest,P5
448.0,P1,P4,P8,P4,P8,P5
464.0,Rest,Rest,Rest,P4,P8,P5
480.0,P4,P8,P8,P5,P5,P1
496.0,P4,P5,P8,M2,P5,P4
512.0,-P4,P1,P5,P4,P8,P5
528.0,-M3,P1,m3,M3,P5,m3
544.0,P4,P1,P8,-P4,P5,P8
560.0,Rest,P4,P8,Rest,Rest,P5
576.0,P4,P4,P8,P1,P5,P5
592.0,Rest,Rest,Rest,-P4,P5,P8
608.0,P1,m3,P5,m3,P5,M3
624.0,P1,P4,P8,P4,P8,P5
640.0,P4,Rest,P8,Rest,P5,Rest
656.0,P1,P4,P8,P4,P8,P5
672.0,P4,M6,P8,M3,P5,m3
688.0,-P4,P1,P5,P4,P8,P5
704.0,Rest,m3,m7,Rest,Rest,P5
720.0,-P4,P1,P5,P4,P8,P5
736.0,Rest,Rest,Rest,P5,P5,P1
752.0,P1,M3,P5,M3,P5,m3
768.0,-P5,P1,P8,P5,P5,P8
784.0,-P5,P1,P8,P5,P5,P8
800.0,P1,Rest,P8,Rest,P8,Rest
816.0,-P4,P1,P5,P4,P8,P5
832.0,Rest,Rest,Rest,P1,P5,P5
848.0,P1,M3,P5,M3,P5,m3
864.0,P4,M2,P8,-m3,P5,m7
880.0,P4,P1,P8,-P4,P5,P8
896.0,Rest,P4,P8,Rest,Rest,P5
912.0,m6,P4,P8,-m3,M3,P5
928.0,P4,P4,P8,P1,P5,P5
944.0,P1,m3,P8,m3,P8,M6
960.0,Rest,Rest,Rest,P1,P8,P8
976.0,P4,P1,P8,-P4,P5,P8
992.0,P4,Rest,P8,Rest,P5,Rest
1008.0,P8,P4,P8,-P5,P1,P5
1024.0,m3,P5,P5,M3,M3,P1
1040.0,-P4,P1,P5,P4,P8,P5
1056.0,Rest,-P4,P5,Rest,Rest,P8
1072.0,-P4,P1,P5,P4,P8,P5
1088.0,-P4,P1,P5,P4,P8,P5
1104.0,-P4,P1,P5,P4,P8,P5
1120.0,Rest,Rest,Rest,M3,P5,m3
1136.0,P4,P1,P8,-P4,P5,P8
1152.0,P1,P4,P8,P4,P8,P5
1168.0,P1,P4,P8,P4,P8,P5
