Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
24.0,-P4,M3,M6
48.0,-P4,P5,P8
72.0,P1,P8,P8
96.0,-P4,P5,P8
120.0,Rest,Rest,M6
144.0,-P4,P5,P8
168.0,Rest,P8,Rest
192.0,-m3,P8,m3
216.0,-P5,P8,P5
240.0,-m6,P5,m3
264.0,-P4,P5,P8
288.0,Rest,Rest,P5
312.0,-P4,P5,P8
336.0,-P4,P5,P8
360.0,Rest,P5,Rest
384.0,-P4,P5,P8
408.0,Rest,Rest,M3
432.0,-P8,P5,P5
456.0,P1,P8,P8
480.0,-m6,P5,m3
504.0,-M3,P8,M3
528.0,Rest,P8,Rest
552.0,-P4,P5,P8
576.0,-P4,P5,P8
600.0,Rest,Rest,P5
624.0,P4,P8,P5
648.0,-P4,P5,P8
672.0,-m6,P5,m3
696.0,-P5,P8,P5
720.0,Rest,Rest,P8
744.0,-P4,P5,P8
768.0,-m6,P5,m3
792.0,P1,P8,P8
816.0,-P4,P5,P8
840.0,Rest,P5,Rest
864.0,-P4,P5,P8
888.0,Rest,Rest,M6
912.0,P4,P8,P5
936.0,-P4,P5,P8
960.0,-m6,M3,P8
984.0,-P4,P5,P8
1008.0,Rest,Rest,m3
1032.0,-P8,P5,P5
1056.0,-P4,P5,P8
