Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
12.0,P8,P8,P1
24.0,P4,P8,P5
36.0,M3,P5,m3
48.0,m3,P5,M3
60.0,m3,P5,M3
72.0,M6,M3,P5
84.0,M6,M3,P5
96.0,P5,Rest,Rest
108.0,P1,Rest,Rest
120.0,P4,P8,P5
132.0,P5,M2,P5
144.0,P8,P8,P1
156.0,P8,P8,P1
168.0,Rest,P5,Rest
180.0,Rest,Rest,m3
192.0,m3,P5,M3
204.0,m3,P5,M3
216.0,P4,P8,P5
228.0,M6,M3,P5
240.0,P5,Rest,Rest
252.0,P1,Rest,Rest
264.0,P4,P8,P5
276.0,P4,P8,P5
288.0,P5,P5,P1
300.0,P8,P8,P1
312.0,P5,P5,P1
324.0,Rest,Rest,M3
336.0,m3,P5,M3
348.0,M3,M6,P4
360.0,P4,P8,P5
372.0,P4,P8,P5
384.0,P1,Rest,Rest
396.0,P1,Rest,Rest
408.0,P1,m3,m3
420.0,P4,m6,m3
432.0,P5,P5,P1
444.0,P8,P8,P1
456.0,Rest,P5,Rest
468.0,Rest,Rest,P1
480.0,M3,P5,m3
492.0,M3,P5,m3
504.0,P4,P8,P5
516.0,M6,M3,P5
528.0,P5,Rest,Rest
540.0,P1,Rest,Rest
552.0,-M3,P8,M3
564.0,-M3,P8,M3
576.0,-P4,P5,P8
588.0,-P4,P5,P8
600.0,-P4,P5,P8
612.0,Rest,Rest,P8
624.0,-P4,M3,M6
636.0,-P4,P4,m7
648.0,-P4,P5,P8
660.0,-P4,P5,P8
672.0,-P5,Rest,Rest
684.0,P1,Rest,Rest
696.0,M3,M3,P8
708.0,P5,P5,P8
720.0,P4,P8,P5
732.0,P4,P8,P5
744.0,Rest,P5,Rest
756.0,Rest,Rest,P4
768.0,P5,P5,P1
780.0,P5,M3,-m3
792.0,P8,P4,-P5
804.0,P8,P4,-P5
816.0,M3,Rest,Rest
828.0,P5,Rest,Rest
840.0,P1,P5,P5
852.0,m3,P5,M3
864.0,M3,P5,m3
876.0,M3,P5,m3
888.0,Rest,P5,Rest
900.0,Rest,Rest,P4
912.0,P5,P5,P1
924.0,P4,M6,M3
936.0,P4,P8,P5
948.0,P4,P8,P5
960.0,m3,Rest,Rest
972.0,P5,Rest,Rest
984.0,m3,P5,M3
996.0,M2,P5,P4
1008.0,P4,P8,P5
1020.0,M6,M3,P5
1032.0,Rest,P8,Rest
1044.0,Rest,Rest,P8
1056.0,P5,Rest,Rest
1068.0,P5,Rest,Rest
1080.0,P4,P8,P5
1092.0,P4,P8,P5
1104.0,P5,M3,M6
1116.0,P5,P5,P8
1128.0,P5,Rest,Rest
1140.0,P4,P8,P5
1152.0,P1,P5,P5
1164.0,M3,P5,m3
1176.0,m3,P5,M3
1188.0,Rest,Rest,P5
1200.0,P8,Rest,Rest
1212.0,Rest,P8,Rest
1224.0,P5,M3,-m3
1236.0,P5,M3,-m3
1248.0,P8,P4,-P5
1260.0,P1,P5,P5
1272.0,-m3,Rest,Rest
1284.0,M3,P5,m3
1296.0,P5,P5,P1
1308.0,P4,M6,M3
1320.0,P4,P8,P5
1332.0,Rest,Rest,P5
1344.0,P8,Rest,Rest
1356.0,Rest,P5,Rest
1368.0,P4,P8,P5
1380.0,P5,M3,M6
1392.0,P5,M2,P5
1404.0,M3,M3,P8
1416.0,P1,Rest,Rest
1428.0,P5,P5,P8
1440.0,P4,P8,P5
1452.0,P4,P8,P5
1464.0,m3,P5,M3
1476.0,Rest,Rest,P1
1488.0,P8,Rest,Rest
1500.0,Rest,P8,Rest
1512.0,M6,P8,m3
1524.0,m7,m2,m3
1536.0,m3,P5,M3
1548.0,P4,P8,P5
1560.0,P5,Rest,Rest
1572.0,M3,M6,P4
1584.0,P4,P8,P5
