Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P5,P5,P8
12.0,P1,M3,M3
24.0,m7,P5,M6
36.0,M3,M3,P8
48.0,m3,P8,M6
60.0,m3,P8,M6
72.0,P1,P5,P5
84.0,P4,P8,P5
96.0,M3,P5,m3
108.0,M3,P5,m3
120.0,P5,Rest,Rest
132.0,P5,Rest,Rest
144.0,P1,M6,M6
156.0,Rest,Rest,M6
168.0,Rest,P8,Rest
180.0,P5,M3,M6
192.0,P5,P5,P8
204.0,P5,P5,P8
216.0,M6,M3,P5
228.0,P4,P8,P5
240.0,P1,Rest,Rest
252.0,m3,Rest,Rest
264.0,P5,Rest,Rest
276.0,M3,Rest,Rest
288.0,P4,P8,P5
300.0,Rest,Rest,P5
312.0,Rest,P8,Rest
324.0,P5,M3,M6
336.0,P5,P5,P8
348.0,m3,P5,M3
360.0,m3,P5,M3
372.0,P4,P8,P5
384.0,P4,P8,P5
396.0,P4,P8,P5
408.0,P5,Rest,Rest
420.0,P5,Rest,Rest
432.0,P1,M6,M6
444.0,Rest,Rest,M6
456.0,Rest,P8,Rest
468.0,P5,P5,P8
480.0,P5,M3,M6
492.0,-M6,P5,M3
504.0,-M3,P8,M3
516.0,-M3,P8,M3
528.0,-P5,Rest,Rest
540.0,-m3,Rest,Rest
552.0,P1,Rest,Rest
564.0,P1,Rest,Rest
576.0,P4,P8,P5
588.0,Rest,Rest,P5
600.0,Rest,P5,Rest
612.0,-P4,M3,M6
624.0,-P4,M3,M6
636.0,-P4,P4,m7
648.0,-P4,P5,P8
660.0,-P4,P5,P8
672.0,-M3,P8,M3
684.0,-M6,P5,M3
696.0,-P5,Rest,Rest
708.0,-P5,Rest,Rest
720.0,-m3,M6,P8
732.0,Rest,Rest,P8
744.0,Rest,P8,Rest
756.0,P5,M3,M6
768.0,M6,M3,P5
780.0,P4,M2,M6
792.0,P5,P5,P8
804.0,P5,P5,P8
816.0,P5,Rest,Rest
828.0,P8,Rest,Rest
840.0,P5,Rest,Rest
852.0,P1,Rest,Rest
864.0,m3,P5,M3
876.0,Rest,Rest,M3
888.0,Rest,P5,Rest
900.0,-P4,M3,M6
912.0,-P4,P5,P8
924.0,-P4,P5,P8
936.0,-P4,M3,M6
948.0,-M2,P5,M6
960.0,-P4,P5,P8
972.0,-P4,P5,P8
984.0,P1,Rest,Rest
996.0,P1,Rest,Rest
1008.0,P4,P8,P5
1020.0,Rest,M3,Rest
1032.0,P1,P8,P8
1044.0,Rest,P8,Rest
1056.0,P4,P8,P5
1068.0,M3,Rest,Rest
1080.0,Rest,P8,Rest
1092.0,Rest,Rest,M7
1104.0,P5,P5,P8
1116.0,P4,P8,P5
1128.0,-P5,Rest,Rest
1140.0,-P5,Rest,Rest
1152.0,-P4,M3,M6
1164.0,Rest,P5,Rest
1176.0,-P4,P5,P8
1188.0,Rest,M6,Rest
1200.0,P4,P8,P5
1212.0,P5,Rest,Rest
1224.0,Rest,P8,Rest
1236.0,Rest,Rest,P5
1248.0,-M3,P8,M3
1260.0,-P5,P8,P5
1272.0,-P8,Rest,Rest
1284.0,-P5,Rest,Rest
1296.0,-P4,P5,P8
1308.0,Rest,P8,Rest
1320.0,M3,P8,m6
1332.0,Rest,P8,Rest
1344.0,P5,P5,P8
1356.0,m3,Rest,Rest
1368.0,Rest,P8,Rest
1380.0,Rest,Rest,P5
1392.0,P5,M3,M6
1404.0,M3,M3,P8
1416.0,-P5,Rest,Rest
1428.0,P1,Rest,Rest
1440.0,P4,P8,P5
1452.0,P4,M6,M3
1464.0,P4,P8,P5
1476.0,P5,M3,M6
1488.0,P5,P5,P8
1500.0,Rest,Rest,Rest
