Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P8,P4,-P5
12.0,P5,P5,P1
24.0,M3,P5,m3
36.0,P5,P4,-M2
48.0,P5,M3,-m3
60.0,M6,A4,-m3
72.0,P8,P4,-P5
84.0,P8,P4,-P5
96.0,P8,P4,-P5
108.0,P5,Rest,Rest
120.0,M6,Rest,Rest
132.0,P8,Rest,Rest
144.0,m3,P5,-m6
156.0,P4,M6,-m6
168.0,m3,P5,-m6
180.0,P5,P5,-P8
192.0,Rest,m6,Rest
204.0,Rest,P4,Rest
216.0,P5,P1,-P5
228.0,Rest,Rest,-M3
240.0,Rest,Rest,-M3
252.0,m6,Rest,Rest
264.0,M2,Rest,Rest
276.0,P8,Rest,Rest
288.0,P5,M3,-m3
300.0,M6,A4,-m3
312.0,P5,M3,-m3
324.0,P8,P4,-P5
336.0,M3,P5,-M6
348.0,M2,P4,-M6
360.0,P8,P1,-P8
372.0,M6,-m3,-P8
384.0,M6,-m3,-P8
396.0,M6,Rest,Rest
408.0,M6,Rest,Rest
420.0,M6,Rest,Rest
432.0,P8,-m3,-m3
444.0,Rest,Rest,-P4
456.0,Rest,Rest,-m3
468.0,P8,m3,-M6
480.0,M3,P5,-M6
492.0,P4,P5,-m7
504.0,P5,m3,-M3
516.0,P5,m3,-M3
528.0,P5,m3,-M3
540.0,P8,Rest,Rest
552.0,m3,Rest,Rest
564.0,m2,Rest,Rest
576.0,P5,P5,-P8
588.0,Rest,m3,Rest
600.0,Rest,P4,Rest
612.0,P5,M3,-m3
624.0,P5,M3,-m3
636.0,P5,M3,-m3
648.0,P5,P5,-P8
660.0,P5,P5,-P8
672.0,m3,m3,-P8
684.0,P1,Rest,Rest
696.0,P1,Rest,Rest
708.0,P5,Rest,Rest
720.0,P1,P5,P5
732.0,Rest,Rest,P5
744.0,Rest,Rest,P5
756.0,m3,P5,M3
768.0,M2,P5,P4
780.0,m3,P5,M3
792.0,P5,P5,P1
804.0,m3,m3,P1
816.0,P5,P5,P1
828.0,P5,Rest,Rest
840.0,P5,Rest,Rest
852.0,P5,Rest,Rest
864.0,m3,P5,-m6
876.0,Rest,Rest,-m6
888.0,Rest,Rest,-m6
900.0,M3,P5,-M6
912.0,m3,m6,-P5
924.0,m2,d5,-P5
936.0,P5,P5,-P8
948.0,Rest,P5,Rest
960.0,Rest,P4,Rest
972.0,M3,Rest,Rest
984.0,M2,Rest,Rest
996.0,m3,Rest,Rest
1008.0,P8,M3,-m6
1020.0,P8,M3,-m6
1032.0,P8,M3,-m6
1044.0,P5,P1,-P5
1056.0,P5,P1,-P5
1068.0,m3,P4,-m7
1080.0,P5,m3,-M3
1092.0,Rest,Rest,-M3
1104.0,Rest,Rest,-M3
1116.0,P5,Rest,Rest
1128.0,P4,Rest,Rest
1140.0,M3,Rest,Rest
1152.0,P5,-P4,-P8
1164.0,Rest,-m3,Rest
1176.0,Rest,-m3,Rest
1188.0,m3,P1,-m3
1200.0,P1,P1,P1
1212.0,P5,m3,-M3
1224.0,P8,P4,-P5
1236.0,P8,P4,-P5
1248.0,P8,P4,-P5
1260.0,P5,Rest,Rest
1272.0,M6,Rest,Rest
1284.0,P8,Rest,Rest
1296.0,m3,m3,-P8
1308.0,P8,P4,-P5
1320.0,P5,m3,-M3
1332.0,P5,m3,-M3
1344.0,M6,P4,-M3
1356.0,M6,P4,-M3
1368.0,P8,P4,-P5
