Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
12.0,m3,Rest,Rest
24.0,m3,Rest,Rest
36.0,P1,P8,P8
48.0,m3,P5,M3
60.0,P4,Rest,Rest
72.0,-m3,P5,m7
84.0,P1,Rest,Rest
96.0,-M3,P8,M3
108.0,P1,P5,P5
120.0,Rest,Rest,P5
132.0,Rest,P5,Rest
144.0,Rest,P5,Rest
156.0,m3,P5,M3
168.0,m3,P5,M3
180.0,M3,Rest,Rest
192.0,P5,P5,P1
204.0,P5,P5,P1
216.0,Rest,Rest,P5
228.0,Rest,m3,Rest
240.0,P1,m6,m6
252.0,P5,Rest,Rest
264.0,M6,M3,P5
276.0,M6,M3,P5
288.0,P5,P5,P1
300.0,P5,P5,P1
312.0,Rest,P5,Rest
324.0,Rest,Rest,Rest
336.0,M3,Rest,Rest
348.0,m3,Rest,Rest
360.0,P1,P5,P5
372.0,m3,P5,M3
384.0,P4,Rest,Rest
396.0,M3,P5,m3
408.0,P4,Rest,Rest
420.0,-P5,P8,P5
432.0,-P4,P5,P8
444.0,Rest,Rest,P8
456.0,Rest,P8,Rest
468.0,Rest,P8,Rest
480.0,P4,P8,P5
492.0,P4,P8,P5
504.0,-m3,Rest,Rest
516.0,-M3,P8,M3
528.0,P5,P5,P8
540.0,Rest,Rest,P8
552.0,Rest,P5,Rest
564.0,-P5,P5,M2
576.0,M3,Rest,Rest
588.0,P4,P8,P5
600.0,-P4,P5,P8
612.0,P4,P8,P5
624.0,P4,P8,P5
636.0,Rest,P8,Rest
648.0,Rest,Rest,Rest
660.0,-M3,Rest,Rest
672.0,-m3,Rest,Rest
684.0,-P5,P1,P5
696.0,m3,P5,M3
708.0,P5,Rest,Rest
720.0,-P4,m3,m6
732.0,-m6,Rest,Rest
744.0,-P4,M3,M6
756.0,-P4,P5,P8
768.0,Rest,Rest,P8
780.0,Rest,P5,Rest
792.0,Rest,P8,Rest
804.0,m3,P5,M3
816.0,m3,P5,M3
828.0,-P5,Rest,Rest
840.0,-m3,M6,P8
852.0,-m3,P8,m3
864.0,Rest,Rest,P8
876.0,Rest,m6,Rest
888.0,-m3,P8,m3
900.0,P1,Rest,Rest
912.0,-P4,P5,P8
924.0,-P8,P5,P5
936.0,-M3,P8,M3
948.0,-M3,P8,M3
960.0,Rest,P8,Rest
972.0,Rest,Rest,Rest
984.0,-M3,Rest,Rest
996.0,-m3,Rest,Rest
1008.0,P1,P5,P5
1020.0,P4,P8,P5
1032.0,P4,Rest,Rest
1044.0,P1,P5,P5
1056.0,P4,Rest,Rest
1068.0,-P4,P5,P8
1080.0,-P5,P1,P5
1092.0,Rest,Rest,P5
1104.0,Rest,P8,Rest
1116.0,Rest,P8,Rest
1128.0,m3,P8,M6
1140.0,m3,P8,M6
1152.0,m3,Rest,Rest
1164.0,-P5,P4,P8
1176.0,P1,P5,P5
1188.0,Rest,Rest,P8
1200.0,Rest,P5,Rest
1212.0,-m3,P8,m3
1224.0,P1,Rest,Rest
1236.0,P5,M2,P5
1248.0,m3,P8,M6
1260.0,P5,P5,P8
1272.0,P5,P5,P8
1284.0,Rest,P5,Rest
1296.0,Rest,Rest,Rest
1308.0,-m3,Rest,Rest
1320.0,-m3,Rest,Rest
1332.0,P1,P8,P8
1344.0,-m3,M6,P8
1356.0,-M3,Rest,Rest
1368.0,m3,P8,M6
1380.0,-P4,Rest,Rest
1392.0,P1,P5,P5
1404.0,-P5,P1,P5
1416.0,Rest,Rest,P5
1428.0,Rest,P5,Rest
1440.0,Rest,P8,Rest
1452.0,-M6,P5,M3
1464.0,-M3,P8,M3
1476.0,-M3,Rest,Rest
1488.0,-P4,P5,P8
1500.0,-P4,P5,P8
1512.0,Rest,Rest,P5
1524.0,Rest,m3,Rest
1536.0,P1,P5,P5
1548.0,P5,Rest,Rest
1560.0,P4,P8,P5
1572.0,P4,M6,M3
1584.0,P4,P8,P5
