Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,-P4,Rest,P5,Rest,P8,Rest
12.0,-m3,Rest,M6,Rest,P8,Rest
24.0,-M2,Rest,P5,Rest,M6,Rest
36.0,-m3,Rest,M3,Rest,P5,Rest
48.0,-P4,Rest,P5,Rest,P8,Rest
60.0,-P4,M3,P5,M6,P8,m3
72.0,P1,M6,P8,M6,P8,m3
84.0,P4,P8,Rest,P5,Rest,Rest
96.0,m3,P5,Rest,M3,Rest,Rest
108.0,P4,P8,Rest,P5,Rest,Rest
120.0,P4,P8,P8,P5,P5,P1
132.0,P1,P8,P8,P8,P8,P1
144.0,P5,Rest,P5,Rest,P8,Rest
156.0,P5,Rest,P5,Rest,P8,Rest
168.0,P4,Rest,P8,Rest,P5,Rest
180.0,Rest,Rest,Rest,M3,P5,m3
192.0,Rest,M6,P8,Rest,Rest,m3
204.0,P4,P8,Rest,P5,Rest,Rest
216.0,-P4,P5,Rest,P8,Rest,Rest
228.0,-P5,P1,Rest,P5,Rest,Rest
240.0,P5,P8,P5,P4,P8,P5
252.0,P5,P8,P5,P4,P8,P5
264.0,m3,Rest,P5,Rest,M3,Rest
276.0,P4,Rest,M6,Rest,M3,Rest
288.0,P4,Rest,P8,Rest,P5,Rest
300.0,P4,P1,P8,-P4,P5,P8
312.0,P8,P5,P5,-P4,P5,P8
324.0,P8,P4,Rest,-P5,Rest,Rest
336.0,P8,P5,Rest,-P4,Rest,Rest
348.0,P5,P5,Rest,P1,Rest,Rest
360.0,P4,P4,P8,P1,P5,P5
372.0,M3,M6,M3,P4,P8,P5
384.0,P4,Rest,P8,Rest,P5,Rest
396.0,P4,Rest,M6,Rest,M3,Rest
408.0,P4,Rest,P8,Rest,P5,Rest
420.0,Rest,Rest,Rest,P5,P5,P1
432.0,Rest,P5,P5,Rest,Rest,P1
444.0,-P5,P1,Rest,P5,Rest,Rest
456.0,-P5,P1,Rest,P5,Rest,Rest
468.0,-P5,-m3,Rest,M3,Rest,Rest
480.0,-P4,P1,P5,P4,P8,P5
492.0,-m3,-m3,M3,P1,P5,P5
504.0,-P4,Rest,P5,Rest,P8,Rest
516.0,P1,Rest,P8,Rest,P8,Rest
528.0,P4,Rest,P8,Rest,P5,Rest
540.0,P4,P4,P8,P1,P5,P5
552.0,-P4,P1,P5,P4,P8,P5
564.0,m3,P5,Rest,M3,Rest,Rest
576.0,P5,P5,Rest,P1,Rest,Rest
588.0,P4,P8,Rest,P5,Rest,Rest
600.0,P4,P8,P8,P5,P5,P1
612.0,P4,P8,P8,P5,P5,P1
624.0,m3,Rest,P5,Rest,M3,Rest
636.0,P1,Rest,P5,Rest,P5,Rest
