Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P1,Rest,Rest
8.0,P1,Rest,Rest
16.0,-P4,P5,P8
24.0,Rest,P5,Rest
32.0,Rest,P5,Rest
40.0,Rest,P8,Rest
48.0,P4,P8,P5
56.0,m3,m7,P5
64.0,P5,Rest,Rest
72.0,P4,P8,P5
80.0,P4,P8,P5
88.0,M3,M7,P5
96.0,M3,P5,m3
104.0,M3,P5,m3
112.0,m3,m6,P4
120.0,P5,P5,P1
128.0,P5,P5,P1
136.0,M2,M7,-m3
144.0,P8,M6,-m3
152.0,P8,M6,-m3
160.0,m2,P4,M3
168.0,P4,P8,P5
176.0,P4,P8,P5
184.0,Rest,Rest,P5
192.0,P5,Rest,Rest
200.0,m3,Rest,Rest
208.0,P5,Rest,Rest
216.0,P8,Rest,Rest
224.0,P8,Rest,Rest
232.0,Rest,Rest,m3
240.0,Rest,m7,Rest
248.0,Rest,P8,Rest
256.0,Rest,m3,Rest
264.0,Rest,Rest,P5
272.0,Rest,Rest,P5
280.0,P5,Rest,Rest
288.0,M3,P5,m3
296.0,M3,P5,m3
304.0,P5,m7,m3
312.0,P4,P8,P5
320.0,P4,P8,P5
328.0,P5,M2,P5
336.0,P5,P5,P1
344.0,P5,P5,P1
352.0,A4,A4,P1
360.0,M3,P5,m3
368.0,P4,P5,M2
376.0,P4,M6,M3
384.0,P4,P8,P5
392.0,P4,P8,P5
400.0,Rest,Rest,P5
408.0,M6,Rest,Rest
416.0,M7,Rest,Rest
424.0,m3,Rest,Rest
432.0,M6,Rest,Rest
440.0,m7,Rest,Rest
448.0,Rest,Rest,P1
456.0,P8,P8,P1
464.0,m7,m7,P1
472.0,Rest,P5,Rest
480.0,Rest,Rest,P8
488.0,Rest,Rest,P8
496.0,-P5,Rest,Rest
504.0,-P4,M3,M6
512.0,-P4,M3,M6
520.0,-P4,M3,M6
528.0,-P4,P5,P8
536.0,-P4,P5,P8
544.0,-M3,m6,P8
552.0,P1,P5,P5
560.0,P1,P5,P5
568.0,P5,M2,P5
576.0,P5,P5,P1
584.0,P5,P5,P1
592.0,P4,M2,-m3
600.0,P5,P5,P1
608.0,P5,P5,P1
616.0,Rest,Rest,M3
624.0,P8,Rest,Rest
632.0,M6,Rest,Rest
640.0,m6,Rest,Rest
648.0,P1,Rest,Rest
656.0,P1,Rest,Rest
664.0,Rest,Rest,P5
672.0,Rest,P8,Rest
680.0,Rest,M6,Rest
688.0,Rest,P5,Rest
696.0,Rest,Rest,M6
704.0,Rest,Rest,M6
712.0,P5,Rest,Rest
720.0,m3,m3,P8
728.0,m3,m3,P8
736.0,m3,m3,P8
744.0,P5,P5,P8
752.0,P4,P5,M2
760.0,M2,P4,m3
768.0,M6,M3,P5
776.0,M6,M3,P5
784.0,P5,M2,P5
792.0,m3,P8,M6
800.0,m3,P8,M6
808.0,m3,m7,P5
816.0,P5,P5,P8
824.0,P5,P5,P8
832.0,Rest,Rest,P8
840.0,P5,Rest,Rest
848.0,P8,Rest,Rest
856.0,M3,Rest,Rest
864.0,P5,Rest,Rest
872.0,Rest,Rest,Rest
880.0,Rest,P5,Rest
888.0,Rest,Rest,P8
896.0,-P5,Rest,Rest
904.0,-m3,A4,M6
912.0,-P4,P5,P8
920.0,-P4,P5,P8
928.0,Rest,Rest,M6
936.0,-P4,M3,M6
944.0,-P5,M2,M6
952.0,-P4,P5,P8
960.0,P1,Rest,Rest
968.0,M2,Rest,Rest
976.0,M3,Rest,Rest
984.0,Rest,P8,Rest
992.0,Rest,M7,Rest
1000.0,m3,P5,M3
1008.0,P4,P8,P5
1016.0,P5,P8,P4
1024.0,P4,P8,P5
1032.0,Rest,Rest,P5
1040.0,Rest,Rest,A4
1048.0,-M6,P4,M2
1056.0,-M3,P8,M3
1064.0,-M3,P8,M3
1072.0,-m3,Rest,Rest
1080.0,P1,Rest,Rest
1088.0,Rest,Rest,P8
1096.0,Rest,P5,Rest
1104.0,Rest,Rest,P5
1112.0,P5,Rest,Rest
1120.0,M2,A4,M3
1128.0,P4,P8,P5
1136.0,P4,P8,P5
1144.0,Rest,Rest,M3
1152.0,m3,P5,M3
1160.0,m3,P5,M3
1168.0,P4,P8,P5
1176.0,P8,Rest,Rest
1184.0,m7,Rest,Rest
1192.0,P5,Rest,Rest
1200.0,Rest,P8,Rest
1208.0,Rest,M7,Rest
1216.0,P5,P5,P1
1224.0,P5,P8,P4
1232.0,M7,P8,m2
1240.0,m3,m7,P5
1248.0,P1,P5,P5
1256.0,m3,P5,M3
1264.0,M3,M6,P4
1272.0,P4,P8,P5
1280.0,P4,P8,P5
1288.0,Rest,Rest,Rest
