Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
12.0,Rest,Rest,Rest
24.0,Rest,Rest,Rest
36.0,Rest,Rest,Rest
48.0,Rest,Rest,Rest
60.0,Rest,Rest,Rest
72.0,Rest,Rest,Rest
84.0,Rest,Rest,Rest
96.0,Rest,Rest,Rest
108.0,Rest,Rest,Rest
120.0,Rest,Rest,Rest
132.0,Rest,Rest,Rest
144.0,P1,-P5,-P5
156.0,M3,-m3,-P5
168.0,M3,-m3,-P5
180.0,P5,-P4,-P8
192.0,P5,Rest,Rest
204.0,P5,Rest,Rest
216.0,P8,P4,-P5
228.0,P5,M3,-m3
240.0,P5,m3,-M3
252.0,P8,P4,-P5
264.0,P8,P4,-P5
276.0,P5,m3,-M3
288.0,P5,M3,-m3
300.0,P8,P4,-P5
312.0,P8,P4,-P5
324.0,P8,P4,-P5
336.0,P5,Rest,Rest
348.0,P5,Rest,Rest
360.0,P8,P4,-P5
372.0,Rest,Rest,-P5
384.0,Rest,P5,Rest
396.0,Rest,Rest,P1
408.0,P1,Rest,Rest
420.0,P5,Rest,Rest
432.0,P1,P1,P1
444.0,P5,m3,-M3
456.0,P8,P4,-P5
468.0,P5,M3,-m3
480.0,P5,m3,-M3
492.0,P8,P4,-P5
504.0,m3,m6,-P5
516.0,P5,m3,-M3
528.0,P8,P4,-P5
540.0,M3,M6,-P5
552.0,P5,Rest,Rest
564.0,M3,Rest,Rest
576.0,P8,P4,-P5
588.0,Rest,Rest,-P5
600.0,Rest,P5,Rest
612.0,Rest,Rest,-M3
624.0,P8,Rest,Rest
636.0,P5,Rest,Rest
648.0,P8,P4,-P5
660.0,P5,m3,-M3
672.0,P5,P5,P1
684.0,M3,P5,m3
696.0,m3,P5,M3
708.0,m3,P5,M3
720.0,P5,P5,P1
732.0,P8,m6,-M3
744.0,P8,P8,P1
756.0,P5,P8,-P5
768.0,m3,Rest,Rest
780.0,M6,Rest,Rest
792.0,P8,P4,-P5
804.0,Rest,Rest,-P5
816.0,Rest,P5,Rest
828.0,Rest,Rest,P5
840.0,-P5,Rest,Rest
852.0,-m3,Rest,Rest
864.0,P1,P8,P8
876.0,m3,P5,M3
888.0,M3,M3,P8
900.0,M3,M3,P8
912.0,P4,P8,P5
924.0,M3,P5,m3
936.0,m3,P5,M3
948.0,P1,P5,P5
960.0,P4,P8,P5
972.0,P4,P8,P5
984.0,d5,Rest,Rest
996.0,P5,Rest,Rest
1008.0,P4,P8,P5
1020.0,Rest,Rest,P5
1032.0,Rest,P8,Rest
1044.0,Rest,Rest,m3
1056.0,P5,Rest,Rest
1068.0,M3,Rest,Rest
1080.0,P5,P5,P1
1092.0,P5,P5,P1
1104.0,P8,P5,-P4
1116.0,P5,M3,-m3
1128.0,P8,P8,P1
1140.0,M3,P5,m3
1152.0,m3,P5,M3
1164.0,P5,M6,M2
1176.0,P4,P8,P5
1188.0,P8,P5,P5
1200.0,P5,Rest,Rest
1212.0,P5,Rest,Rest
1224.0,P8,P8,P1
1236.0,Rest,Rest,P1
1248.0,Rest,M3,Rest
1260.0,Rest,Rest,P5
1272.0,P8,Rest,Rest
1284.0,P8,Rest,Rest
1296.0,P4,P8,P5
1308.0,m3,P8,M6
1320.0,P5,P5,P8
1332.0,M3,M3,P8
1344.0,m3,P5,M3
1356.0,P5,P5,P8
1368.0,M6,M3,P5
1380.0,m3,P5,M3
1392.0,P4,P8,P5
