Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
12.0,P4,P8,P5
24.0,Rest,P5,Rest
36.0,Rest,P8,Rest
48.0,m3,P5,M3
60.0,P4,Rest,Rest
72.0,P4,Rest,Rest
84.0,m3,P5,M3
96.0,P4,M6,M3
108.0,P4,P8,P5
120.0,Rest,Rest,P5
132.0,M2,M6,P5
144.0,Rest,P8,Rest
156.0,Rest,M3,Rest
168.0,M6,M3,P5
180.0,P5,Rest,Rest
192.0,P5,Rest,Rest
204.0,Rest,Rest,P5
216.0,Rest,Rest,P4
228.0,Rest,Rest,P5
240.0,P5,M3,M6
252.0,P5,Rest,Rest
264.0,P5,Rest,Rest
276.0,P5,Rest,Rest
288.0,M6,M3,P5
300.0,Rest,Rest,P5
312.0,Rest,P8,Rest
324.0,Rest,M3,Rest
336.0,P5,M3,M6
348.0,m3,Rest,Rest
360.0,M3,Rest,Rest
372.0,P5,M2,P5
384.0,M6,P8,m3
396.0,P4,P8,P5
408.0,Rest,Rest,M6
420.0,m3,P8,M6
432.0,Rest,P5,Rest
444.0,Rest,M6,Rest
456.0,P1,P5,P5
468.0,P1,Rest,Rest
480.0,P5,Rest,Rest
492.0,Rest,Rest,P5
504.0,Rest,Rest,P5
516.0,Rest,Rest,m3
528.0,M2,M6,P5
540.0,P5,Rest,Rest
552.0,P5,Rest,Rest
564.0,P5,Rest,Rest
576.0,m3,P5,M3
588.0,Rest,Rest,M3
600.0,Rest,M6,Rest
612.0,Rest,P8,Rest
624.0,m3,P8,M6
636.0,m3,Rest,Rest
648.0,P1,Rest,Rest
660.0,M3,P8,m6
672.0,P4,P8,P5
684.0,M6,P8,m3
696.0,Rest,Rest,m3
708.0,P4,m6,m3
720.0,Rest,P8,Rest
732.0,Rest,P5,Rest
744.0,P4,P8,P5
756.0,P4,Rest,Rest
768.0,P1,Rest,Rest
780.0,Rest,Rest,P8
792.0,Rest,Rest,P5
804.0,Rest,Rest,P5
816.0,P5,M3,M6
828.0,P5,Rest,Rest
840.0,P5,Rest,Rest
852.0,P5,Rest,Rest
864.0,M6,M3,P5
876.0,Rest,Rest,P5
888.0,Rest,P5,Rest
900.0,Rest,M3,Rest
912.0,P1,P8,P8
924.0,-P4,Rest,Rest
936.0,-M3,Rest,Rest
948.0,-P5,P4,P8
960.0,-m3,M3,P5
972.0,-P4,P5,P8
984.0,Rest,Rest,P5
996.0,-M3,m3,P5
1008.0,Rest,P5,Rest
1020.0,Rest,P5,Rest
1032.0,-P4,P5,P8
1044.0,-m3,Rest,Rest
1056.0,P1,Rest,Rest
1068.0,Rest,Rest,P8
1080.0,Rest,Rest,P5
1092.0,Rest,Rest,m6
1104.0,P1,P8,P8
1116.0,P5,Rest,Rest
1128.0,P5,Rest,Rest
1140.0,P5,Rest,Rest
1152.0,m3,P8,M6
1164.0,Rest,Rest,M6
1176.0,Rest,M6,Rest
1188.0,Rest,P8,Rest
1200.0,-m3,M6,P8
1212.0,-m3,Rest,Rest
1224.0,P1,Rest,Rest
1236.0,-P5,P4,P8
1248.0,-m3,P8,m3
1260.0,-P4,P5,P8
1272.0,Rest,Rest,P8
1284.0,-m3,M6,P8
1296.0,Rest,P5,Rest
1308.0,Rest,M6,Rest
1320.0,-m6,M3,P8
1332.0,-P5,Rest,Rest
1344.0,P1,Rest,Rest
1356.0,Rest,Rest,P8
1368.0,Rest,Rest,P5
1380.0,Rest,Rest,P5
1392.0,m3,P8,M6
1404.0,P1,Rest,Rest
1416.0,P1,Rest,Rest
1428.0,P1,Rest,Rest
1440.0,P1,P5,P5
1452.0,Rest,Rest,P5
1464.0,Rest,P5,Rest
1476.0,Rest,m3,Rest
1488.0,-P4,P5,P8
1500.0,-m3,Rest,Rest
1512.0,-P5,Rest,Rest
1524.0,-m3,P5,m7
1536.0,-P4,P5,P8
1548.0,-P4,P5,P8
1560.0,Rest,Rest,M6
1572.0,-P4,M3,M6
1584.0,Rest,P5,Rest
1596.0,Rest,P8,Rest
1608.0,m3,m3,P8
1620.0,M3,Rest,Rest
1632.0,P5,Rest,Rest
1644.0,P5,M3,M6
1656.0,P5,P8,P4
1668.0,P4,P8,P5
