Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
12.0,Rest,Rest,Rest
24.0,Rest,Rest,Rest
36.0,P5,Rest,Rest
48.0,P5,Rest,Rest
60.0,P1,Rest,Rest
72.0,-m3,Rest,Rest
84.0,P4,Rest,Rest
96.0,P8,Rest,Rest
108.0,Rest,P8,Rest
120.0,Rest,P8,Rest
132.0,Rest,M3,Rest
144.0,P8,P8,P1
156.0,-P4,P5,P8
168.0,Rest,Rest,P5
180.0,P8,P8,P1
192.0,Rest,P5,Rest
204.0,-P5,P1,P5
216.0,Rest,Rest,Rest
228.0,Rest,P5,Rest
240.0,P1,M3,M3
252.0,-M3,m3,P5
264.0,P4,P8,P5
276.0,-P4,P5,P8
288.0,-m6,M3,P8
300.0,-P5,P1,P5
312.0,-M3,P1,M3
324.0,Rest,Rest,-m3
336.0,P8,P8,P1
348.0,P4,P8,P5
360.0,Rest,Rest,Rest
372.0,Rest,P5,Rest
384.0,Rest,Rest,P5
396.0,Rest,Rest,Rest
408.0,Rest,P5,Rest
420.0,Rest,Rest,P8
432.0,Rest,P5,Rest
444.0,Rest,M3,Rest
456.0,Rest,P8,Rest
468.0,P4,P8,P5
480.0,P4,P8,P5
492.0,Rest,Rest,P5
504.0,P4,P8,P5
516.0,Rest,P8,Rest
528.0,-P4,P5,P8
540.0,Rest,Rest,Rest
552.0,Rest,P8,Rest
564.0,-P4,P5,P8
576.0,-M3,P8,M3
588.0,-P8,P5,P5
600.0,-P4,P5,P8
612.0,-m6,M3,P8
624.0,-P5,P1,P5
636.0,-P5,P1,P5
648.0,Rest,Rest,M3
660.0,P8,M6,-m3
672.0,P4,P8,P5
684.0,Rest,Rest,Rest
696.0,Rest,P5,Rest
708.0,Rest,Rest,M3
720.0,Rest,Rest,Rest
732.0,Rest,M3,Rest
744.0,Rest,Rest,-M3
756.0,Rest,P5,Rest
768.0,Rest,P8,Rest
780.0,Rest,P8,Rest
792.0,P8,P8,P1
804.0,P8,M6,-m3
816.0,Rest,Rest,M3
828.0,P4,P8,P5
840.0,Rest,P5,Rest
852.0,P4,P8,P5
864.0,Rest,Rest,Rest
876.0,Rest,P5,Rest
888.0,-P4,P5,P8
900.0,-P4,P5,P8
912.0,-m3,M3,P5
924.0,-P4,P5,P8
936.0,-M3,P8,M3
948.0,-M6,P5,M3
960.0,-P4,P5,P8
972.0,Rest,Rest,P5
984.0,m3,P5,M3
996.0,-P4,M3,M6
1008.0,Rest,Rest,Rest
1020.0,Rest,P8,Rest
1032.0,Rest,Rest,P5
1044.0,Rest,Rest,Rest
1056.0,P4,M2,M6
1068.0,Rest,P5,Rest
