Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
12.0,-P4,P5,P8
24.0,m3,P8,M6
36.0,P4,P8,P5
48.0,P4,P8,P5
60.0,Rest,Rest,m6
72.0,P5,P5,P1
84.0,P5,P5,P1
96.0,P5,P5,P1
108.0,P5,Rest,Rest
120.0,d8,Rest,Rest
132.0,m6,Rest,Rest
144.0,P8,P4,-P5
156.0,m7,m3,-P5
168.0,Rest,Rest,-P5
180.0,P5,m3,-M3
192.0,P5,P5,P1
204.0,P5,P5,P1
216.0,P8,Rest,Rest
228.0,P8,Rest,Rest
240.0,P8,P4,-P5
252.0,M3,M6,-P5
264.0,Rest,P5,Rest
276.0,P4,d8,d5
288.0,P4,d8,d5
300.0,Rest,Rest,m3
312.0,P4,P8,P5
324.0,P4,P8,P5
336.0,P5,P8,P4
348.0,P8,Rest,Rest
360.0,P5,Rest,Rest
372.0,P5,Rest,Rest
384.0,m3,P5,M3
396.0,m3,P5,M3
408.0,Rest,Rest,m3
420.0,m3,P5,M3
432.0,P4,P8,P5
444.0,P4,P8,P5
456.0,P5,Rest,Rest
468.0,P5,Rest,Rest
480.0,P8,P8,P1
492.0,P5,P5,P1
504.0,Rest,P8,Rest
516.0,P5,m3,-M3
528.0,P5,m3,-M3
540.0,Rest,Rest,-M3
552.0,P8,P4,-P5
564.0,M3,M6,-P5
576.0,M3,M6,-P5
588.0,P5,Rest,Rest
600.0,P5,Rest,Rest
612.0,P4,Rest,Rest
624.0,P1,d5,d5
636.0,M2,m6,d5
648.0,Rest,Rest,P4
660.0,m3,P8,M6
672.0,P1,P8,P8
684.0,P1,P8,P8
696.0,-M3,Rest,Rest
708.0,M2,Rest,Rest
720.0,m3,P5,M3
732.0,m3,P5,M3
744.0,Rest,P8,Rest
756.0,P1,P5,P5
768.0,P5,P5,P1
780.0,Rest,Rest,P1
792.0,P4,P8,P5
804.0,P4,P8,P5
816.0,P4,P8,P5
828.0,P1,Rest,Rest
840.0,-M3,Rest,Rest
852.0,-m3,Rest,Rest
864.0,P4,P8,P5
876.0,P4,P8,P5
888.0,Rest,Rest,P5
900.0,P5,M3,M6
912.0,P5,P5,P8
924.0,P5,P5,P8
936.0,P5,Rest,Rest
948.0,P5,Rest,Rest
960.0,P4,P8,P5
972.0,Rest,Rest,P1
984.0,Rest,P5,Rest
996.0,d5,m3,-m3
1008.0,m6,m2,-P5
1020.0,P5,P5,P1
1032.0,d5,Rest,Rest
1044.0,P1,P1,P1
1056.0,Rest,Rest,m3
1068.0,Rest,P5,Rest
1080.0,-P4,P5,P8
1092.0,-P4,M2,P5
1104.0,-P4,P5,P8
1116.0,-m2,Rest,Rest
1128.0,P1,P5,P5
1140.0,Rest,Rest,m3
1152.0,Rest,P5,Rest
1164.0,-P4,m3,m6
1176.0,-M2,m6,m7
1188.0,P5,P5,P8
1200.0,P4,Rest,Rest
1212.0,P5,P8,P4
1224.0,Rest,Rest,P1
1236.0,Rest,P8,Rest
1248.0,M3,P5,m3
1260.0,P4,P8,P5
1272.0,P4,P8,P5
