Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P4,Rest,P8,Rest,P5,Rest
12.0,P1,Rest,P5,Rest,P5,Rest
24.0,m3,P8,P8,M6,M6,P1
36.0,M3,M3,Rest,P8,Rest,Rest
48.0,P4,M3,Rest,M7,Rest,Rest
60.0,M6,M3,P8,P5,m3,-M3
72.0,P4,M6,P4,M3,P1,-M3
84.0,P1,P5,m3,P5,m3,-M3
96.0,M2,M6,P4,P5,m3,-M3
108.0,P4,P8,P4,P5,P1,-P5
120.0,M6,M3,M6,P5,P1,-P5
132.0,m7,P5,P8,M6,M2,-P5
144.0,M3,M3,M6,P8,P4,-P5
156.0,M3,M3,M6,P8,P4,-P5
168.0,M6,M3,Rest,P5,Rest,Rest
180.0,m3,Rest,P5,Rest,M3,Rest
192.0,P1,Rest,P5,Rest,P5,Rest
204.0,Rest,Rest,Rest,P5,M3,-m3
216.0,P4,P8,Rest,P5,Rest,Rest
228.0,P1,P5,Rest,P5,Rest,Rest
240.0,Rest,P8,P4,Rest,Rest,-P5
252.0,P4,P8,M6,P5,M3,-m3
264.0,m6,m3,P8,P5,M3,-m3
276.0,M7,P5,M3,m6,P4,-m3
288.0,M6,M3,M3,P5,P5,P1
300.0,P4,P8,P8,P5,P5,P1
312.0,M6,M3,M3,P5,P5,P1
324.0,P5,P5,P8,P8,P4,-P5
336.0,Rest,Rest,Rest,M3,M6,-P5
348.0,P1,P5,Rest,P5,Rest,Rest
360.0,P4,Rest,P8,Rest,P5,Rest
372.0,P4,Rest,P8,Rest,P5,Rest
384.0,P5,P5,P8,P8,P4,-P5
396.0,P4,P8,Rest,P5,Rest,Rest
408.0,P4,P8,Rest,P5,Rest,Rest
420.0,M6,M3,M3,P5,P5,P1
432.0,M6,P8,M3,m3,P5,M3
444.0,P8,m3,P5,m3,P5,M3
456.0,M6,P8,M3,m3,P5,M3
468.0,P8,M3,P5,M3,P5,m3
480.0,m7,M2,P4,M3,P5,m3
492.0,m3,P8,m3,M6,P8,m3
504.0,P4,P8,P8,P5,P5,P1
516.0,m3,P8,P8,M6,M6,P1
528.0,m3,P8,Rest,M6,Rest,Rest
540.0,P1,Rest,P8,Rest,P8,Rest
552.0,m3,Rest,P8,Rest,M6,Rest
564.0,Rest,Rest,Rest,P4,P8,P5
576.0,P4,P8,Rest,P5,Rest,Rest
588.0,P4,P8,Rest,P5,Rest,Rest
600.0,Rest,P8,m3,Rest,Rest,m3
612.0,P5,P8,P5,P4,P8,P5
624.0,P5,P8,P5,P4,P8,P5
636.0,P5,P8,P5,P4,P8,P5
648.0,m3,P5,P5,M3,M3,P8
660.0,m3,P5,P5,M3,M3,P8
