Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P8,Rest,Rest
12.0,Rest,Rest,-P5
24.0,Rest,P5,Rest
36.0,P8,Rest,Rest
48.0,Rest,Rest,-m3
60.0,P8,M6,-m3
72.0,P5,P5,P1
84.0,m3,P5,M3
96.0,m3,P5,M3
108.0,P5,P5,P1
120.0,P5,M3,-m3
132.0,M6,P4,-M3
144.0,m6,P4,-m3
156.0,P5,P5,P1
168.0,Rest,Rest,P1
180.0,-P5,Rest,Rest
192.0,Rest,Rest,P5
204.0,Rest,P5,Rest
216.0,m3,Rest,Rest
228.0,Rest,Rest,M3
240.0,m3,P5,M3
252.0,P1,P5,P5
264.0,m3,P5,M3
276.0,m3,P5,M3
288.0,m3,P5,M3
300.0,P4,P8,P5
312.0,M6,M3,P5
324.0,P4,P8,P5
336.0,m3,P5,M3
348.0,Rest,Rest,M3
360.0,P5,Rest,Rest
372.0,P1,P5,P5
384.0,M2,P5,P4
396.0,P5,Rest,Rest
408.0,P4,P8,P5
420.0,P4,M2,M6
432.0,P1,P8,P8
444.0,P4,P8,P5
456.0,P4,M3,M7
468.0,P4,P8,P5
480.0,P4,m6,m3
492.0,P5,m7,m3
504.0,P4,M6,M3
516.0,P4,P8,P5
528.0,Rest,P8,Rest
540.0,P8,Rest,Rest
552.0,Rest,Rest,-P5
564.0,Rest,-P5,Rest
576.0,-P8,Rest,Rest
588.0,P1,P5,P5
600.0,M3,P5,m3
612.0,P4,P8,P5
624.0,P1,P5,P5
636.0,Rest,Rest,P8
648.0,P4,P8,P5
660.0,m3,P5,M3
672.0,P1,P5,P5
684.0,-P4,M3,M6
696.0,-P4,P5,P8
708.0,-P4,P5,P8
720.0,-P5,Rest,Rest
732.0,P1,P5,P5
744.0,m3,P5,M3
756.0,P5,Rest,Rest
768.0,P5,P5,P1
780.0,P5,M6,M2
792.0,P1,P5,P5
804.0,P1,P5,P5
816.0,-P4,M3,M6
828.0,-P4,P5,P8
840.0,-P4,m3,m6
852.0,-P4,P5,P8
864.0,P4,P8,P5
876.0,P5,P5,P1
888.0,Rest,P5,Rest
900.0,-P5,Rest,Rest
912.0,Rest,Rest,P5
924.0,-P5,P1,P5
936.0,Rest,Rest,Rest
948.0,-P4,P5,P8
960.0,-M6,m3,P8
972.0,-m3,P5,m7
984.0,-P4,P5,P8
996.0,-P4,P5,P8
1008.0,P4,P8,P5
1020.0,M3,P8,m6
1032.0,M2,P8,m7
1044.0,P5,M3,M6
1056.0,P5,P5,P8
1068.0,P5,P5,P8
1080.0,P5,Rest,Rest
1092.0,P8,P4,-P5
1104.0,P5,m3,-M3
1116.0,P5,Rest,Rest
1128.0,P8,P4,-P5
1140.0,M2,P5,-P5
1152.0,P4,P8,P5
1164.0,m6,P8,M3
1176.0,P4,P8,P5
1188.0,P4,P8,P5
1200.0,m3,P5,M3
1212.0,M3,P5,m3
1224.0,M3,P5,m3
1236.0,P1,P5,P5
1248.0,Rest,P5,Rest
1260.0,Rest,Rest,Rest
1272.0,Rest,Rest,P5
1284.0,Rest,P5,Rest
1296.0,Rest,Rest,Rest
1308.0,Rest,P5,Rest
1320.0,Rest,P5,Rest
1332.0,Rest,Rest,M3
1344.0,Rest,P5,Rest
1356.0,Rest,M3,Rest
1368.0,Rest,M3,Rest
1380.0,-P4,P5,P8
1392.0,-M6,P5,M3
1404.0,-P4,P5,P8
1416.0,-P5,P1,P5
1428.0,Rest,P1,Rest
1440.0,Rest,Rest,Rest
1452.0,Rest,Rest,P5
1464.0,Rest,P5,Rest
1476.0,Rest,Rest,Rest
1488.0,Rest,P8,Rest
1500.0,Rest,P8,Rest
1512.0,Rest,Rest,M3
1524.0,Rest,M3,Rest
1536.0,Rest,P8,Rest
1548.0,Rest,P5,Rest
1560.0,P1,P5,P5
1572.0,P4,P8,P5
1584.0,P4,m7,P4
1596.0,P4,P8,P5
