Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
8.0,Rest,Rest,Rest
16.0,Rest,Rest,Rest
24.0,Rest,Rest,Rest
32.0,Rest,Rest,Rest
40.0,Rest,Rest,Rest
48.0,Rest,Rest,Rest
56.0,Rest,Rest,Rest
64.0,Rest,Rest,Rest
72.0,P8,Rest,Rest
80.0,P8,Rest,Rest
88.0,P8,Rest,Rest
96.0,M6,Rest,Rest
104.0,M6,Rest,Rest
112.0,M6,Rest,Rest
120.0,m3,Rest,Rest
128.0,m3,Rest,Rest
136.0,m3,Rest,Rest
144.0,P4,P8,P5
152.0,P4,P8,P5
160.0,P4,P8,P5
168.0,m3,P5,M3
176.0,P5,P5,P1
184.0,P4,M6,M3
192.0,P4,P8,P5
200.0,P4,P8,P5
208.0,P5,M2,P5
216.0,-P4,P5,P8
224.0,-m3,P5,m7
232.0,m3,m7,P5
240.0,m3,P5,M3
248.0,m3,P5,M3
256.0,m3,P5,M3
264.0,P5,Rest,Rest
272.0,M3,Rest,Rest
280.0,P5,Rest,Rest
288.0,M3,P5,m3
296.0,M3,P5,m3
304.0,Rest,Rest,m3
312.0,Rest,P5,Rest
320.0,Rest,P5,Rest
328.0,Rest,Rest,P1
336.0,Rest,P5,Rest
344.0,Rest,P5,Rest
352.0,Rest,Rest,m3
360.0,m3,P5,M3
368.0,m3,P5,M3
376.0,m3,P5,M3
384.0,P5,Rest,Rest
392.0,P4,Rest,Rest
400.0,M6,Rest,Rest
408.0,P8,Rest,Rest
416.0,P8,Rest,Rest
424.0,P8,Rest,Rest
432.0,P1,P5,P5
440.0,P1,P5,P5
448.0,m6,P5,-m2
456.0,m3,P5,M3
464.0,P4,M6,M3
472.0,m3,P5,M3
480.0,M2,M6,P5
488.0,P1,P5,P5
496.0,-P5,M3,M7
504.0,-P4,P5,P8
512.0,-P4,P5,P8
520.0,-P5,P4,P8
528.0,-P4,P5,P8
536.0,-P4,P5,P8
544.0,-M3,m6,P8
552.0,-P8,Rest,Rest
560.0,-M7,Rest,Rest
568.0,-P4,Rest,Rest
576.0,-m3,M3,P5
584.0,-m3,M3,P5
592.0,Rest,Rest,P5
600.0,Rest,P5,Rest
608.0,Rest,P5,Rest
616.0,Rest,Rest,P5
624.0,Rest,P8,Rest
632.0,Rest,P5,Rest
640.0,Rest,Rest,m3
648.0,m3,P5,M3
656.0,m3,P5,M3
664.0,m3,P5,M3
672.0,M3,Rest,Rest
680.0,M3,Rest,Rest
688.0,M6,Rest,Rest
696.0,P5,Rest,Rest
704.0,M6,Rest,Rest
712.0,m2,Rest,Rest
720.0,P8,P8,P1
728.0,P8,P8,P1
736.0,m7,m7,P1
744.0,M3,P5,m3
752.0,M3,P5,m3
760.0,P4,m6,m3
768.0,P4,P8,P5
776.0,P4,P8,P5
784.0,m3,P8,M6
792.0,M3,M3,P8
800.0,M3,M3,P8
808.0,m3,P5,M3
816.0,P1,P8,P8
824.0,P1,P8,P8
832.0,-M2,m7,P8
840.0,P5,Rest,Rest
848.0,M3,Rest,Rest
856.0,P5,Rest,Rest
864.0,P1,P8,P8
872.0,P1,P8,P8
880.0,Rest,Rest,P8
888.0,Rest,M3,Rest
896.0,Rest,P8,Rest
904.0,Rest,Rest,P5
912.0,Rest,P8,Rest
920.0,Rest,P5,Rest
928.0,Rest,Rest,P4
936.0,-P4,P5,P8
944.0,-P4,P5,P8
952.0,-P4,P5,P8
960.0,P1,Rest,Rest
968.0,M2,Rest,Rest
976.0,P5,Rest,Rest
984.0,M3,Rest,Rest
992.0,A4,Rest,Rest
1000.0,m3,Rest,Rest
1008.0,m3,P5,M3
1016.0,m3,P5,M3
1024.0,m3,P5,M3
1032.0,M3,M3,P8
1040.0,M3,M3,P8
1048.0,P4,P8,P5
1056.0,Rest,Rest,P1
1064.0,Rest,Rest,P1
1072.0,M7,Rest,Rest
1080.0,Rest,P8,Rest
1088.0,Rest,P8,Rest
1096.0,M6,P8,m3
1104.0,Rest,Rest,P1
1112.0,Rest,m3,Rest
1120.0,P5,M3,-m3
1128.0,P5,Rest,Rest
1136.0,P5,Rest,Rest
1144.0,M2,Rest,Rest
1152.0,-m3,M3,P5
1160.0,-m3,M3,P5
1168.0,m2,P4,M3
1176.0,P1,P5,P5
1184.0,M2,P5,P4
1192.0,M2,P5,P4
1200.0,Rest,Rest,P5
1208.0,Rest,Rest,P5
1216.0,P4,Rest,Rest
1224.0,Rest,P5,Rest
1232.0,Rest,P5,Rest
1240.0,P1,P5,P5
1248.0,Rest,Rest,P8
1256.0,Rest,m7,Rest
1264.0,M3,M7,P5
1272.0,-P5,Rest,Rest
1280.0,-P5,Rest,Rest
1288.0,-M7,Rest,Rest
1296.0,-P4,P5,P8
1304.0,-P4,P5,P8
1312.0,-P4,P5,P8
1320.0,m3,P8,M6
1328.0,m2,m7,M6
1336.0,M3,M3,P8
1344.0,Rest,Rest,P5
1352.0,Rest,Rest,P5
1360.0,M7,Rest,Rest
1368.0,M6,M3,P5
1376.0,P5,P8,P4
1384.0,m7,P8,M2
1392.0,m3,P5,M3
1400.0,P4,M6,M3
1408.0,P4,P8,P5
