Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P1,P1,P1
12.0,m3,P5,M3
24.0,m3,P5,M3
36.0,-m3,M3,P5
48.0,-M3,P8,M3
60.0,-M3,P8,M3
72.0,-P4,P5,P8
84.0,-P4,P5,P8
96.0,-P5,Rest,Rest
108.0,-m3,Rest,Rest
120.0,P1,Rest,Rest
132.0,Rest,Rest,P5
144.0,M3,P5,m3
156.0,P1,Rest,Rest
168.0,Rest,Rest,M3
180.0,P1,P5,P5
192.0,P4,P8,P5
204.0,P4,P8,P5
216.0,M3,M3,P8
228.0,P1,P8,P8
240.0,M3,Rest,Rest
252.0,P8,Rest,Rest
264.0,P5,Rest,Rest
276.0,P5,Rest,Rest
288.0,P4,P8,P5
300.0,P4,P8,P5
312.0,Rest,P5,Rest
324.0,M3,P5,m3
336.0,Rest,Rest,M3
348.0,m3,P5,M3
360.0,P4,P8,P5
372.0,P4,P8,P5
384.0,P5,Rest,Rest
396.0,P4,Rest,Rest
408.0,P1,Rest,Rest
420.0,Rest,Rest,P8
432.0,m3,P8,M6
444.0,P1,Rest,Rest
456.0,Rest,Rest,P8
468.0,M3,M3,P8
480.0,M6,M3,P5
492.0,P4,P8,P5
504.0,M3,P5,m3
516.0,M3,P5,m3
528.0,P5,Rest,Rest
540.0,P5,Rest,Rest
552.0,P8,Rest,Rest
564.0,M6,Rest,Rest
576.0,P8,M3,M3
588.0,Rest,P8,Rest
600.0,Rest,M6,Rest
612.0,-P4,P5,P8
624.0,Rest,Rest,M3
636.0,m3,P5,M3
648.0,M6,M3,P5
660.0,P4,P8,P5
672.0,P5,Rest,Rest
684.0,-P5,Rest,Rest
696.0,-P8,Rest,Rest
708.0,Rest,Rest,P5
720.0,P1,M3,M3
732.0,M3,Rest,Rest
744.0,Rest,Rest,P5
756.0,m3,P5,M3
768.0,P5,P5,P8
780.0,M3,M3,P8
792.0,M6,M3,P5
804.0,P4,P8,P5
816.0,P5,Rest,Rest
828.0,M6,Rest,Rest
840.0,P8,Rest,Rest
852.0,M6,Rest,Rest
864.0,P8,P8,P1
876.0,Rest,P8,Rest
888.0,Rest,P5,Rest
900.0,P1,P5,P5
912.0,Rest,Rest,M6
924.0,-P4,M3,M6
936.0,-P4,P5,P8
948.0,-P4,P5,P8
960.0,-P5,Rest,Rest
972.0,-P8,Rest,Rest
984.0,-P5,Rest,Rest
996.0,Rest,Rest,P8
1008.0,-P4,P5,P8
1020.0,P1,Rest,Rest
1032.0,Rest,Rest,P5
1044.0,-P4,P5,P8
1056.0,-P4,P5,P8
1068.0,-P5,M3,M7
1080.0,-P4,P5,P8
1092.0,-P4,P5,P8
1104.0,-P5,Rest,Rest
1116.0,-m3,Rest,Rest
1128.0,-m3,Rest,Rest
1140.0,-m3,Rest,Rest
1152.0,-P4,P5,P8
1164.0,Rest,P8,Rest
1176.0,Rest,M6,Rest
1188.0,-P5,P5,M2
1200.0,Rest,Rest,P5
1212.0,-m3,M3,P5
1224.0,-M3,P8,M3
1236.0,-P5,M6,M3
1248.0,-M6,Rest,Rest
1260.0,-P8,Rest,Rest
1272.0,-P5,Rest,Rest
1284.0,Rest,Rest,P8
1296.0,-P4,P5,P8
1308.0,P1,Rest,Rest
1320.0,Rest,Rest,M6
1332.0,P5,M3,M6
1344.0,M3,M3,P8
1356.0,m3,P8,M6
1368.0,m3,P5,M3
1380.0,m3,P5,M3
1392.0,m3,P5,M3
1404.0,P4,P8,P5
