Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
18.0,m3,P8,M6
36.0,P5,M3,M6
54.0,P4,P8,P5
72.0,P1,P5,P5
90.0,P1,P5,P5
108.0,-P5,Rest,Rest
126.0,-P5,Rest,Rest
144.0,-P5,Rest,Rest
162.0,m3,P5,M3
180.0,Rest,Rest,M3
198.0,Rest,P8,Rest
216.0,-P4,P5,P8
234.0,-M6,m3,P8
252.0,P1,P5,P5
270.0,Rest,Rest,P5
288.0,Rest,M6,Rest
306.0,Rest,P5,Rest
324.0,Rest,P8,Rest
342.0,Rest,Rest,P8
360.0,Rest,Rest,P5
378.0,m3,Rest,Rest
396.0,m3,P5,M3
414.0,-m3,M3,P5
432.0,-P4,P5,P8
450.0,Rest,Rest,P8
468.0,Rest,P8,Rest
486.0,P1,P5,P5
504.0,P4,M6,M3
522.0,m2,P5,A4
540.0,P5,P5,P1
558.0,P5,P5,P1
576.0,-M3,m3,P5
594.0,-m3,Rest,Rest
612.0,P1,Rest,Rest
630.0,P5,Rest,Rest
648.0,P1,P5,P5
666.0,Rest,Rest,P5
684.0,Rest,P5,Rest
702.0,P1,M3,M3
720.0,-m3,M6,P8
738.0,-M2,P5,M6
756.0,Rest,Rest,P5
774.0,Rest,P5,Rest
792.0,Rest,P8,Rest
810.0,Rest,P5,Rest
828.0,Rest,Rest,P5
846.0,Rest,Rest,M3
864.0,P1,Rest,Rest
882.0,P1,P8,P8
900.0,M3,P8,m6
918.0,P4,P8,P5
936.0,Rest,Rest,P5
954.0,Rest,P8,Rest
972.0,P4,P8,P5
990.0,P4,P8,P5
1008.0,-P5,P5,M2
1026.0,m3,P8,M6
1044.0,P1,P5,P5
1062.0,P4,P8,P5
1080.0,P1,Rest,Rest
1098.0,P5,Rest,Rest
1116.0,m3,Rest,Rest
1134.0,P4,P8,P5
1152.0,Rest,Rest,P5
1170.0,Rest,P5,Rest
1188.0,P1,P5,P5
1206.0,P5,M7,M3
1224.0,P5,P5,P1
1242.0,Rest,Rest,P1
1260.0,Rest,M6,Rest
1278.0,Rest,P5,Rest
1296.0,Rest,P8,Rest
1314.0,Rest,Rest,P8
1332.0,Rest,Rest,P5
1350.0,P1,Rest,Rest
1368.0,m3,P5,M3
1386.0,m3,P8,M6
1404.0,P4,P8,P5
1422.0,Rest,Rest,P5
1440.0,Rest,P8,Rest
1458.0,P1,P8,P8
1476.0,-P4,P5,P8
1494.0,-M7,m3,M2
1512.0,P1,M3,M3
1530.0,P4,P8,P5
1548.0,-P4,P5,P8
1566.0,-P8,Rest,Rest
1584.0,-P5,Rest,Rest
1602.0,-P5,Rest,Rest
1620.0,P4,P8,P5
1638.0,Rest,Rest,P5
1656.0,Rest,P8,Rest
1674.0,-P4,P5,P8
1692.0,-M2,m7,P8
1710.0,P1,P5,P5
1728.0,Rest,Rest,P5
1746.0,Rest,P5,Rest
1764.0,Rest,M3,Rest
1782.0,Rest,P1,Rest
1800.0,Rest,Rest,P8
1818.0,Rest,Rest,P5
1836.0,P1,Rest,Rest
1854.0,P8,P8,P1
1872.0,-M2,P5,M6
1890.0,P4,P8,P5
