Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P5,P8,P5,P4,P8,P5
8.0,P5,P8,P5,P4,P8,P5
16.0,P5,P8,P5,P4,P8,P5
24.0,M6,M2,A4,P4,M6,M3
32.0,m7,P8,P8,M2,M2,P1
40.0,m7,P5,m3,M6,P4,-M3
48.0,M6,M3,M3,P5,P5,P1
56.0,P4,P8,P8,P5,P5,P1
64.0,M3,M3,M3,P8,P8,P1
72.0,P4,P8,Rest,P5,Rest,Rest
80.0,P4,M2,Rest,M6,Rest,Rest
88.0,Rest,Rest,Rest,P5,Rest,Rest
96.0,Rest,Rest,Rest,P8,P4,-P5
104.0,Rest,Rest,Rest,P5,P1,-P5
112.0,Rest,Rest,Rest,P8,P4,-P5
120.0,P4,Rest,P8,Rest,P5,Rest
128.0,P4,Rest,P8,Rest,P5,Rest
136.0,P4,Rest,P8,Rest,P5,Rest
144.0,m7,P5,M2,-m3,M3,P5
152.0,m6,m3,P8,-P4,M3,M6
160.0,P5,P4,M2,-M2,P5,M6
168.0,M6,M3,M3,-P4,P5,P8
176.0,Rest,Rest,Rest,-P4,P5,P8
184.0,Rest,M3,M3,Rest,Rest,P8
192.0,P8,P4,Rest,-P5,Rest,Rest
200.0,P5,M3,Rest,-m3,Rest,Rest
208.0,m3,m3,Rest,P1,Rest,Rest
216.0,M6,M6,P8,P1,m3,m3
224.0,P4,M6,P8,M3,P5,m3
232.0,P4,Rest,P8,Rest,P5,Rest
240.0,P4,P8,P8,P5,P5,P1
248.0,P4,P8,P8,P5,P5,P1
256.0,Rest,Rest,Rest,m7,P5,-m3
264.0,M6,M3,M6,P5,P1,-P5
272.0,P4,P8,m6,P5,m3,-M3
280.0,P4,M2,m7,M6,P4,-M3
288.0,M3,M3,M6,P8,P4,-P5
296.0,Rest,M3,M6,Rest,Rest,-P5
304.0,M2,Rest,M6,Rest,P5,Rest
312.0,P4,P8,Rest,P5,Rest,Rest
320.0,M3,P5,Rest,m3,Rest,Rest
328.0,P4,P4,Rest,P1,Rest,Rest
336.0,P5,M3,P5,-m3,P1,m3
344.0,P1,M3,P5,M3,P5,m3
352.0,P1,M3,P5,M3,P5,m3
360.0,P1,P4,P8,P4,P8,P5
368.0,-M2,m3,P5,P4,M6,M3
376.0,P1,m3,P5,m3,P5,M3
384.0,P5,P8,P5,P4,P8,P5
392.0,M3,M6,M3,P4,P8,P5
400.0,M2,P5,M2,P4,P8,P5
408.0,m6,P8,Rest,M3,Rest,Rest
416.0,m3,P5,Rest,M3,Rest,Rest
424.0,Rest,Rest,Rest,A4,Rest,Rest
432.0,Rest,Rest,Rest,P5,P5,P1
