Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
18.0,-m3,M6,P8
36.0,P1,P8,P8
54.0,P4,P8,P5
72.0,P1,P5,P5
90.0,P4,m6,m3
108.0,P4,P8,P5
126.0,Rest,Rest,P5
144.0,Rest,P8,Rest
162.0,M3,Rest,Rest
180.0,Rest,Rest,P8
198.0,Rest,P8,Rest
216.0,Rest,Rest,Rest
234.0,Rest,P8,Rest
252.0,Rest,Rest,Rest
270.0,P4,P8,P5
288.0,P4,M6,M3
306.0,P1,M3,M3
324.0,P5,P5,P1
342.0,Rest,P5,Rest
360.0,Rest,Rest,P5
378.0,P5,Rest,Rest
396.0,P5,Rest,Rest
414.0,P8,Rest,Rest
432.0,Rest,Rest,m3
450.0,P5,P8,P4
468.0,M3,P5,m3
486.0,P8,P8,P1
504.0,P1,P5,P5
522.0,-P4,P5,P8
540.0,-P5,P1,P5
558.0,Rest,Rest,P5
576.0,Rest,P8,Rest
594.0,P5,Rest,Rest
612.0,Rest,Rest,P1
630.0,Rest,P8,Rest
648.0,Rest,Rest,Rest
666.0,Rest,P8,Rest
684.0,Rest,Rest,Rest
702.0,M3,M3,P8
720.0,P5,P5,P8
738.0,M6,M3,P5
756.0,P4,P8,P5
774.0,Rest,P8,Rest
792.0,Rest,Rest,P8
810.0,P1,Rest,Rest
828.0,A4,Rest,Rest
846.0,P5,Rest,Rest
864.0,Rest,Rest,P5
882.0,P1,P8,P8
900.0,P5,M2,P5
918.0,P5,M3,M6
936.0,P5,P5,P8
954.0,M3,M3,P8
972.0,P4,P8,P5
990.0,Rest,Rest,P5
1008.0,Rest,P8,Rest
1026.0,-P5,Rest,Rest
1044.0,Rest,Rest,P8
1062.0,Rest,P5,Rest
1080.0,Rest,Rest,Rest
1098.0,Rest,P8,Rest
1116.0,Rest,Rest,Rest
1134.0,M6,P8,m3
1152.0,P4,M6,M3
1170.0,m3,P5,M3
1188.0,P5,P5,P1
1206.0,Rest,P5,Rest
1224.0,Rest,Rest,P5
1242.0,-P5,Rest,Rest
1260.0,-M3,Rest,Rest
1278.0,-P5,Rest,Rest
1296.0,Rest,Rest,P5
1314.0,-P4,M3,M6
1332.0,P1,P5,P5
1350.0,P5,P5,P1
1368.0,P8,P8,P1
1386.0,m3,P5,M3
1404.0,M6,M3,P5
1422.0,Rest,Rest,P5
1440.0,Rest,P8,Rest
1458.0,-P5,Rest,Rest
1476.0,Rest,Rest,P8
1494.0,Rest,P8,Rest
1512.0,Rest,Rest,Rest
1530.0,Rest,P8,Rest
1548.0,Rest,Rest,Rest
1566.0,-P4,M3,M6
1584.0,-P4,P5,P8
1602.0,-P4,P5,P8
1620.0,-M6,P5,M3
1638.0,Rest,P5,Rest
1656.0,Rest,Rest,P5
1674.0,-P8,Rest,Rest
1692.0,-P5,Rest,Rest
1710.0,-P8,Rest,Rest
1728.0,Rest,Rest,M3
1746.0,-P4,P5,P8
1764.0,P1,P8,P8
1782.0,P4,P8,P5
1800.0,P5,P5,P1
1818.0,P1,P5,P5
1836.0,M3,P5,m3
1854.0,Rest,Rest,m3
1872.0,Rest,m3,Rest
1890.0,-P8,Rest,Rest
1908.0,Rest,Rest,P8
1926.0,Rest,P5,Rest
1944.0,Rest,Rest,Rest
1962.0,Rest,P5,Rest
1980.0,Rest,Rest,Rest
1998.0,P1,P5,P5
2016.0,P5,P5,P1
2034.0,P4,M6,M3
2052.0,P4,P8,P5
2070.0,Rest,Rest,Rest
2088.0,Rest,Rest,Rest
2106.0,Rest,Rest,Rest
