Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,Rest,Rest,Rest,Rest,P5,Rest
12.0,Rest,P4,P8,Rest,Rest,P5
24.0,Rest,M6,Rest,Rest,Rest,Rest
36.0,Rest,Rest,Rest,P1,P1,P1
48.0,P1,P8,M6,P8,M6,-m3
60.0,Rest,Rest,Rest,P5,P5,P1
72.0,Rest,Rest,Rest,Rest,P5,Rest
84.0,Rest,M3,P5,Rest,Rest,m3
96.0,Rest,P8,Rest,Rest,Rest,Rest
108.0,Rest,Rest,Rest,P5,P5,P1
120.0,P5,P8,P5,P4,P8,P5
132.0,Rest,Rest,Rest,M3,P5,m3
144.0,Rest,Rest,Rest,Rest,P8,Rest
156.0,Rest,M2,M2,Rest,Rest,P8
168.0,Rest,m3,Rest,Rest,Rest,Rest
180.0,Rest,Rest,Rest,P5,P5,P1
192.0,P1,m3,P5,m3,P5,M3
204.0,Rest,Rest,Rest,P4,P8,P5
216.0,Rest,Rest,Rest,Rest,P5,Rest
228.0,Rest,P5,P5,Rest,Rest,P1
240.0,Rest,P5,P8,Rest,Rest,-P5
252.0,Rest,Rest,Rest,M6,P4,-M3
264.0,P4,P8,M6,P5,M3,-m3
276.0,P4,P8,P8,P5,P5,P1
288.0,,,Rest,,Rest,Rest
