Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
18.0,Rest,Rest,Rest
36.0,Rest,Rest,Rest
54.0,Rest,Rest,Rest
72.0,Rest,Rest,Rest
90.0,Rest,Rest,Rest
108.0,Rest,Rest,Rest
126.0,Rest,Rest,Rest
144.0,P4,P8,P5
162.0,P8,P8,P1
180.0,P4,P8,P5
198.0,M6,P8,m3
216.0,P4,P8,P5
234.0,P4,P8,P5
252.0,m3,P5,M3
270.0,P4,M6,M3
288.0,P4,P8,P5
306.0,Rest,P8,Rest
324.0,Rest,Rest,Rest
342.0,Rest,P5,Rest
360.0,Rest,Rest,P5
378.0,-P4,P5,P8
396.0,m3,P8,M6
414.0,m3,P8,M6
432.0,P1,Rest,Rest
450.0,P5,Rest,Rest
468.0,P8,P8,P1
486.0,M6,P8,m3
504.0,P1,P5,P5
522.0,P4,P8,P5
540.0,P5,P5,P1
558.0,P5,P5,P1
576.0,-m3,M3,P5
594.0,m3,P5,M3
612.0,P4,P8,P5
630.0,Rest,P8,Rest
648.0,Rest,Rest,Rest
666.0,Rest,P5,Rest
684.0,Rest,Rest,P5
702.0,P4,M6,M3
720.0,P4,P8,P5
738.0,M6,M3,P5
756.0,P8,Rest,Rest
774.0,P8,Rest,Rest
792.0,P5,P5,P8
810.0,P5,P5,P8
828.0,-m3,P8,m3
846.0,P1,P8,P8
864.0,P4,P8,P5
882.0,P5,M2,P5
900.0,P5,P5,P1
918.0,M6,P8,m3
936.0,P4,m3,m7
954.0,Rest,m3,Rest
972.0,Rest,Rest,Rest
990.0,Rest,P8,Rest
1008.0,Rest,Rest,P1
1026.0,m3,P5,M3
1044.0,P4,P8,P5
1062.0,P8,P5,P5
1080.0,m6,Rest,Rest
1098.0,P8,Rest,Rest
1116.0,P4,P8,P5
1134.0,P5,M2,P5
1152.0,-P4,P5,P8
1170.0,m3,P8,M6
1188.0,m3,P8,M6
1206.0,m3,P8,M6
1224.0,M3,M3,P8
1242.0,M2,M2,P8
1260.0,P4,P8,P5
1278.0,Rest,P8,Rest
1296.0,Rest,Rest,Rest
1314.0,Rest,P8,Rest
1332.0,Rest,Rest,P1
1350.0,M2,P5,P4
1368.0,P4,P8,P5
1386.0,P4,P8,P5
1404.0,M2,Rest,Rest
1422.0,P5,Rest,Rest
1440.0,P4,P8,P5
1458.0,M6,P8,m3
1476.0,P4,P8,P5
1494.0,P5,P5,P1
1512.0,P4,P8,P5
1530.0,Rest,Rest,Rest
1548.0,Rest,Rest,M6
1566.0,P1,P5,P5
1584.0,P5,Rest,Rest
1602.0,Rest,Rest,P5
1620.0,Rest,P8,Rest
1638.0,P5,P5,P1
1656.0,-m3,M3,P5
1674.0,-P4,P5,P8
1692.0,Rest,Rest,Rest
1710.0,Rest,Rest,P5
1728.0,P1,P8,P8
1746.0,P1,Rest,Rest
1764.0,Rest,Rest,P5
1782.0,Rest,P5,Rest
1800.0,P4,P8,P5
1818.0,P5,P5,P1
1836.0,P4,P8,P5
1854.0,Rest,Rest,Rest
1872.0,Rest,Rest,P4
1890.0,P4,P8,P5
1908.0,P1,Rest,Rest
1926.0,Rest,Rest,P5
1944.0,Rest,M3,Rest
1962.0,M3,P8,m6
1980.0,M6,M3,P5
1998.0,P5,P5,P8
2016.0,Rest,Rest,Rest
2034.0,Rest,Rest,P5
2052.0,P4,P8,P5
2070.0,Rest,Rest,Rest
2088.0,Rest,Rest,Rest
