Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,Rest,Rest,Rest,Rest,Rest,Rest
12.0,Rest,Rest,Rest,Rest,Rest,Rest
24.0,Rest,Rest,Rest,Rest,Rest,Rest
36.0,Rest,Rest,Rest,Rest,Rest,Rest
48.0,Rest,Rest,Rest,Rest,Rest,Rest
60.0,Rest,Rest,Rest,Rest,Rest,Rest
72.0,Rest,Rest,Rest,Rest,Rest,Rest
84.0,Rest,Rest,Rest,Rest,Rest,Rest
96.0,Rest,Rest,Rest,Rest,Rest,Rest
108.0,Rest,Rest,Rest,Rest,Rest,Rest
120.0,Rest,Rest,Rest,Rest,Rest,Rest
132.0,Rest,Rest,Rest,Rest,Rest,Rest
144.0,P5,Rest,P5,Rest,P8,Rest
156.0,-M3,P4,P8,M6,M3,P5
168.0,m3,P8,P5,M6,M3,P5
180.0,-m3,Rest,M3,Rest,P5,Rest
192.0,-P4,P5,Rest,P8,Rest,Rest
204.0,-P4,P5,Rest,P8,Rest,Rest
216.0,-P4,P5,Rest,P8,Rest,Rest
228.0,P1,P5,P5,P5,P5,P1
240.0,P5,Rest,M7,Rest,M3,Rest
252.0,P8,Rest,P8,Rest,P1,Rest
264.0,Rest,P8,P4,Rest,Rest,-P5
276.0,-P4,Rest,P5,Rest,P8,Rest
288.0,Rest,Rest,Rest,P8,P4,-P5
300.0,P5,P5,P8,P8,P4,-P5
312.0,P4,P8,Rest,P5,Rest,Rest
324.0,P4,P8,Rest,P5,Rest,Rest
336.0,P4,M2,Rest,M6,Rest,Rest
348.0,P5,P5,Rest,P8,Rest,Rest
360.0,Rest,Rest,Rest,Rest,P5,Rest
372.0,Rest,Rest,Rest,M3,M3,-P8
384.0,Rest,P5,P5,Rest,Rest,-P8
396.0,Rest,Rest,M3,Rest,Rest,Rest
408.0,-P5,P1,Rest,P5,Rest,Rest
420.0,-P4,P5,Rest,P8,Rest,Rest
432.0,-P5,P1,Rest,P5,Rest,Rest
444.0,P1,M3,M3,M3,M3,P1
456.0,P5,Rest,P5,Rest,P1,Rest
468.0,P5,Rest,M3,Rest,-m3,Rest
480.0,Rest,P8,P4,Rest,Rest,-P5
492.0,P5,Rest,P5,Rest,P1,Rest
504.0,Rest,Rest,Rest,P5,P5,P1
516.0,-P4,M3,M3,M6,M6,P1
528.0,-P4,P5,Rest,P8,Rest,Rest
540.0,-P4,P5,Rest,P8,Rest,Rest
552.0,m3,P8,Rest,M6,Rest,Rest
564.0,P5,P5,Rest,P8,Rest,Rest
576.0,Rest,Rest,Rest,Rest,P5,Rest
588.0,Rest,Rest,Rest,P1,P5,P5
600.0,Rest,P4,P8,Rest,Rest,P5
