Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P8,P8,P1
12.0,P8,M6,-m3
24.0,P5,M3,-m3
36.0,P8,P1,-P8
48.0,P8,P1,-P8
60.0,P5,P5,-P8
72.0,P1,P1,P1
84.0,m3,P1,-m3
96.0,P5,P1,-P5
108.0,P8,P1,-P8
120.0,m6,m2,-P5
132.0,P8,P1,-P8
144.0,P8,P4,-P5
156.0,P5,P5,-P8
168.0,M6,P1,-M6
180.0,P8,Rest,Rest
192.0,M6,Rest,Rest
204.0,P8,Rest,Rest
216.0,P5,M3,-m3
228.0,P5,M3,-m3
240.0,P5,P5,P1
252.0,m7,P5,-m3
264.0,P8,P4,-P5
276.0,P5,Rest,Rest
288.0,P8,P1,-P8
300.0,Rest,-P5,Rest
312.0,Rest,P1,Rest
324.0,P8,M6,-m3
336.0,Rest,Rest,-m3
348.0,P8,M6,-m3
360.0,M3,M6,-P5
372.0,P5,P5,P1
384.0,m3,m3,P1
396.0,m3,P5,M3
408.0,m3,P5,M3
420.0,m3,P5,M3
432.0,P4,P8,P5
444.0,P4,P8,P5
456.0,P5,P5,P1
468.0,M6,Rest,Rest
480.0,P5,Rest,Rest
492.0,P5,Rest,Rest
504.0,M6,P8,m3
516.0,P8,P8,P1
528.0,P5,M3,-m3
540.0,P5,P5,-P8
552.0,P8,P4,-P5
564.0,M3,Rest,Rest
576.0,P5,P5,P1
588.0,Rest,M6,Rest
600.0,Rest,M3,Rest
612.0,P5,P1,-P5
624.0,Rest,Rest,-P5
636.0,P8,P4,-P5
648.0,m3,m3,P1
660.0,P8,P4,-P5
672.0,m3,P1,-m3
684.0,P5,P1,-P5
696.0,M6,P4,-M3
708.0,P5,m3,-M3
720.0,P8,P4,-P5
732.0,P5,P5,P1
744.0,m3,m3,P1
756.0,P5,Rest,Rest
768.0,P8,Rest,Rest
780.0,P5,Rest,Rest
792.0,P8,P4,-P5
804.0,P5,M3,-m3
816.0,P8,P4,-P5
828.0,M6,P4,-M3
840.0,P8,P4,-P5
852.0,P5,Rest,Rest
864.0,P8,P4,-P5
876.0,Rest,P1,Rest
888.0,Rest,P1,Rest
900.0,P8,P4,-P5
912.0,Rest,Rest,-m3
924.0,P5,M3,-m3
936.0,P5,P5,-P8
948.0,P5,P1,-P5
960.0,P5,P5,-P8
972.0,P5,P5,P1
984.0,m6,P8,M3
996.0,m3,P5,M3
1008.0,P1,P5,P5
1020.0,M3,M3,P1
1032.0,P5,M2,P5
1044.0,M3,Rest,Rest
1056.0,P8,Rest,Rest
1068.0,P5,Rest,Rest
1080.0,P1,P5,P5
1092.0,P5,P5,P1
1104.0,P8,M6,-m3
1116.0,P5,P1,-P5
1128.0,P5,M3,-m3
1140.0,P8,Rest,Rest
1152.0,P5,P5,P1
1164.0,Rest,M6,Rest
1176.0,Rest,M3,Rest
1188.0,P8,P1,-P8
1200.0,Rest,Rest,-P8
1212.0,P8,P1,-P8
1224.0,P5,P5,-P8
1236.0,P5,P1,-P5
1248.0,P8,m3,-M6
1260.0,P8,P1,-P8
1272.0,M3,M3,-P8
1284.0,M3,M3,-P8
1296.0,P5,P5,-P8
1308.0,P5,P5,-P8
1320.0,m3,m3,P1
1332.0,P5,Rest,Rest
1344.0,P5,Rest,Rest
1356.0,P5,Rest,Rest
1368.0,P8,P4,-P5
1380.0,P5,M3,-m3
1392.0,P5,P5,P1
1404.0,m6,P4,-m3
1416.0,P8,P4,-P5
1428.0,P5,Rest,Rest
1440.0,P8,P1,-P8
1452.0,Rest,-P5,Rest
1464.0,Rest,m3,Rest
1476.0,P5,m3,-M3
1488.0,Rest,Rest,P1
1500.0,m3,m3,P1
1512.0,m3,m3,P1
1524.0,P8,P4,-P5
1536.0,M6,M2,-P5
1548.0,P8,m6,-M3
1560.0,M3,P5,m3
1572.0,M3,P5,m3
1584.0,P1,P5,P5
1596.0,P8,P8,P1
1608.0,P8,P8,P1
1620.0,M3,Rest,Rest
1632.0,P8,Rest,Rest
1644.0,M6,Rest,Rest
1656.0,P8,m3,m3
1668.0,P5,P5,P1
1680.0,P8,P4,-P5
1692.0,M6,M2,-P5
1704.0,P8,P4,-P5
1716.0,,Rest,Rest
