Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
24.0,P4,P8,P5
48.0,m3,P5,M3
72.0,M6,M3,P5
96.0,P5,Rest,Rest
120.0,P4,P8,P5
144.0,P8,P8,P1
168.0,Rest,P5,Rest
192.0,m3,P5,M3
216.0,P4,P8,P5
240.0,P5,Rest,Rest
264.0,P4,P8,P5
288.0,P5,P5,P1
312.0,P5,P5,P1
336.0,m3,P5,M3
360.0,P4,P8,P5
384.0,P1,Rest,Rest
408.0,P1,m3,m3
432.0,P5,P5,P1
456.0,Rest,P5,Rest
480.0,M3,P5,m3
504.0,P4,P8,P5
528.0,P5,Rest,Rest
552.0,-M3,P8,M3
576.0,-P4,P5,P8
600.0,-P4,P5,P8
624.0,-P4,M3,M6
648.0,-P4,P5,P8
672.0,-P5,Rest,Rest
696.0,M3,M3,P8
720.0,P4,P8,P5
744.0,Rest,P5,Rest
768.0,P5,P5,P1
792.0,P8,P4,-P5
816.0,M3,Rest,Rest
840.0,P1,P5,P5
864.0,M3,P5,m3
888.0,Rest,P5,Rest
912.0,P5,P5,P1
936.0,P4,P8,P5
960.0,m3,Rest,Rest
984.0,m3,P5,M3
1008.0,P4,P8,P5
1032.0,Rest,P8,Rest
1056.0,P5,Rest,Rest
1080.0,P4,P8,P5
1104.0,P5,M3,M6
1128.0,P5,Rest,Rest
1152.0,P1,P5,P5
1176.0,m3,P5,M3
1200.0,P8,Rest,Rest
1224.0,P5,M3,-m3
1248.0,P8,P4,-P5
1272.0,-m3,Rest,Rest
1296.0,P5,P5,P1
1320.0,P4,P8,P5
1344.0,P8,Rest,Rest
1368.0,P4,P8,P5
1392.0,P5,M2,P5
1416.0,P1,Rest,Rest
1440.0,P4,P8,P5
1464.0,m3,P5,M3
1488.0,P8,Rest,Rest
1512.0,M6,P8,m3
1536.0,m3,P5,M3
1560.0,P5,Rest,Rest
1584.0,P4,P8,P5
