Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P5,P5,P8
24.0,m7,P5,M6
48.0,m3,P8,M6
72.0,P1,P5,P5
96.0,M3,P5,m3
120.0,P5,Rest,Rest
144.0,P1,M6,M6
168.0,Rest,P8,Rest
192.0,P5,P5,P8
216.0,M6,M3,P5
240.0,P1,Rest,Rest
264.0,P5,Rest,Rest
288.0,P4,P8,P5
312.0,Rest,P8,Rest
336.0,P5,P5,P8
360.0,m3,P5,M3
384.0,P4,P8,P5
408.0,P5,Rest,Rest
432.0,P1,M6,M6
456.0,Rest,P8,Rest
480.0,P5,M3,M6
504.0,-M3,P8,M3
528.0,-P5,Rest,Rest
552.0,P1,Rest,Rest
576.0,P4,P8,P5
600.0,Rest,P5,Rest
624.0,-P4,M3,M6
648.0,-P4,P5,P8
672.0,-M3,P8,M3
696.0,-P5,Rest,Rest
720.0,-m3,M6,P8
744.0,Rest,P8,Rest
768.0,M6,M3,P5
792.0,P5,P5,P8
816.0,P5,Rest,Rest
840.0,P5,Rest,Rest
864.0,m3,P5,M3
888.0,Rest,P5,Rest
912.0,-P4,P5,P8
936.0,-P4,M3,M6
960.0,-P4,P5,P8
984.0,P1,Rest,Rest
1008.0,P4,P8,P5
1032.0,P1,P8,P8
1056.0,P4,P8,P5
1080.0,Rest,P8,Rest
1104.0,P5,P5,P8
1128.0,-P5,Rest,Rest
1152.0,-P4,M3,M6
1176.0,-P4,P5,P8
1200.0,P4,P8,P5
1224.0,Rest,P8,Rest
1248.0,-M3,P8,M3
1272.0,-P8,Rest,Rest
1296.0,-P4,P5,P8
1320.0,M3,P8,m6
1344.0,P5,P5,P8
1368.0,Rest,P8,Rest
1392.0,P5,M3,M6
1416.0,-P5,Rest,Rest
1440.0,P4,P8,P5
1464.0,P4,P8,P5
1488.0,P5,P5,P8
