Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P8,P4,-P5
36.0,P5,P4,-M2
72.0,P8,P4,-P5
108.0,P5,Rest,Rest
144.0,m3,P5,-m6
180.0,P5,P5,-P8
216.0,P5,P1,-P5
252.0,m6,Rest,Rest
288.0,P5,M3,-m3
324.0,P8,P4,-P5
360.0,P8,P1,-P8
396.0,M6,Rest,Rest
432.0,P8,-m3,-m3
468.0,P8,m3,-M6
504.0,P5,m3,-M3
540.0,P8,Rest,Rest
576.0,P5,P5,-P8
612.0,P5,M3,-m3
648.0,P5,P5,-P8
684.0,P1,Rest,Rest
720.0,P1,P5,P5
756.0,m3,P5,M3
792.0,P5,P5,P1
828.0,P5,Rest,Rest
864.0,m3,P5,-m6
900.0,M3,P5,-M6
936.0,P5,P5,-P8
972.0,M3,Rest,Rest
1008.0,P8,M3,-m6
1044.0,P5,P1,-P5
1080.0,P5,m3,-M3
1116.0,P5,Rest,Rest
1152.0,P5,-P4,-P8
1188.0,m3,P1,-m3
1224.0,P8,P4,-P5
1260.0,P5,Rest,Rest
1296.0,m3,m3,-P8
1332.0,P5,m3,-M3
1368.0,P8,P4,-P5
