Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
24.0,m3,Rest,Rest
48.0,m3,P5,M3
72.0,-m3,P5,m7
96.0,-M3,P8,M3
120.0,Rest,Rest,P5
144.0,Rest,P5,Rest
168.0,m3,P5,M3
192.0,P5,P5,P1
216.0,Rest,Rest,P5
240.0,-m3,P4,m6
264.0,M6,M3,P5
288.0,P5,P5,P1
312.0,Rest,P5,Rest
336.0,M3,Rest,Rest
360.0,P1,P5,P5
384.0,P4,Rest,Rest
408.0,P4,Rest,Rest
432.0,-P4,P5,P8
456.0,Rest,P8,Rest
480.0,P4,P8,P5
504.0,-m3,Rest,Rest
528.0,P5,P5,P8
552.0,Rest,P5,Rest
576.0,M3,Rest,Rest
600.0,-P4,P5,P8
624.0,P4,P8,P5
648.0,Rest,Rest,Rest
672.0,-m3,Rest,Rest
696.0,m3,P5,M3
720.0,-M2,m3,P4
744.0,-P4,M3,M6
768.0,Rest,Rest,P8
792.0,Rest,P8,Rest
816.0,m3,P5,M3
840.0,-m3,M6,P8
864.0,Rest,Rest,P8
888.0,-m3,P8,m3
912.0,-P4,P5,P8
936.0,-M3,P8,M3
960.0,Rest,P8,Rest
984.0,-M3,Rest,Rest
1008.0,P1,P5,P5
1032.0,P4,Rest,Rest
1056.0,P4,Rest,Rest
1080.0,-P5,P1,P5
1104.0,Rest,P8,Rest
1128.0,m3,P8,M6
1152.0,m3,Rest,Rest
1176.0,P1,P5,P5
1200.0,Rest,P5,Rest
1224.0,P1,Rest,Rest
1248.0,m3,P8,M6
1272.0,P5,P5,P8
1296.0,Rest,Rest,Rest
1320.0,-m3,Rest,Rest
1344.0,-m3,M6,P8
1368.0,m3,P8,M6
1392.0,P1,P5,P5
1416.0,Rest,Rest,P5
1440.0,Rest,P8,Rest
1464.0,-M3,P8,M3
1488.0,-P4,P5,P8
1512.0,Rest,Rest,P5
1536.0,P1,P5,P5
1560.0,P4,P8,P5
1584.0,P4,P8,P5
