Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
36.0,P1,P8,P8
72.0,-m3,P5,m7
108.0,P1,P5,P5
144.0,Rest,P5,Rest
180.0,M3,Rest,Rest
216.0,Rest,Rest,P5
252.0,P5,Rest,Rest
288.0,P5,P5,P1
324.0,Rest,Rest,Rest
360.0,P1,P5,P5
396.0,M3,P5,m3
432.0,-P4,P5,P8
468.0,Rest,P8,Rest
504.0,-m3,Rest,Rest
540.0,Rest,Rest,P8
576.0,M3,Rest,Rest
612.0,P4,P8,P5
648.0,Rest,Rest,Rest
684.0,-P5,P1,P5
720.0,-P4,m3,m6
756.0,-P4,P5,P8
792.0,Rest,P8,Rest
828.0,-P5,Rest,Rest
864.0,Rest,Rest,P8
900.0,P1,Rest,Rest
936.0,-M3,P8,M3
972.0,Rest,Rest,Rest
1008.0,P1,P5,P5
1044.0,P1,P5,P5
1080.0,-P5,P1,P5
1116.0,Rest,P8,Rest
1152.0,m3,Rest,Rest
1188.0,Rest,Rest,P8
1224.0,P1,Rest,Rest
1260.0,P5,P5,P8
1296.0,Rest,Rest,Rest
1332.0,P1,P8,P8
1368.0,m3,P8,M6
1404.0,-P5,P1,P5
1440.0,Rest,P8,Rest
1476.0,-M3,Rest,Rest
1512.0,Rest,Rest,P5
1548.0,P5,Rest,Rest
1584.0,P4,P8,P5
