Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,-P4,Rest,P5,Rest,P8,Rest
24.0,-M2,Rest,P5,Rest,M6,Rest
48.0,-P4,Rest,P5,Rest,P8,Rest
72.0,P1,M6,P8,M6,P8,m3
96.0,m3,P5,Rest,M3,Rest,Rest
120.0,P4,P8,P8,P5,P5,P1
144.0,P5,Rest,P5,Rest,P8,Rest
168.0,P4,Rest,P8,Rest,P5,Rest
192.0,Rest,M6,P8,Rest,Rest,m3
216.0,-P4,P5,Rest,P8,Rest,Rest
240.0,P5,P8,P5,P4,P8,P5
264.0,m3,Rest,P5,Rest,M3,Rest
288.0,P4,Rest,P8,Rest,P5,Rest
312.0,P8,P5,P5,-P4,P5,P8
336.0,P8,P5,Rest,-P4,Rest,Rest
360.0,P4,P4,P8,P1,P5,P5
384.0,P4,Rest,P8,Rest,P5,Rest
408.0,P4,Rest,P8,Rest,P5,Rest
432.0,Rest,P5,P5,Rest,Rest,P1
456.0,-P5,P1,Rest,P5,Rest,Rest
480.0,-P4,P1,P5,P4,P8,P5
504.0,-P4,Rest,P5,Rest,P8,Rest
528.0,P4,Rest,P8,Rest,P5,Rest
552.0,-P4,P1,P5,P4,P8,P5
576.0,P5,P5,Rest,P1,Rest,Rest
600.0,P4,P8,P8,P5,P5,P1
624.0,m3,Rest,P5,Rest,M3,Rest
648.0,P4,Rest,P8,Rest,P5,Rest
672.0,Rest,P5,P5,Rest,Rest,P1
696.0,-m3,M3,Rest,P5,Rest,Rest
720.0,P4,m6,P8,m3,P5,M3
744.0,-P4,Rest,M3,Rest,M6,Rest
768.0,-P4,Rest,P5,Rest,P8,Rest
792.0,P1,M2,M6,M2,M6,P5
816.0,P1,P4,Rest,P4,Rest,Rest
840.0,P4,P8,P8,P5,P5,P1
864.0,m3,Rest,P5,Rest,M3,Rest
888.0,P4,Rest,P8,Rest,P5,Rest
912.0,Rest,M6,P8,Rest,Rest,m3
936.0,Rest,P5,Rest,Rest,Rest,Rest
960.0,P4,P8,P8,P5,P5,P1
984.0,P5,Rest,P5,Rest,P8,Rest
1008.0,P1,Rest,P8,Rest,P8,Rest
1032.0,Rest,M6,P8,Rest,Rest,m3
1056.0,Rest,P8,Rest,Rest,Rest,Rest
1080.0,-P5,P4,P8,P8,P5,P5
1104.0,-M3,Rest,P8,Rest,M3,Rest
1128.0,-P4,Rest,P5,Rest,P8,Rest
1152.0,Rest,P1,P8,Rest,Rest,P8
1176.0,Rest,P5,Rest,Rest,Rest,Rest
1200.0,P1,P4,P8,P4,P8,P5
1224.0,-m3,Rest,M3,Rest,P5,Rest
1248.0,-P4,Rest,P5,Rest,P8,Rest
1272.0,Rest,P5,P5,Rest,Rest,P1
1296.0,Rest,P8,Rest,Rest,Rest,Rest
1320.0,P1,P4,P8,P4,P8,P5
1344.0,m3,Rest,P8,Rest,M6,Rest
1368.0,P1,Rest,P5,Rest,P5,Rest
1392.0,Rest,P1,P5,Rest,Rest,P5
1416.0,Rest,P1,Rest,Rest,Rest,Rest
1440.0,P1,P5,P5,P5,P5,P1
1464.0,-P4,Rest,M3,Rest,M6,Rest
1488.0,-P4,Rest,P5,Rest,P8,Rest
1512.0,Rest,P5,P5,Rest,Rest,P1
1536.0,Rest,P5,Rest,Rest,Rest,Rest
1560.0,P1,m3,P5,m3,P5,M3
1584.0,-P4,Rest,M3,Rest,M6,Rest
1608.0,-P4,Rest,P5,Rest,P8,Rest
1632.0,Rest,P4,P8,Rest,Rest,P5
1656.0,m3,P5,Rest,M3,Rest,Rest
1680.0,P4,P8,Rest,P5,Rest,Rest
