Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P1,Rest,Rest
24.0,Rest,P5,Rest
48.0,P4,P8,P5
72.0,P4,P8,P5
96.0,M3,P5,m3
120.0,P5,P5,P1
144.0,P8,M6,-m3
168.0,P4,P8,P5
192.0,P5,Rest,Rest
216.0,P8,Rest,Rest
240.0,Rest,P5,Rest
264.0,Rest,Rest,M3
288.0,M3,P5,m3
312.0,P4,P8,P5
336.0,P5,P5,P1
360.0,M3,P5,m3
384.0,P4,P8,P5
408.0,M6,Rest,Rest
432.0,M6,Rest,Rest
456.0,P8,P8,P1
480.0,Rest,Rest,P8
504.0,-P4,M3,M6
528.0,-P4,P5,P8
552.0,P1,P5,P5
576.0,P5,P5,P1
600.0,P5,P5,P1
624.0,P8,Rest,Rest
648.0,P1,Rest,Rest
672.0,Rest,P8,Rest
696.0,Rest,Rest,M6
720.0,m3,m3,P8
744.0,P5,P5,P8
768.0,M6,M3,P5
792.0,m3,P8,M6
816.0,P5,P5,P8
840.0,P5,Rest,Rest
864.0,P5,Rest,Rest
888.0,Rest,Rest,P8
912.0,-P4,P5,P8
936.0,-P4,M3,M6
960.0,P1,Rest,Rest
984.0,Rest,P8,Rest
1008.0,P4,P8,P5
1032.0,Rest,Rest,P5
1056.0,-M3,P8,M3
1080.0,P1,Rest,Rest
1104.0,Rest,Rest,P5
1128.0,P4,P8,P5
1152.0,m3,P5,M3
1176.0,P8,Rest,Rest
1200.0,Rest,P8,Rest
1224.0,P5,P8,P4
1248.0,P1,P5,P5
1272.0,P4,P8,P5
1296.0,,Rest,Rest
