Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
24.0,Rest,Rest,Rest
48.0,Rest,Rest,Rest
72.0,Rest,Rest,Rest
96.0,Rest,Rest,Rest
120.0,Rest,Rest,Rest
144.0,P1,-P5,-P5
168.0,M3,-m3,-P5
192.0,P5,Rest,Rest
216.0,P8,P4,-P5
240.0,P5,m3,-M3
264.0,P8,P4,-P5
288.0,P5,M3,-m3
312.0,P8,P4,-P5
336.0,P5,Rest,Rest
360.0,P8,P4,-P5
384.0,Rest,P5,Rest
408.0,P1,Rest,Rest
432.0,P1,P1,P1
456.0,P8,P4,-P5
480.0,P5,m3,-M3
504.0,m3,m6,-P5
528.0,P8,P4,-P5
552.0,P5,Rest,Rest
576.0,P8,P4,-P5
600.0,Rest,P5,Rest
624.0,P8,Rest,Rest
648.0,P8,P4,-P5
672.0,P5,P5,P1
696.0,m3,P5,M3
720.0,P5,P5,P1
744.0,P8,P8,P1
768.0,m3,Rest,Rest
792.0,P8,P4,-P5
816.0,Rest,P5,Rest
840.0,-P5,Rest,Rest
864.0,P1,P8,P8
888.0,M3,M3,P8
912.0,P4,P8,P5
936.0,m3,P5,M3
960.0,P4,P8,P5
984.0,d5,Rest,Rest
1008.0,P4,P8,P5
1032.0,Rest,P8,Rest
1056.0,P5,Rest,Rest
1080.0,P5,P5,P1
1104.0,P8,P5,-P4
1128.0,P8,P8,P1
1152.0,m3,P5,M3
1176.0,P4,P8,P5
1200.0,P5,Rest,Rest
1224.0,P8,P8,P1
1248.0,Rest,M3,Rest
1272.0,P8,Rest,Rest
1296.0,P4,P8,P5
1320.0,P5,P5,P8
1344.0,m3,P5,M3
1368.0,M6,M3,P5
1392.0,P4,P8,P5
1416.0,Rest,Rest,Rest
1440.0,Rest,Rest,Rest
