Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
36.0,Rest,P8,Rest
72.0,P4,Rest,Rest
108.0,P4,P8,P5
144.0,Rest,P8,Rest
180.0,P5,Rest,Rest
216.0,Rest,Rest,P4
252.0,P5,Rest,Rest
288.0,M6,M3,P5
324.0,Rest,M3,Rest
360.0,M3,Rest,Rest
396.0,P4,P8,P5
432.0,Rest,P5,Rest
468.0,P1,Rest,Rest
504.0,Rest,Rest,P5
540.0,P5,Rest,Rest
576.0,m3,P5,M3
612.0,Rest,P8,Rest
648.0,P1,Rest,Rest
684.0,M6,P8,m3
720.0,Rest,P8,Rest
756.0,P4,Rest,Rest
792.0,Rest,Rest,P5
828.0,P5,Rest,Rest
864.0,M6,M3,P5
900.0,Rest,M3,Rest
936.0,-M3,Rest,Rest
972.0,-P4,P5,P8
1008.0,Rest,P5,Rest
1044.0,-m3,Rest,Rest
1080.0,Rest,Rest,P5
1116.0,P5,Rest,Rest
1152.0,m3,P8,M6
1188.0,Rest,P8,Rest
1224.0,P1,Rest,Rest
1260.0,-P4,P5,P8
1296.0,Rest,P5,Rest
1332.0,-P5,Rest,Rest
1368.0,Rest,Rest,P5
1404.0,P1,Rest,Rest
1440.0,P1,P5,P5
1476.0,Rest,m3,Rest
1512.0,-P5,Rest,Rest
1548.0,-P4,P5,P8
1584.0,Rest,P5,Rest
1620.0,M3,Rest,Rest
1656.0,P5,P8,P4
1692.0,P4,P8,P5
