Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
36.0,P5,Rest,Rest
72.0,-m3,Rest,Rest
108.0,Rest,P8,Rest
144.0,P8,P8,P1
180.0,P8,P8,P1
216.0,Rest,Rest,Rest
252.0,-M3,m3,P5
288.0,-m6,M3,P8
324.0,Rest,Rest,-m3
360.0,Rest,Rest,Rest
396.0,Rest,Rest,Rest
432.0,Rest,P5,Rest
468.0,P4,P8,P5
504.0,P4,P8,P5
540.0,Rest,Rest,Rest
576.0,-M3,P8,M3
612.0,-m6,M3,P8
648.0,Rest,Rest,M3
684.0,Rest,Rest,Rest
720.0,Rest,Rest,Rest
756.0,Rest,P5,Rest
792.0,P8,P8,P1
828.0,P4,P8,P5
864.0,Rest,Rest,Rest
900.0,-P4,P5,P8
936.0,-M3,P8,M3
972.0,Rest,Rest,P5
1008.0,Rest,Rest,Rest
1044.0,Rest,Rest,Rest
1080.0,Rest,P5,Rest
